EMISSION_RECORD_ID,RECORD_DATE,SITE_ID,SUPPLIER_ID,EMISSION_SOURCE,POLLUTANT_NAME,EMISSION_QUANTITY,EMISSION_UNIT_OF_MEASURE_ID,PERMIT_LIMIT,IS_WITHIN_PERMIT_LIMIT_FLAG,MEASUREMENT_METHOD
23,2024-10-22,,1,Transportation,CO2,411.53,4,570.39,True,Direct Measurement
24,2024-11-21,,1,Facilities,CO2,283.19,4,329.04,True,Direct Measurement
25,2023-01-01,,2,Facilities,CO2,182.08,4,252.94,True,Calculated
26,2023-01-31,,2,Transportation,CO2,327.81,4,397.48,True,Estimated
27,2023-03-02,,2,Transportation,CO2,98.93,4,129.79,True,Direct Measurement
28,2023-04-01,,2,Transportation,CO2,144.71,4,202.25,True,Estimated
29,2023-05-01,,2,Transportation,CO2,58.96,4,71.89,True,Estimated
30,2023-05-31,,2,Transportation,CO2,76.33,4,90.49,True,Estimated
31,2023-06-30,,2,Transportation,CO2,327.89,4,452.61,True,Calculated
32,2023-07-30,,2,Manufacturing,CO2,145.14,4,180.57,True,Direct Measurement
33,2023-08-29,,2,Transportation,CO2,151.21,4,207.22,True,Calculated
34,2023-09-28,,2,Facilities,CO2,423.05,4,604.06,True,Calculated
35,2023-10-28,,2,Transportation,CO2,396.67,4,502.1,True,Direct Measurement
36,2023-11-27,,2,Manufacturing,CO2,223.5,4,328.06,True,Calculated
37,2023-12-27,,2,Facilities,CO2,382.31,4,465.96,True,Calculated
38,2024-01-26,,2,Facilities,CO2,160.64,4,240.87,True,Calculated
39,2024-02-25,,2,Transportation,CO2,315.63,4,441.45,True,Estimated
40,2024-03-26,,2,Manufacturing,CO2,136.68,4,170.64,True,Calculated
41,2024-04-25,,2,Manufacturing,CO2,240.55,4,278.09,True,Direct Measurement
42,2024-05-25,,2,Transportation,CO2,429.13,4,584.59,True,Direct Measurement
43,2024-06-24,,2,Manufacturing,CO2,351.09,4,416.42,True,Estimated
44,2024-07-24,,2,Manufacturing,CO2,140.9,4,208.48,True,Calculated
45,2024-08-23,,2,Manufacturing,CO2,429.85,4,579.47,True,Direct Measurement
46,2024-09-22,,2,Transportation,CO2,133.16,4,169.72,True,Estimated
47,2024-10-22,,2,Facilities,CO2,258.39,4,298.77,True,Direct Measurement
48,2024-11-21,,2,Transportation,CO2,133.34,4,147.38,True,Estimated
49,2023-01-01,,3,Manufacturing,CO2,174.83,4,212.64,True,Direct Measurement
50,2023-01-31,,3,Transportation,CO2,72.67,4,81.83,True,Direct Measurement
51,2023-03-02,,3,Facilities,CO2,334.21,4,459.03,True,Calculated
52,2023-04-01,,3,Facilities,CO2,76.57,4,112.43,True,Estimated
53,2023-05-01,,3,Facilities,CO2,194.32,4,237.69,True,Calculated
54,2023-05-31,,3,Transportation,CO2,238.31,4,287.8,True,Calculated
55,2023-06-30,,3,Transportation,CO2,394.7,4,479.05,True,Estimated
56,2023-07-30,,3,Transportation,CO2,262.34,4,335.94,True,Direct Measurement
57,2023-08-29,,3,Facilities,CO2,186.61,4,214.26,True,Calculated
58,2023-09-28,,3,Transportation,CO2,201.18,4,235.04,True,Calculated
59,2023-10-28,,3,Transportation,CO2,345.82,4,434.91,True,Direct Measurement
60,2023-11-27,,3,Transportation,CO2,430.43,4,515.74,True,Estimated
61,2023-12-27,,3,Manufacturing,CO2,120.79,4,159.52,True,Calculated
62,2024-01-26,,3,Manufacturing,CO2,374.47,4,480.2,True,Estimated
63,2024-02-25,,3,Transportation,CO2,491.51,4,599.53,True,Estimated
64,2024-03-26,,3,Facilities,CO2,125.54,4,185.87,True,Direct Measurement
65,2024-04-25,,3,Facilities,CO2,371.1,4,476.42,True,Calculated
66,2024-05-25,,3,Manufacturing,CO2,123.27,4,180.09,True,Direct Measurement
67,2024-06-24,,3,Transportation,CO2,308.66,4,430.43,True,Estimated
68,2024-07-24,,3,Transportation,CO2,352.6,4,435.24,True,Estimated
69,2024-08-23,,3,Facilities,CO2,343.77,4,399.42,True,Calculated
70,2024-09-22,,3,Manufacturing,CO2,139.75,4,186.62,True,Direct Measurement
71,2024-10-22,,3,Facilities,CO2,218.8,4,282.59,True,Estimated
72,2024-11-21,,3,Transportation,CO2,240.26,4,312.11,True,Estimated
73,2023-01-01,,4,Manufacturing,CO2,318.19,4,476.06,True,Calculated
74,2023-01-31,,4,Facilities,CO2,148.81,4,193.48,True,Calculated
75,2023-03-02,,4,Transportation,CO2,325.37,4,435.01,True,Direct Measurement
76,2023-04-01,,4,Transportation,CO2,446.9,4,590.48,True,Direct Measurement
77,2023-05-01,,4,Manufacturing,CO2,112.46,4,130.75,True,Calculated
78,2023-05-31,,4,Facilities,CO2,434.09,4,650.36,True,Estimated
79,2023-06-30,,4,Facilities,CO2,385.48,4,464.84,True,Estimated
80,2023-07-30,,4,Facilities,CO2,225.09,4,273.66,True,Direct Measurement
81,2023-08-29,,4,Manufacturing,CO2,167.16,4,236.75,True,Calculated
82,2023-09-28,,4,Facilities,CO2,227.09,4,313.7,True,Direct Measurement
83,2023-10-28,,4,Transportation,CO2,268.47,4,373.29,True,Direct Measurement
84,2023-11-27,,4,Transportation,CO2,454.84,4,539.36,True,Direct Measurement
85,2023-12-27,,4,Manufacturing,CO2,303.2,4,368.87,True,Direct Measurement
86,2024-01-26,,4,Transportation,CO2,221.36,4,300.38,True,Calculated
87,2024-02-25,,4,Transportation,CO2,470.61,4,536.14,True,Calculated
88,2024-03-26,,4,Transportation,CO2,442.23,4,488.81,True,Estimated
89,2024-04-25,,4,Manufacturing,CO2,236.71,4,332.68,True,Estimated
90,2024-05-25,,4,Manufacturing,CO2,196.25,4,252.74,True,Calculated
91,2024-06-24,,4,Transportation,CO2,284.2,4,382.91,True,Calculated
92,2024-07-24,,4,Facilities,CO2,252.77,4,343.65,True,Direct Measurement
93,2024-08-23,,4,Transportation,CO2,122.04,4,163.15,True,Calculated
94,2024-09-22,,4,Manufacturing,CO2,422.3,4,598.66,True,Estimated
95,2024-10-22,,4,Manufacturing,CO2,455.68,4,625.39,True,Estimated
96,2024-11-21,,4,Transportation,CO2,393.09,4,465.37,True,Calculated
97,2023-01-01,,5,Transportation,CO2,214.97,4,321.85,True,Direct Measurement
98,2023-01-31,,5,Transportation,CO2,118.52,4,169.3,True,Calculated
99,2023-03-02,,5,Facilities,CO2,390.7,4,432.5,True,Direct Measurement
100,2023-04-01,,5,Transportation,CO2,441.23,4,507.84,True,Calculated
101,2023-05-01,,5,Transportation,CO2,267.42,4,384.79,True,Estimated
102,2023-05-31,,5,Transportation,CO2,88.8,4,98.83,True,Calculated
103,2023-06-30,,5,Transportation,CO2,85.79,4,105.71,True,Direct Measurement
104,2023-07-30,,5,Facilities,CO2,91.58,4,134.63,True,Direct Measurement
105,2023-08-29,,5,Facilities,CO2,324.57,4,484.46,True,Calculated
106,2023-09-28,,5,Manufacturing,CO2,275.17,4,303.41,True,Direct Measurement
107,2023-10-28,,5,Transportation,CO2,247.42,4,310.95,True,Calculated
108,2023-11-27,,5,Facilities,CO2,348.68,4,432.48,True,Calculated
109,2023-12-27,,5,Transportation,CO2,345.24,4,490.24,True,Calculated
110,2024-01-26,,5,Manufacturing,CO2,288.37,4,341.04,True,Calculated
111,2024-02-25,,5,Facilities,CO2,285.91,4,408.69,True,Calculated
112,2024-03-26,,5,Manufacturing,CO2,127.55,4,174.87,True,Direct Measurement
113,2024-04-25,,5,Manufacturing,CO2,241.57,4,301.46,True,Calculated
114,2024-05-25,,5,Manufacturing,CO2,171.68,4,203.67,True,Calculated
115,2024-06-24,,5,Manufacturing,CO2,82.48,4,94.04,True,Estimated
116,2024-07-24,,5,Manufacturing,CO2,413.09,4,611.09,True,Direct Measurement
117,2024-08-23,,5,Facilities,CO2,357.64,4,519.92,True,Direct Measurement
118,2024-09-22,,5,Transportation,CO2,187.47,4,211.34,True,Estimated
119,2024-10-22,,5,Manufacturing,CO2,292.33,4,399.88,True,Calculated
120,2024-11-21,,5,Transportation,CO2,481.36,4,687.46,True,Direct Measurement
121,2023-01-01,,6,Transportation,CO2,478.62,4,530.89,True,Calculated
122,2023-01-31,,6,Facilities,CO2,396.52,4,583.27,True,Estimated
123,2023-03-02,,6,Manufacturing,CO2,295.77,4,404.24,True,Estimated
124,2023-04-01,,6,Transportation,CO2,135.49,4,173.59,True,Direct Measurement
125,2023-05-01,,6,Transportation,CO2,384.53,4,456.12,True,Estimated
126,2023-05-31,,6,Manufacturing,CO2,386.24,4,428.47,True,Calculated
127,2023-06-30,,6,Manufacturing,CO2,113.81,4,152.92,True,Estimated
128,2023-07-30,,6,Facilities,CO2,276.55,4,346.1,True,Direct Measurement
129,2023-08-29,,6,Transportation,CO2,147.36,4,206.91,True,Direct Measurement
130,2023-09-28,,6,Transportation,CO2,71.06,4,104.75,True,Direct Measurement
131,2023-10-28,,6,Manufacturing,CO2,100.02,4,134.39,True,Estimated
132,2023-11-27,,6,Facilities,CO2,243.42,4,328.36,True,Calculated
133,2023-12-27,,6,Manufacturing,CO2,165.94,4,228.98,True,Direct Measurement
134,2024-01-26,,6,Facilities,CO2,312.21,4,467.58,True,Direct Measurement
135,2024-02-25,,6,Transportation,CO2,476.2,4,690.72,True,Estimated
136,2024-03-26,,6,Manufacturing,CO2,97.96,4,132.66,True,Calculated
137,2024-04-25,,6,Transportation,CO2,250.94,4,346.91,True,Calculated
138,2024-05-25,,6,Facilities,CO2,278.94,4,349.66,True,Estimated
139,2024-06-24,,6,Manufacturing,CO2,202.23,4,300.65,True,Estimated
140,2024-07-24,,6,Manufacturing,CO2,292.53,4,368.26,True,Calculated
141,2024-08-23,,6,Transportation,CO2,392.63,4,578.79,True,Direct Measurement
142,2024-09-22,,6,Manufacturing,CO2,150.34,4,216.85,True,Calculated
143,2024-10-22,,6,Transportation,CO2,129.56,4,151.66,True,Estimated
144,2024-11-21,,6,Manufacturing,CO2,460.98,4,539.93,True,Direct Measurement
145,2023-01-01,,7,Manufacturing,CO2,413.86,4,556.5,True,Direct Measurement
146,2023-01-31,,7,Facilities,CO2,242.13,4,356.91,True,Direct Measurement
147,2023-03-02,,7,Manufacturing,CO2,70.46,4,100.07,True,Estimated
148,2023-04-01,,7,Transportation,CO2,152.68,4,177.33,True,Estimated
149,2023-05-01,,7,Transportation,CO2,475.45,4,532.89,True,Direct Measurement
150,2023-05-31,,7,Transportation,CO2,168.43,4,190.01,True,Calculated
151,2023-06-30,,7,Manufacturing,CO2,347.2,4,429.39,True,Calculated
152,2023-07-30,,7,Transportation,CO2,348.12,4,458.42,True,Estimated
153,2023-08-29,,7,Transportation,CO2,376.6,4,561.58,True,Calculated
154,2023-09-28,,7,Facilities,CO2,189.15,4,258.32,True,Estimated
155,2023-10-28,,7,Transportation,CO2,280.83,4,410.61,True,Direct Measurement
156,2023-11-27,,7,Transportation,CO2,134.36,4,161.49,True,Direct Measurement
157,2023-12-27,,7,Manufacturing,CO2,53.34,4,63.39,True,Calculated
158,2024-01-26,,7,Manufacturing,CO2,103.48,4,138.49,True,Estimated
159,2024-02-25,,7,Transportation,CO2,157.29,4,205.85,True,Calculated
160,2024-03-26,,7,Manufacturing,CO2,162.79,4,207.23,True,Calculated
161,2024-04-25,,7,Transportation,CO2,409.95,4,500.08,True,Direct Measurement
162,2024-05-25,,7,Transportation,CO2,167.85,4,188.83,True,Calculated
163,2024-06-24,,7,Transportation,CO2,357.33,4,523.75,True,Direct Measurement
164,2024-07-24,,7,Facilities,CO2,369.71,4,538.33,True,Calculated
165,2024-08-23,,7,Facilities,CO2,108.99,4,163.07,True,Direct Measurement
166,2024-09-22,,7,Transportation,CO2,344.61,4,471.19,True,Direct Measurement
167,2024-10-22,,7,Transportation,CO2,443.8,4,589.4,True,Calculated
168,2024-11-21,,7,Facilities,CO2,65.29,4,72.54,True,Estimated
169,2023-01-01,,8,Transportation,CO2,144.64,4,178.72,True,Calculated
170,2023-01-31,,8,Facilities,CO2,430.18,4,538.5,True,Direct Measurement
171,2023-03-02,,8,Manufacturing,CO2,421.26,4,541.87,True,Calculated
172,2023-04-01,,8,Manufacturing,CO2,303.2,4,380.12,True,Estimated
173,2023-05-01,,8,Facilities,CO2,87.0,4,105.36,True,Estimated
174,2023-05-31,,8,Facilities,CO2,430.75,4,636.67,True,Estimated
175,2023-06-30,,8,Transportation,CO2,144.97,4,197.48,True,Calculated
176,2023-07-30,,8,Transportation,CO2,198.47,4,267.45,True,Estimated
177,2023-08-29,,8,Manufacturing,CO2,86.96,4,125.8,True,Estimated
178,2023-09-28,,8,Transportation,CO2,447.04,4,506.72,True,Estimated
179,2023-10-28,,8,Transportation,CO2,441.18,4,491.4,True,Calculated
180,2023-11-27,,8,Transportation,CO2,491.76,4,610.45,True,Direct Measurement
181,2023-12-27,,8,Facilities,CO2,126.31,4,172.52,True,Calculated
182,2024-01-26,,8,Transportation,CO2,130.78,4,183.34,True,Calculated
183,2024-02-25,,8,Manufacturing,CO2,318.05,4,410.89,True,Estimated
184,2024-03-26,,8,Manufacturing,CO2,241.2,4,291.59,True,Calculated
185,2024-04-25,,8,Transportation,CO2,413.54,4,615.84,True,Calculated
186,2024-05-25,,8,Transportation,CO2,205.41,4,258.86,True,Calculated
187,2024-06-24,,8,Transportation,CO2,405.0,4,478.32,True,Estimated
188,2024-07-24,,8,Manufacturing,CO2,493.37,4,702.42,True,Estimated
189,2024-08-23,,8,Manufacturing,CO2,298.84,4,366.62,True,Estimated
190,2024-09-22,,8,Transportation,CO2,366.98,4,438.93,True,Calculated
191,2024-10-22,,8,Facilities,CO2,462.15,4,579.27,True,Calculated
192,2024-11-21,,8,Facilities,CO2,359.72,4,407.59,True,Direct Measurement
193,2023-01-01,,9,Transportation,CO2,303.3,4,372.97,True,Estimated
194,2023-01-31,,9,Facilities,CO2,443.74,4,622.27,True,Calculated
195,2023-03-02,,9,Transportation,CO2,198.07,4,218.71,True,Calculated
196,2023-04-01,,9,Manufacturing,CO2,341.59,4,415.11,True,Direct Measurement
197,2023-05-01,,9,Manufacturing,CO2,129.85,4,173.21,True,Estimated
198,2023-05-31,,9,Facilities,CO2,97.31,4,116.38,True,Direct Measurement
199,2023-06-30,,9,Facilities,CO2,199.63,4,243.59,True,Direct Measurement
200,2023-07-30,,9,Manufacturing,CO2,88.97,4,112.22,True,Estimated
201,2023-08-29,,9,Transportation,CO2,256.69,4,332.41,True,Calculated
202,2023-09-28,,9,Facilities,CO2,57.03,4,69.33,True,Direct Measurement
203,2023-10-28,,9,Facilities,CO2,466.06,4,695.46,True,Direct Measurement
204,2023-11-27,,9,Transportation,CO2,318.78,4,462.79,True,Calculated
205,2023-12-27,,9,Facilities,CO2,218.94,4,279.67,True,Estimated
206,2024-01-26,,9,Manufacturing,CO2,284.44,4,383.3,True,Estimated
207,2024-02-25,,9,Transportation,CO2,381.02,4,535.08,True,Estimated
208,2024-03-26,,9,Manufacturing,CO2,214.11,4,240.75,True,Direct Measurement
209,2024-04-25,,9,Transportation,CO2,282.49,4,314.17,True,Calculated
210,2024-05-25,,9,Facilities,CO2,353.05,4,521.16,True,Direct Measurement
211,2024-06-24,,9,Facilities,CO2,163.68,4,231.64,True,Calculated
212,2024-07-24,,9,Manufacturing,CO2,219.16,4,254.37,True,Calculated
213,2024-08-23,,9,Manufacturing,CO2,279.62,4,331.17,True,Direct Measurement
214,2024-09-22,,9,Transportation,CO2,470.16,4,702.78,True,Direct Measurement
215,2024-10-22,,9,Manufacturing,CO2,397.86,4,518.44,True,Direct Measurement
216,2024-11-21,,9,Manufacturing,CO2,58.08,4,76.22,True,Estimated
217,2023-01-01,,10,Transportation,CO2,238.73,4,279.41,True,Direct Measurement
218,2023-01-31,,10,Transportation,CO2,381.76,4,473.69,True,Direct Measurement
219,2023-03-02,,10,Transportation,CO2,456.94,4,646.84,True,Direct Measurement
220,2023-04-01,,10,Manufacturing,CO2,76.4,4,104.82,True,Calculated
221,2023-05-01,,10,Manufacturing,CO2,147.25,4,182.67,True,Estimated
222,2023-05-31,,10,Facilities,CO2,141.51,4,166.31,True,Direct Measurement
223,2023-06-30,,10,Facilities,CO2,199.08,4,278.32,True,Estimated
224,2023-07-30,,10,Facilities,CO2,438.6,4,493.52,True,Calculated
225,2023-08-29,,10,Facilities,CO2,216.78,4,301.44,True,Estimated
226,2023-09-28,,10,Manufacturing,CO2,209.44,4,267.58,True,Direct Measurement
227,2023-10-28,,10,Facilities,CO2,360.65,4,446.71,True,Estimated
228,2023-11-27,,10,Transportation,CO2,85.02,4,126.1,True,Estimated
229,2023-12-27,,10,Manufacturing,CO2,461.21,4,600.09,True,Calculated
230,2024-01-26,,10,Manufacturing,CO2,136.76,4,168.42,True,Direct Measurement
231,2024-02-25,,10,Facilities,CO2,95.13,4,136.47,True,Calculated
232,2024-03-26,,10,Transportation,CO2,163.52,4,191.86,True,Direct Measurement
233,2024-04-25,,10,Transportation,CO2,320.22,4,479.33,True,Calculated
234,2024-05-25,,10,Facilities,CO2,417.08,4,515.86,True,Estimated
235,2024-06-24,,10,Transportation,CO2,82.95,4,113.67,True,Direct Measurement
236,2024-07-24,,10,Facilities,CO2,169.13,4,247.71,True,Direct Measurement
237,2024-08-23,,10,Transportation,CO2,326.87,4,486.84,True,Direct Measurement
238,2024-09-22,,10,Manufacturing,CO2,260.39,4,310.07,True,Direct Measurement
239,2024-10-22,,10,Manufacturing,CO2,290.49,4,330.37,True,Calculated
240,2024-11-21,,10,Transportation,CO2,457.17,4,654.64,True,Direct Measurement
241,2023-01-01,,11,Manufacturing,CO2,193.13,4,252.1,True,Estimated
242,2023-01-31,,11,Manufacturing,CO2,263.77,4,364.52,True,Estimated
243,2023-03-02,,11,Transportation,CO2,134.14,4,176.19,True,Calculated
244,2023-04-01,,11,Facilities,CO2,74.69,4,110.23,True,Direct Measurement
245,2023-05-01,,11,Transportation,CO2,455.24,4,606.85,True,Estimated
246,2023-05-31,,11,Facilities,CO2,178.72,4,236.53,True,Direct Measurement
247,2023-06-30,,11,Transportation,CO2,367.4,4,505.44,True,Estimated
248,2023-07-30,,11,Transportation,CO2,306.28,4,442.86,True,Direct Measurement
249,2023-08-29,,11,Facilities,CO2,316.19,4,471.49,True,Direct Measurement
250,2023-09-28,,11,Transportation,CO2,251.43,4,316.44,True,Estimated
251,2023-10-28,,11,Facilities,CO2,375.61,4,444.77,True,Estimated
252,2023-11-27,,11,Facilities,CO2,455.82,4,557.46,True,Estimated
253,2023-12-27,,11,Manufacturing,CO2,414.93,4,490.74,True,Direct Measurement
254,2024-01-26,,11,Facilities,CO2,163.06,4,227.43,True,Estimated
255,2024-02-25,,11,Manufacturing,CO2,235.74,4,283.93,True,Calculated
256,2024-03-26,,11,Manufacturing,CO2,206.59,4,234.12,True,Direct Measurement
257,2024-04-25,,11,Transportation,CO2,430.77,4,561.58,True,Calculated
258,2024-05-25,,11,Manufacturing,CO2,491.65,4,611.56,True,Estimated
259,2024-06-24,,11,Transportation,CO2,326.99,4,399.95,True,Calculated
260,2024-07-24,,11,Facilities,CO2,178.92,4,218.02,True,Calculated
261,2024-08-23,,11,Transportation,CO2,113.96,4,159.77,True,Calculated
262,2024-09-22,,11,Transportation,CO2,489.27,4,561.34,True,Direct Measurement
263,2024-10-22,,11,Manufacturing,CO2,141.54,4,159.04,True,Calculated
264,2024-11-21,,11,Facilities,CO2,193.88,4,228.98,True,Direct Measurement
265,2023-01-01,,12,Manufacturing,CO2,97.89,4,140.44,True,Estimated
266,2023-01-31,,12,Facilities,CO2,244.51,4,296.26,True,Estimated
267,2023-03-02,,12,Manufacturing,CO2,497.74,4,708.57,True,Calculated
268,2023-04-01,,12,Facilities,CO2,397.2,4,451.51,True,Estimated
269,2023-05-01,,12,Manufacturing,CO2,284.53,4,373.23,True,Direct Measurement
270,2023-05-31,,12,Transportation,CO2,280.47,4,401.6,True,Calculated
271,2023-06-30,,12,Manufacturing,CO2,163.6,4,197.59,True,Estimated
272,2023-07-30,,12,Transportation,CO2,108.37,4,134.13,True,Direct Measurement
273,2023-08-29,,12,Facilities,CO2,386.58,4,562.65,True,Direct Measurement
274,2023-09-28,,12,Manufacturing,CO2,414.36,4,554.65,True,Direct Measurement
275,2023-10-28,,12,Manufacturing,CO2,494.1,4,620.53,True,Estimated
276,2023-11-27,,12,Manufacturing,CO2,395.48,4,586.79,True,Estimated
277,2023-12-27,,12,Facilities,CO2,343.93,4,512.59,True,Direct Measurement
278,2024-01-26,,12,Transportation,CO2,322.99,4,469.56,True,Estimated
279,2024-02-25,,12,Transportation,CO2,472.85,4,601.25,True,Calculated
280,2024-03-26,,12,Transportation,CO2,225.71,4,286.02,True,Calculated
281,2024-04-25,,12,Facilities,CO2,249.64,4,358.32,True,Estimated
282,2024-05-25,,12,Facilities,CO2,184.01,4,209.1,True,Estimated
283,2024-06-24,,12,Transportation,CO2,192.3,4,264.45,True,Calculated
284,2024-07-24,,12,Facilities,CO2,479.39,4,572.99,True,Estimated
285,2024-08-23,,12,Transportation,CO2,213.12,4,269.65,True,Estimated
286,2024-09-22,,12,Transportation,CO2,86.53,4,121.46,True,Estimated
287,2024-10-22,,12,Facilities,CO2,162.43,4,217.64,True,Direct Measurement
288,2024-11-21,,12,Manufacturing,CO2,494.48,4,709.82,True,Calculated
289,2023-01-01,,13,Manufacturing,CO2,318.02,4,404.48,True,Calculated
290,2023-01-31,,13,Transportation,CO2,369.07,4,442.6,True,Calculated
291,2023-03-02,,13,Transportation,CO2,383.42,4,518.25,True,Calculated
292,2023-04-01,,13,Transportation,CO2,130.83,4,168.82,True,Calculated
293,2023-05-01,,13,Transportation,CO2,82.74,4,118.36,True,Direct Measurement
294,2023-05-31,,13,Facilities,CO2,252.95,4,360.7,True,Direct Measurement
295,2023-06-30,,13,Manufacturing,CO2,63.18,4,71.44,True,Direct Measurement
296,2023-07-30,,13,Facilities,CO2,246.14,4,347.18,True,Direct Measurement
297,2023-08-29,,13,Facilities,CO2,286.54,4,377.41,True,Calculated
298,2023-09-28,,13,Transportation,CO2,233.49,4,287.6,True,Direct Measurement
299,2023-10-28,,13,Manufacturing,CO2,233.97,4,280.82,True,Estimated
300,2023-11-27,,13,Manufacturing,CO2,68.11,4,83.53,True,Direct Measurement
301,2023-12-27,,13,Facilities,CO2,66.36,4,81.05,True,Calculated
302,2024-01-26,,13,Facilities,CO2,182.94,4,228.62,True,Estimated
303,2024-02-25,,13,Manufacturing,CO2,357.15,4,404.5,True,Calculated
304,2024-03-26,,13,Facilities,CO2,290.14,4,397.51,True,Estimated
305,2024-04-25,,13,Transportation,CO2,443.91,4,624.34,True,Calculated
306,2024-05-25,,13,Facilities,CO2,261.81,4,316.44,True,Estimated
307,2024-06-24,,13,Transportation,CO2,377.85,4,438.97,True,Calculated
308,2024-07-24,,13,Facilities,CO2,355.43,4,476.07,True,Calculated
309,2024-08-23,,13,Transportation,CO2,361.46,4,409.37,True,Direct Measurement
310,2024-09-22,,13,Transportation,CO2,413.47,4,473.2,True,Direct Measurement
311,2024-10-22,,13,Transportation,CO2,378.55,4,467.86,True,Direct Measurement
312,2024-11-21,,13,Manufacturing,CO2,368.44,4,457.57,True,Calculated
313,2023-01-01,,14,Facilities,CO2,451.09,4,501.42,True,Estimated
314,2023-01-31,,14,Manufacturing,CO2,462.94,4,623.01,True,Estimated
315,2023-03-02,,14,Transportation,CO2,473.22,4,660.91,True,Calculated
316,2023-04-01,,14,Transportation,CO2,344.3,4,503.13,True,Direct Measurement
317,2023-05-01,,14,Facilities,CO2,86.66,4,95.64,True,Direct Measurement
318,2023-05-31,,14,Facilities,CO2,280.21,4,392.75,True,Estimated
319,2023-06-30,,14,Transportation,CO2,112.98,4,143.16,True,Calculated
320,2023-07-30,,14,Transportation,CO2,161.68,4,220.61,True,Direct Measurement
321,2023-08-29,,14,Manufacturing,CO2,289.83,4,330.31,True,Calculated
322,2023-09-28,,14,Manufacturing,CO2,65.23,4,78.38,True,Direct Measurement
323,2023-10-28,,14,Transportation,CO2,261.26,4,292.03,True,Calculated
324,2023-11-27,,14,Facilities,CO2,114.93,4,143.95,True,Calculated
325,2023-12-27,,14,Manufacturing,CO2,108.35,4,125.95,True,Estimated
326,2024-01-26,,14,Manufacturing,CO2,66.34,4,84.49,True,Direct Measurement
327,2024-02-25,,14,Facilities,CO2,168.07,4,236.11,True,Estimated
328,2024-03-26,,14,Manufacturing,CO2,425.89,4,551.88,True,Direct Measurement
329,2024-04-25,,14,Facilities,CO2,380.96,4,504.41,True,Calculated
330,2024-05-25,,14,Facilities,CO2,439.69,4,650.93,True,Direct Measurement
331,2024-06-24,,14,Manufacturing,CO2,237.79,4,284.17,True,Estimated
332,2024-07-24,,14,Facilities,CO2,352.28,4,393.08,True,Direct Measurement
333,2024-08-23,,14,Facilities,CO2,439.41,4,535.72,True,Direct Measurement
334,2024-09-22,,14,Transportation,CO2,381.36,4,485.82,True,Estimated
335,2024-10-22,,14,Facilities,CO2,54.93,4,75.17,True,Estimated
336,2024-11-21,,14,Facilities,CO2,223.03,4,279.01,True,Estimated
337,2023-01-01,,15,Manufacturing,CO2,450.02,4,634.51,True,Estimated
338,2023-01-31,,15,Facilities,CO2,361.28,4,416.12,True,Direct Measurement
339,2023-03-02,,15,Manufacturing,CO2,208.55,4,264.51,True,Calculated
340,2023-04-01,,15,Transportation,CO2,350.61,4,396.21,True,Direct Measurement
341,2023-05-01,,15,Facilities,CO2,402.25,4,571.09,True,Calculated
342,2023-05-31,,15,Manufacturing,CO2,265.74,4,381.15,True,Direct Measurement
343,2023-06-30,,15,Facilities,CO2,150.16,4,222.23,True,Estimated
344,2023-07-30,,15,Transportation,CO2,81.42,4,109.44,True,Calculated
345,2023-08-29,,15,Facilities,CO2,105.0,4,126.77,True,Direct Measurement
