SUPPLIER_PERFORMANCE_ID,SUPPLIER_ID,EVALUATION_PERIOD,METRIC_TYPE,METRIC_VALUE,TARGET_VALUE,RATING,COMMENTS,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
21,5,2024-Q4,ON_TIME_DELIVERY,98.16,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
22,5,2024-Q4,QUALITY_ACCEPTANCE,82.99,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
23,5,2024-Q4,PRICE_VARIANCE,2.34,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
24,5,2024-Q4,LEAD_TIME_ADHERENCE,88.27,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
25,5,2024-Q4,OVERALL_SCORE,91.88,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
26,6,2024-Q4,ON_TIME_DELIVERY,74.33,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
27,6,2024-Q4,QUALITY_ACCEPTANCE,87.18,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
28,6,2024-Q4,PRICE_VARIANCE,0.18,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
29,6,2024-Q4,LEAD_TIME_ADHERENCE,71.4,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
30,6,2024-Q4,OVERALL_SCORE,92.14,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
31,7,2024-Q4,ON_TIME_DELIVERY,75.65,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
32,7,2024-Q4,QUALITY_ACCEPTANCE,91.75,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
33,7,2024-Q4,PRICE_VARIANCE,-5.31,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
34,7,2024-Q4,LEAD_TIME_ADHERENCE,71.99,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
35,7,2024-Q4,OVERALL_SCORE,82.77,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
36,8,2024-Q4,ON_TIME_DELIVERY,73.34,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
37,8,2024-Q4,QUALITY_ACCEPTANCE,85.98,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
38,8,2024-Q4,PRICE_VARIANCE,3.01,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
39,8,2024-Q4,LEAD_TIME_ADHERENCE,97.53,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
40,8,2024-Q4,OVERALL_SCORE,95.03,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
41,9,2024-Q4,ON_TIME_DELIVERY,82.94,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
42,9,2024-Q4,QUALITY_ACCEPTANCE,94.83,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
43,9,2024-Q4,PRICE_VARIANCE,6.07,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
44,9,2024-Q4,LEAD_TIME_ADHERENCE,80.56,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
45,9,2024-Q4,OVERALL_SCORE,74.67,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
46,10,2024-Q4,ON_TIME_DELIVERY,70.71,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
47,10,2024-Q4,QUALITY_ACCEPTANCE,74.33,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
48,10,2024-Q4,PRICE_VARIANCE,7.39,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
49,10,2024-Q4,LEAD_TIME_ADHERENCE,91.78,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
50,10,2024-Q4,OVERALL_SCORE,89.71,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
51,11,2024-Q4,ON_TIME_DELIVERY,81.76,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
52,11,2024-Q4,QUALITY_ACCEPTANCE,70.31,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
53,11,2024-Q4,PRICE_VARIANCE,-1.51,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
54,11,2024-Q4,LEAD_TIME_ADHERENCE,78.72,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
55,11,2024-Q4,OVERALL_SCORE,90.55,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
56,12,2024-Q4,ON_TIME_DELIVERY,72.77,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
57,12,2024-Q4,QUALITY_ACCEPTANCE,90.81,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
58,12,2024-Q4,PRICE_VARIANCE,3.7,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
59,12,2024-Q4,LEAD_TIME_ADHERENCE,98.31,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
60,12,2024-Q4,OVERALL_SCORE,97.73,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
61,13,2024-Q4,ON_TIME_DELIVERY,87.07,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
62,13,2024-Q4,QUALITY_ACCEPTANCE,92.88,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
63,13,2024-Q4,PRICE_VARIANCE,6.21,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
64,13,2024-Q4,LEAD_TIME_ADHERENCE,95.95,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
65,13,2024-Q4,OVERALL_SCORE,92.85,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
66,14,2024-Q4,ON_TIME_DELIVERY,76.48,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
67,14,2024-Q4,QUALITY_ACCEPTANCE,75.18,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
68,14,2024-Q4,PRICE_VARIANCE,4.07,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
69,14,2024-Q4,LEAD_TIME_ADHERENCE,90.68,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
70,14,2024-Q4,OVERALL_SCORE,71.32,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
71,15,2024-Q4,ON_TIME_DELIVERY,94.14,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
72,15,2024-Q4,QUALITY_ACCEPTANCE,97.68,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
73,15,2024-Q4,PRICE_VARIANCE,0.06,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
74,15,2024-Q4,LEAD_TIME_ADHERENCE,73.08,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
75,15,2024-Q4,OVERALL_SCORE,94.06,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
76,16,2024-Q4,ON_TIME_DELIVERY,90.53,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
77,16,2024-Q4,QUALITY_ACCEPTANCE,77.91,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
78,16,2024-Q4,PRICE_VARIANCE,7.65,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
79,16,2024-Q4,LEAD_TIME_ADHERENCE,97.21,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
80,16,2024-Q4,OVERALL_SCORE,95.95,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
81,17,2024-Q4,ON_TIME_DELIVERY,96.44,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
82,17,2024-Q4,QUALITY_ACCEPTANCE,73.31,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
83,17,2024-Q4,PRICE_VARIANCE,-9.74,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
84,17,2024-Q4,LEAD_TIME_ADHERENCE,80.84,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
85,17,2024-Q4,OVERALL_SCORE,91.19,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
86,18,2024-Q4,ON_TIME_DELIVERY,78.59,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
87,18,2024-Q4,QUALITY_ACCEPTANCE,78.21,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
88,18,2024-Q4,PRICE_VARIANCE,0.09,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
89,18,2024-Q4,LEAD_TIME_ADHERENCE,85.41,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
90,18,2024-Q4,OVERALL_SCORE,96.15,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
91,19,2024-Q4,ON_TIME_DELIVERY,90.74,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
92,19,2024-Q4,QUALITY_ACCEPTANCE,70.95,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
93,19,2024-Q4,PRICE_VARIANCE,-0.49,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
94,19,2024-Q4,LEAD_TIME_ADHERENCE,71.77,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
95,19,2024-Q4,OVERALL_SCORE,86.41,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
96,20,2024-Q4,ON_TIME_DELIVERY,80.43,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
97,20,2024-Q4,QUALITY_ACCEPTANCE,82.34,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
98,20,2024-Q4,PRICE_VARIANCE,-1.08,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
99,20,2024-Q4,LEAD_TIME_ADHERENCE,98.15,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
100,20,2024-Q4,OVERALL_SCORE,71.79,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
101,21,2024-Q4,ON_TIME_DELIVERY,79.6,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
102,21,2024-Q4,QUALITY_ACCEPTANCE,76.71,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
103,21,2024-Q4,PRICE_VARIANCE,-4.8,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
104,21,2024-Q4,LEAD_TIME_ADHERENCE,77.4,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
105,21,2024-Q4,OVERALL_SCORE,88.32,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
106,22,2024-Q4,ON_TIME_DELIVERY,73.07,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
107,22,2024-Q4,QUALITY_ACCEPTANCE,92.31,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
108,22,2024-Q4,PRICE_VARIANCE,1.58,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
109,22,2024-Q4,LEAD_TIME_ADHERENCE,93.23,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
110,22,2024-Q4,OVERALL_SCORE,74.5,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
111,23,2024-Q4,ON_TIME_DELIVERY,78.06,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
112,23,2024-Q4,QUALITY_ACCEPTANCE,95.49,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
113,23,2024-Q4,PRICE_VARIANCE,-6.04,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
114,23,2024-Q4,LEAD_TIME_ADHERENCE,87.43,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
115,23,2024-Q4,OVERALL_SCORE,71.48,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
116,24,2024-Q4,ON_TIME_DELIVERY,98.53,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
117,24,2024-Q4,QUALITY_ACCEPTANCE,75.27,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
118,24,2024-Q4,PRICE_VARIANCE,3.26,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
119,24,2024-Q4,LEAD_TIME_ADHERENCE,70.99,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
120,24,2024-Q4,OVERALL_SCORE,77.23,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
121,25,2024-Q4,ON_TIME_DELIVERY,71.63,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
122,25,2024-Q4,QUALITY_ACCEPTANCE,83.86,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
123,25,2024-Q4,PRICE_VARIANCE,9.59,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
124,25,2024-Q4,LEAD_TIME_ADHERENCE,71.69,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
125,25,2024-Q4,OVERALL_SCORE,96.87,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
126,26,2024-Q4,ON_TIME_DELIVERY,93.18,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
127,26,2024-Q4,QUALITY_ACCEPTANCE,84.21,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
128,26,2024-Q4,PRICE_VARIANCE,2.3,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
129,26,2024-Q4,LEAD_TIME_ADHERENCE,86.82,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
130,26,2024-Q4,OVERALL_SCORE,79.12,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
131,27,2024-Q4,ON_TIME_DELIVERY,88.89,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
132,27,2024-Q4,QUALITY_ACCEPTANCE,81.28,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
133,27,2024-Q4,PRICE_VARIANCE,7.53,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
134,27,2024-Q4,LEAD_TIME_ADHERENCE,94.59,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
135,27,2024-Q4,OVERALL_SCORE,91.31,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
136,28,2024-Q4,ON_TIME_DELIVERY,91.3,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
137,28,2024-Q4,QUALITY_ACCEPTANCE,86.23,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
138,28,2024-Q4,PRICE_VARIANCE,-5.82,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
139,28,2024-Q4,LEAD_TIME_ADHERENCE,77.69,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
140,28,2024-Q4,OVERALL_SCORE,72.86,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
141,29,2024-Q4,ON_TIME_DELIVERY,97.71,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
142,29,2024-Q4,QUALITY_ACCEPTANCE,90.21,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
143,29,2024-Q4,PRICE_VARIANCE,-5.75,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
144,29,2024-Q4,LEAD_TIME_ADHERENCE,91.76,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
145,29,2024-Q4,OVERALL_SCORE,97.81,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
146,30,2024-Q4,ON_TIME_DELIVERY,81.43,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
147,30,2024-Q4,QUALITY_ACCEPTANCE,92.13,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
148,30,2024-Q4,PRICE_VARIANCE,8.63,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
149,30,2024-Q4,LEAD_TIME_ADHERENCE,78.44,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
150,30,2024-Q4,OVERALL_SCORE,77.53,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
151,31,2024-Q4,ON_TIME_DELIVERY,84.94,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
152,31,2024-Q4,QUALITY_ACCEPTANCE,94.59,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
153,31,2024-Q4,PRICE_VARIANCE,1.51,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
154,31,2024-Q4,LEAD_TIME_ADHERENCE,71.08,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
155,31,2024-Q4,OVERALL_SCORE,88.24,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
156,32,2024-Q4,ON_TIME_DELIVERY,85.42,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
157,32,2024-Q4,QUALITY_ACCEPTANCE,93.75,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
158,32,2024-Q4,PRICE_VARIANCE,-9.09,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
159,32,2024-Q4,LEAD_TIME_ADHERENCE,99.61,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
160,32,2024-Q4,OVERALL_SCORE,81.78,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
161,33,2024-Q4,ON_TIME_DELIVERY,91.01,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
162,33,2024-Q4,QUALITY_ACCEPTANCE,82.66,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
163,33,2024-Q4,PRICE_VARIANCE,-6.68,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
164,33,2024-Q4,LEAD_TIME_ADHERENCE,75.86,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
165,33,2024-Q4,OVERALL_SCORE,95.56,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
166,34,2024-Q4,ON_TIME_DELIVERY,85.56,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
167,34,2024-Q4,QUALITY_ACCEPTANCE,78.87,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
168,34,2024-Q4,PRICE_VARIANCE,6.19,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
169,34,2024-Q4,LEAD_TIME_ADHERENCE,99.69,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
170,34,2024-Q4,OVERALL_SCORE,71.25,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
171,35,2024-Q4,ON_TIME_DELIVERY,97.85,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
172,35,2024-Q4,QUALITY_ACCEPTANCE,91.53,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
173,35,2024-Q4,PRICE_VARIANCE,-5.53,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
174,35,2024-Q4,LEAD_TIME_ADHERENCE,87.92,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
175,35,2024-Q4,OVERALL_SCORE,81.7,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
176,36,2024-Q4,ON_TIME_DELIVERY,98.32,95,A,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
177,36,2024-Q4,QUALITY_ACCEPTANCE,72.19,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
178,36,2024-Q4,PRICE_VARIANCE,-3.46,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
179,36,2024-Q4,LEAD_TIME_ADHERENCE,83.6,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
180,36,2024-Q4,OVERALL_SCORE,93.28,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
181,37,2024-Q4,ON_TIME_DELIVERY,86.41,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
182,37,2024-Q4,QUALITY_ACCEPTANCE,72.16,95,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
183,37,2024-Q4,PRICE_VARIANCE,8.9,0,D,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
184,37,2024-Q4,LEAD_TIME_ADHERENCE,92.35,95,B,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
185,37,2024-Q4,OVERALL_SCORE,81.51,95,C,,SYSTEM,2025-01-01 00:00:00,SYSTEM,2025-01-01 00:00:00
