PURCHASE_ORDER_ID,PURCHASE_ORDER_NUMBER,PURCHASE_ORDER_DATE,REVISION_NUMBER,SUPPLIER_ID,SUPPLIER_SITE_ID,BUYER_EMPLOYEE_ID,PURCHASE_ORDER_TYPE,PURCHASE_ORDER_STATUS,CURRENCY_ID,PAYMENT_TERMS,SHIPPING_TERMS,SHIP_TO_SITE_ID,SHIP_TO_LOCATION_ID,BILL_TO_ORGANIZATION_ID,TOTAL_PURCHASE_ORDER_VALUE,VENDOR_REFERENCE_NUMBER,ERP_SOURCE_SYSTEM,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
18,PO-QAD-00000018,2024-10-03,0,97,,62,CONTRACT,APPROVED,5,NET30,DDP,3,,4,4373288.65,VR-00000018,QAD_FACILITY_1,2024-10-03 00:00:00,,True,SYSTEM,2024-10-03 00:00:00,SYSTEM,2024-10-03 00:00:00
19,PO-LEG-00000019,2024-06-20,0,188,,15,STANDARD,OPEN,3,NET30,DDP,3,,5,4982614.6,VR-00000019,LEGACY_AS400_1,2024-06-20 00:00:00,,True,SYSTEM,2024-06-20 00:00:00,SYSTEM,2024-06-20 00:00:00
20,PO-DYN-00000020,2023-10-05,0,82,,92,CONTRACT,OPEN,3,NET45,CIF,4,,1,3048094.62,VR-00000020,DYNAMICS_AX_1,2023-10-05 00:00:00,,True,SYSTEM,2023-10-05 00:00:00,SYSTEM,2023-10-05 00:00:00
21,PO-BAA-00000021,2024-04-24,0,179,,45,BLANKET,CANCELLED,3,NET30,DDP,8,,7,4329687.44,VR-00000021,BAAN_PLANT_3,2024-04-24 00:00:00,,True,SYSTEM,2024-04-24 00:00:00,SYSTEM,2024-04-24 00:00:00
22,PO-EPI-00000022,2024-09-10,0,90,,89,STANDARD,APPROVED,1,NET60,FOB,7,,6,5134294.86,VR-00000022,EPICOR_SITE_C,2024-09-10 00:00:00,,True,SYSTEM,2024-09-10 00:00:00,SYSTEM,2024-09-10 00:00:00
23,PO-SAP-00000023,2024-08-10,0,183,,56,CONTRACT,APPROVED,5,NET60,CIF,6,,4,9943578.87,VR-00000023,SAP_ITALY,2024-08-10 00:00:00,,True,SYSTEM,2024-08-10 00:00:00,SYSTEM,2024-08-10 00:00:00
24,PO-BIO-00000024,2023-07-12,0,36,,32,BLANKET,OPEN,5,NET60,DDP,3,,5,12297222.78,VR-00000024,BIOFLOW_RESEARCH,2023-07-12 00:00:00,,True,SYSTEM,2023-07-12 00:00:00,SYSTEM,2023-07-12 00:00:00
25,PO-EPI-00000025,2023-12-18,0,14,,77,CONTRACT,CLOSED,5,NET60,DDP,8,,1,1266494.25,VR-00000025,EPICOR_SITE_A,2023-12-18 00:00:00,,True,SYSTEM,2023-12-18 00:00:00,SYSTEM,2023-12-18 00:00:00
26,PO-QAD-00000026,2024-04-29,0,162,,90,STANDARD,CANCELLED,1,NET30,FOB,5,,3,5551714.85,VR-00000026,QAD_FACILITY_1,2024-04-29 00:00:00,,True,SYSTEM,2024-04-29 00:00:00,SYSTEM,2024-04-29 00:00:00
27,PO-EPI-00000027,2023-05-29,0,22,,56,STANDARD,CLOSED,5,NET45,EXW,7,,6,4093085.36,VR-00000027,EPICOR_SITE_B,2023-05-29 00:00:00,,True,SYSTEM,2023-05-29 00:00:00,SYSTEM,2023-05-29 00:00:00
28,PO-SAP-00000028,2024-06-26,0,81,,84,CONTRACT,CANCELLED,3,NET45,CIF,7,,6,3100619.5,VR-00000028,SAP_FRANCE,2024-06-26 00:00:00,,True,SYSTEM,2024-06-26 00:00:00,SYSTEM,2024-06-26 00:00:00
29,PO-INF-00000029,2024-08-25,0,173,,33,BLANKET,CANCELLED,3,NET60,FOB,3,,6,2258209.81,VR-00000029,INFOR_DIV_1,2024-08-25 00:00:00,,True,SYSTEM,2024-08-25 00:00:00,SYSTEM,2024-08-25 00:00:00
30,PO-DYN-00000030,2023-10-11,0,117,,100,BLANKET,OPEN,3,NET60,DDP,5,,3,5418597.34,VR-00000030,DYNAMICS_NAV_2,2023-10-11 00:00:00,,True,SYSTEM,2023-10-11 00:00:00,SYSTEM,2023-10-11 00:00:00
31,PO-SAP-00000031,2023-11-07,0,175,,84,STANDARD,CANCELLED,1,NET60,FOB,6,,2,8676535.1,VR-00000031,SAP_CANADA,2023-11-07 00:00:00,,True,SYSTEM,2023-11-07 00:00:00,SYSTEM,2023-11-07 00:00:00
32,PO-SAP-00000032,2024-10-26,0,180,,18,BLANKET,APPROVED,2,NET30,CIF,1,,3,4910731.24,VR-00000032,SAP_US_EAST,2024-10-26 00:00:00,,True,SYSTEM,2024-10-26 00:00:00,SYSTEM,2024-10-26 00:00:00
33,PO-SAP-00000033,2023-05-04,0,17,,12,CONTRACT,CLOSED,5,NET45,EXW,3,,1,4931169.0,VR-00000033,SAP_CHINA,2023-05-04 00:00:00,,True,SYSTEM,2023-05-04 00:00:00,SYSTEM,2023-05-04 00:00:00
34,PO-SAP-00000034,2023-08-30,0,143,,4,BLANKET,OPEN,1,NET30,CIF,6,,6,7465259.86,VR-00000034,SAP_ITALY,2023-08-30 00:00:00,,True,SYSTEM,2023-08-30 00:00:00,SYSTEM,2023-08-30 00:00:00
35,PO-JDE-00000035,2024-08-29,0,114,,63,STANDARD,CANCELLED,2,NET45,DDP,6,,1,7271058.32,VR-00000035,JDE_LEGACY_3,2024-08-29 00:00:00,,True,SYSTEM,2024-08-29 00:00:00,SYSTEM,2024-08-29 00:00:00
36,PO-ORA-00000036,2024-03-14,0,187,,21,CONTRACT,CANCELLED,3,NET60,FOB,7,,4,4493594.98,VR-00000036,ORACLE_EMEA_HQ,2024-03-14 00:00:00,,True,SYSTEM,2024-03-14 00:00:00,SYSTEM,2024-03-14 00:00:00
37,PO-SAP-00000037,2023-05-22,0,119,,68,STANDARD,CANCELLED,3,NET60,DDP,8,,4,11816182.09,VR-00000037,SAP_KOREA,2023-05-22 00:00:00,,True,SYSTEM,2023-05-22 00:00:00,SYSTEM,2023-05-22 00:00:00
38,PO-SAP-00000038,2024-01-12,0,159,,70,STANDARD,CANCELLED,5,NET45,EXW,2,,4,2235400.32,VR-00000038,SAP_INDIA,2024-01-12 00:00:00,,True,SYSTEM,2024-01-12 00:00:00,SYSTEM,2024-01-12 00:00:00
39,PO-ORA-00000039,2024-10-22,0,189,,83,BLANKET,CANCELLED,2,NET60,EXW,2,,4,3618760.86,VR-00000039,ORACLE_DISTRIBUTION,2024-10-22 00:00:00,,True,SYSTEM,2024-10-22 00:00:00,SYSTEM,2024-10-22 00:00:00
40,PO-LEG-00000040,2024-08-03,0,78,,74,STANDARD,CANCELLED,3,NET45,DDP,3,,2,4125668.13,VR-00000040,LEGACY_AS400_2,2024-08-03 00:00:00,,True,SYSTEM,2024-08-03 00:00:00,SYSTEM,2024-08-03 00:00:00
41,PO-NET-00000041,2024-07-29,0,53,,64,STANDARD,CANCELLED,3,NET45,CIF,6,,1,878835.06,VR-00000041,NETSUITE_SUBSIDIARY_2,2024-07-29 00:00:00,,True,SYSTEM,2024-07-29 00:00:00,SYSTEM,2024-07-29 00:00:00
42,PO-NET-00000042,2024-07-13,0,190,,55,BLANKET,CANCELLED,3,NET45,FOB,8,,3,5523165.51,VR-00000042,NETSUITE_SUBSIDIARY_1,2024-07-13 00:00:00,,True,SYSTEM,2024-07-13 00:00:00,SYSTEM,2024-07-13 00:00:00
43,PO-BAA-00000043,2023-12-26,0,89,,29,STANDARD,OPEN,1,NET30,DDP,4,,3,8737823.65,VR-00000043,BAAN_PLANT_2,2023-12-26 00:00:00,,True,SYSTEM,2023-12-26 00:00:00,SYSTEM,2023-12-26 00:00:00
44,PO-SAP-00000044,2024-10-13,0,164,,21,STANDARD,APPROVED,3,NET30,CIF,7,,7,11261056.51,VR-00000044,SAP_ITALY,2024-10-13 00:00:00,,True,SYSTEM,2024-10-13 00:00:00,SYSTEM,2024-10-13 00:00:00
45,PO-JDE-00000045,2024-07-26,0,49,,96,STANDARD,APPROVED,5,NET30,CIF,2,,6,2619568.06,VR-00000045,JDE_LEGACY_3,2024-07-26 00:00:00,,True,SYSTEM,2024-07-26 00:00:00,SYSTEM,2024-07-26 00:00:00
46,PO-SAP-00000046,2023-11-11,0,59,,27,CONTRACT,APPROVED,2,NET30,DDP,2,,1,2969441.61,VR-00000046,SAP_AUSTRALIA,2023-11-11 00:00:00,,True,SYSTEM,2023-11-11 00:00:00,SYSTEM,2023-11-11 00:00:00
47,PO-QAD-00000047,2023-05-30,0,24,,98,BLANKET,CLOSED,3,NET60,FOB,6,,1,7043977.82,VR-00000047,QAD_FACILITY_2,2023-05-30 00:00:00,,True,SYSTEM,2023-05-30 00:00:00,SYSTEM,2023-05-30 00:00:00
48,PO-JDE-00000048,2024-05-20,0,84,,63,CONTRACT,OPEN,3,NET45,EXW,8,,5,1512521.78,VR-00000048,JDE_LEGACY_1,2024-05-20 00:00:00,,True,SYSTEM,2024-05-20 00:00:00,SYSTEM,2024-05-20 00:00:00
49,PO-SAP-00000049,2024-11-23,0,169,,36,CONTRACT,CLOSED,2,NET60,EXW,7,,3,2772363.23,VR-00000049,SAP_ITALY,2024-11-23 00:00:00,,True,SYSTEM,2024-11-23 00:00:00,SYSTEM,2024-11-23 00:00:00
50,PO-EPI-00000050,2024-11-13,0,122,,63,STANDARD,CANCELLED,3,NET60,EXW,3,,4,10837877.66,VR-00000050,EPICOR_SITE_B,2024-11-13 00:00:00,,True,SYSTEM,2024-11-13 00:00:00,SYSTEM,2024-11-13 00:00:00
51,PO-JDE-00000051,2023-06-10,0,144,,6,STANDARD,CLOSED,3,NET45,FOB,8,,7,1223057.88,VR-00000051,JDE_LEGACY_2,2023-06-10 00:00:00,,True,SYSTEM,2023-06-10 00:00:00,SYSTEM,2023-06-10 00:00:00
52,PO-SAP-00000052,2023-12-16,0,161,,74,BLANKET,APPROVED,5,NET60,FOB,6,,6,4048567.35,VR-00000052,SAP_FRANCE,2023-12-16 00:00:00,,True,SYSTEM,2023-12-16 00:00:00,SYSTEM,2023-12-16 00:00:00
53,PO-ORA-00000053,2023-04-08,0,149,,35,BLANKET,APPROVED,1,NET45,CIF,8,,4,7419631.34,VR-00000053,ORACLE_MANUFACTURING,2023-04-08 00:00:00,,True,SYSTEM,2023-04-08 00:00:00,SYSTEM,2023-04-08 00:00:00
54,PO-SAP-00000054,2023-04-27,0,62,,41,CONTRACT,CLOSED,1,NET30,EXW,4,,3,1829153.69,VR-00000054,SAP_INDIA,2023-04-27 00:00:00,,True,SYSTEM,2023-04-27 00:00:00,SYSTEM,2023-04-27 00:00:00
55,PO-JDE-00000055,2024-11-04,0,172,,55,STANDARD,APPROVED,2,NET30,CIF,4,,2,2705195.34,VR-00000055,JDE_LEGACY_2,2024-11-04 00:00:00,,True,SYSTEM,2024-11-04 00:00:00,SYSTEM,2024-11-04 00:00:00
56,PO-ORA-00000056,2024-03-26,0,71,,100,BLANKET,CANCELLED,1,NET60,EXW,8,,7,11451442.24,VR-00000056,ORACLE_APAC_HQ,2024-03-26 00:00:00,,True,SYSTEM,2024-03-26 00:00:00,SYSTEM,2024-03-26 00:00:00
57,PO-SAP-00000057,2024-03-08,0,86,,40,BLANKET,OPEN,3,NET30,CIF,2,,2,3465298.7,VR-00000057,SAP_JAPAN,2024-03-08 00:00:00,,True,SYSTEM,2024-03-08 00:00:00,SYSTEM,2024-03-08 00:00:00
58,PO-SAG-00000058,2024-10-26,0,133,,26,BLANKET,APPROVED,5,NET30,EXW,6,,5,5091891.3,VR-00000058,SAGE_OFFICE_1,2024-10-26 00:00:00,,True,SYSTEM,2024-10-26 00:00:00,SYSTEM,2024-10-26 00:00:00
59,PO-SAP-00000059,2024-09-06,0,110,,59,STANDARD,OPEN,1,NET45,CIF,6,,7,6461931.11,VR-00000059,SAP_CHINA,2024-09-06 00:00:00,,True,SYSTEM,2024-09-06 00:00:00,SYSTEM,2024-09-06 00:00:00
60,PO-DYN-00000060,2024-02-12,0,83,,19,BLANKET,OPEN,5,NET45,FOB,7,,2,6422012.35,VR-00000060,DYNAMICS_AX_1,2024-02-12 00:00:00,,True,SYSTEM,2024-02-12 00:00:00,SYSTEM,2024-02-12 00:00:00
61,PO-BAA-00000061,2023-10-15,0,128,,68,CONTRACT,APPROVED,3,NET45,FOB,5,,2,8032343.2,VR-00000061,BAAN_PLANT_1,2023-10-15 00:00:00,,True,SYSTEM,2023-10-15 00:00:00,SYSTEM,2023-10-15 00:00:00
62,PO-BIO-00000062,2024-05-25,0,197,,6,CONTRACT,CANCELLED,1,NET45,CIF,5,,2,2435469.77,VR-00000062,BIOFLOW_LAB_ASIA,2024-05-25 00:00:00,,True,SYSTEM,2024-05-25 00:00:00,SYSTEM,2024-05-25 00:00:00
63,PO-BIO-00000063,2024-10-21,0,13,,48,CONTRACT,APPROVED,1,NET45,EXW,2,,1,9930079.75,VR-00000063,BIOFLOW_LAB_EU,2024-10-21 00:00:00,,True,SYSTEM,2024-10-21 00:00:00,SYSTEM,2024-10-21 00:00:00
64,PO-BAA-00000064,2024-06-09,0,11,,34,BLANKET,APPROVED,2,NET30,CIF,3,,1,5757085.09,VR-00000064,BAAN_PLANT_3,2024-06-09 00:00:00,,True,SYSTEM,2024-06-09 00:00:00,SYSTEM,2024-06-09 00:00:00
65,PO-DYN-00000065,2024-09-10,0,192,,61,BLANKET,OPEN,1,NET30,CIF,7,,2,10863706.95,VR-00000065,DYNAMICS_NAV_1,2024-09-10 00:00:00,,True,SYSTEM,2024-09-10 00:00:00,SYSTEM,2024-09-10 00:00:00
66,PO-EPI-00000066,2024-03-31,0,190,,80,STANDARD,CLOSED,1,NET60,FOB,8,,6,12626142.28,VR-00000066,EPICOR_SITE_A,2024-03-31 00:00:00,,True,SYSTEM,2024-03-31 00:00:00,SYSTEM,2024-03-31 00:00:00
67,PO-SAP-00000067,2023-05-13,0,124,,29,BLANKET,CLOSED,2,NET45,DDP,8,,7,3544963.58,VR-00000067,SAP_INDIA,2023-05-13 00:00:00,,True,SYSTEM,2023-05-13 00:00:00,SYSTEM,2023-05-13 00:00:00
68,PO-SAP-00000068,2024-07-24,0,12,,44,BLANKET,APPROVED,1,NET30,DDP,1,,3,10340821.66,VR-00000068,SAP_CHINA,2024-07-24 00:00:00,,True,SYSTEM,2024-07-24 00:00:00,SYSTEM,2024-07-24 00:00:00
69,PO-SAG-00000069,2024-02-29,0,184,,68,CONTRACT,APPROVED,2,NET60,EXW,3,,4,13292477.97,VR-00000069,SAGE_OFFICE_3,2024-02-29 00:00:00,,True,SYSTEM,2024-02-29 00:00:00,SYSTEM,2024-02-29 00:00:00
70,PO-DYN-00000070,2023-07-30,0,165,,42,CONTRACT,APPROVED,3,NET45,EXW,7,,1,11179504.12,VR-00000070,DYNAMICS_NAV_2,2023-07-30 00:00:00,,True,SYSTEM,2023-07-30 00:00:00,SYSTEM,2023-07-30 00:00:00
71,PO-SAP-00000071,2024-03-11,0,38,,7,BLANKET,CLOSED,1,NET30,CIF,1,,7,9445203.25,VR-00000071,SAP_UK,2024-03-11 00:00:00,,True,SYSTEM,2024-03-11 00:00:00,SYSTEM,2024-03-11 00:00:00
72,PO-SAP-00000072,2024-05-15,0,190,,61,CONTRACT,APPROVED,3,NET30,EXW,2,,7,115153.5,VR-00000072,SAP_ITALY,2024-05-15 00:00:00,,True,SYSTEM,2024-05-15 00:00:00,SYSTEM,2024-05-15 00:00:00
73,PO-SAP-00000073,2024-11-14,0,116,,24,BLANKET,OPEN,3,NET30,DDP,2,,4,11622553.14,VR-00000073,SAP_CHINA,2024-11-14 00:00:00,,True,SYSTEM,2024-11-14 00:00:00,SYSTEM,2024-11-14 00:00:00
74,PO-SAG-00000074,2023-06-23,0,174,,34,BLANKET,OPEN,3,NET30,CIF,3,,2,223420.8,VR-00000074,SAGE_OFFICE_2,2023-06-23 00:00:00,,True,SYSTEM,2023-06-23 00:00:00,SYSTEM,2023-06-23 00:00:00
75,PO-EPI-00000075,2024-09-03,0,193,,72,BLANKET,OPEN,5,NET30,EXW,2,,7,4804681.61,VR-00000075,EPICOR_SITE_B,2024-09-03 00:00:00,,True,SYSTEM,2024-09-03 00:00:00,SYSTEM,2024-09-03 00:00:00
76,PO-SAP-00000076,2023-10-24,0,159,,41,CONTRACT,CLOSED,1,NET60,DDP,8,,7,1987270.04,VR-00000076,SAP_US_EAST,2023-10-24 00:00:00,,True,SYSTEM,2023-10-24 00:00:00,SYSTEM,2023-10-24 00:00:00
77,PO-ORA-00000077,2024-04-08,0,182,,29,CONTRACT,OPEN,3,NET45,DDP,6,,2,9305110.08,VR-00000077,ORACLE_EMEA_HQ,2024-04-08 00:00:00,,True,SYSTEM,2024-04-08 00:00:00,SYSTEM,2024-04-08 00:00:00
78,PO-LEG-00000078,2024-09-20,0,24,,87,CONTRACT,OPEN,2,NET45,EXW,4,,7,7759363.45,VR-00000078,LEGACY_MAINFRAME,2024-09-20 00:00:00,,True,SYSTEM,2024-09-20 00:00:00,SYSTEM,2024-09-20 00:00:00
79,PO-DYN-00000079,2023-10-08,0,105,,89,BLANKET,OPEN,5,NET30,CIF,8,,2,2076343.98,VR-00000079,DYNAMICS_NAV_1,2023-10-08 00:00:00,,True,SYSTEM,2023-10-08 00:00:00,SYSTEM,2023-10-08 00:00:00
80,PO-SAG-00000080,2023-11-15,0,85,,10,CONTRACT,CANCELLED,1,NET30,EXW,1,,5,3044864.14,VR-00000080,SAGE_OFFICE_3,2023-11-15 00:00:00,,True,SYSTEM,2023-11-15 00:00:00,SYSTEM,2023-11-15 00:00:00
81,PO-SAP-00000081,2023-03-29,0,32,,56,STANDARD,OPEN,5,NET60,FOB,6,,5,3046554.64,VR-00000081,SAP_US_CENTRAL,2023-03-29 00:00:00,,True,SYSTEM,2023-03-29 00:00:00,SYSTEM,2023-03-29 00:00:00
82,PO-JDE-00000082,2023-10-29,0,14,,7,BLANKET,CLOSED,1,NET30,CIF,7,,6,7885601.92,VR-00000082,JDE_LEGACY_2,2023-10-29 00:00:00,,True,SYSTEM,2023-10-29 00:00:00,SYSTEM,2023-10-29 00:00:00
83,PO-SAP-00000083,2023-03-12,0,52,,34,CONTRACT,APPROVED,5,NET45,CIF,8,,2,8898393.42,VR-00000083,SAP_INDIA,2023-03-12 00:00:00,,True,SYSTEM,2023-03-12 00:00:00,SYSTEM,2023-03-12 00:00:00
84,PO-ORA-00000084,2023-01-23,0,51,,55,CONTRACT,APPROVED,1,NET30,CIF,1,,7,6001346.2,VR-00000084,ORACLE_APAC_HQ,2023-01-23 00:00:00,,True,SYSTEM,2023-01-23 00:00:00,SYSTEM,2023-01-23 00:00:00
85,PO-BIO-00000085,2023-10-29,0,138,,62,CONTRACT,CANCELLED,2,NET45,DDP,1,,5,4861332.75,VR-00000085,BIOFLOW_LAB_EU,2023-10-29 00:00:00,,True,SYSTEM,2023-10-29 00:00:00,SYSTEM,2023-10-29 00:00:00
86,PO-SAP-00000086,2024-10-15,0,103,,48,BLANKET,OPEN,2,NET30,FOB,4,,3,1053364.94,VR-00000086,SAP_AUSTRALIA,2024-10-15 00:00:00,,True,SYSTEM,2024-10-15 00:00:00,SYSTEM,2024-10-15 00:00:00
87,PO-ORA-00000087,2024-06-15,0,114,,52,BLANKET,OPEN,1,NET45,CIF,8,,7,5604086.76,VR-00000087,ORACLE_AMER_HQ,2024-06-15 00:00:00,,True,SYSTEM,2024-06-15 00:00:00,SYSTEM,2024-06-15 00:00:00
88,PO-CUS-00000088,2023-08-22,0,102,,52,CONTRACT,CLOSED,2,NET45,FOB,8,,5,4575688.33,VR-00000088,CUSTOM_MES_1,2023-08-22 00:00:00,,True,SYSTEM,2023-08-22 00:00:00,SYSTEM,2023-08-22 00:00:00
89,PO-BIO-00000089,2023-05-23,0,9,,50,BLANKET,APPROVED,5,NET30,DDP,7,,6,6383482.11,VR-00000089,BIOFLOW_LAB_ASIA,2023-05-23 00:00:00,,True,SYSTEM,2023-05-23 00:00:00,SYSTEM,2023-05-23 00:00:00
90,PO-SAP-00000090,2023-03-13,0,135,,36,CONTRACT,CLOSED,3,NET60,FOB,1,,6,10302478.67,VR-00000090,SAP_CANADA,2023-03-13 00:00:00,,True,SYSTEM,2023-03-13 00:00:00,SYSTEM,2023-03-13 00:00:00
91,PO-JDE-00000091,2023-08-11,0,186,,7,BLANKET,APPROVED,1,NET30,DDP,6,,2,6328615.95,VR-00000091,JDE_LEGACY_3,2023-08-11 00:00:00,,True,SYSTEM,2023-08-11 00:00:00,SYSTEM,2023-08-11 00:00:00
92,PO-JDE-00000092,2023-04-04,0,52,,22,CONTRACT,APPROVED,1,NET30,EXW,1,,5,823514.0,VR-00000092,JDE_LEGACY_3,2023-04-04 00:00:00,,True,SYSTEM,2023-04-04 00:00:00,SYSTEM,2023-04-04 00:00:00
93,PO-INF-00000093,2023-12-01,0,28,,49,CONTRACT,APPROVED,2,NET60,FOB,4,,2,9132588.47,VR-00000093,INFOR_DIV_3,2023-12-01 00:00:00,,True,SYSTEM,2023-12-01 00:00:00,SYSTEM,2023-12-01 00:00:00
94,PO-BIO-00000094,2024-09-23,0,6,,36,BLANKET,OPEN,2,NET60,EXW,7,,6,1507396.8,VR-00000094,BIOFLOW_LAB_US,2024-09-23 00:00:00,,True,SYSTEM,2024-09-23 00:00:00,SYSTEM,2024-09-23 00:00:00
95,PO-CUS-00000095,2023-01-25,0,74,,32,BLANKET,APPROVED,3,NET60,CIF,6,,3,2014080.33,VR-00000095,CUSTOM_MES_1,2023-01-25 00:00:00,,True,SYSTEM,2023-01-25 00:00:00,SYSTEM,2023-01-25 00:00:00
96,PO-SAG-00000096,2024-08-13,0,74,,89,BLANKET,OPEN,2,NET60,EXW,5,,4,8491624.7,VR-00000096,SAGE_OFFICE_3,2024-08-13 00:00:00,,True,SYSTEM,2024-08-13 00:00:00,SYSTEM,2024-08-13 00:00:00
97,PO-EPI-00000097,2023-09-10,0,189,,49,CONTRACT,CLOSED,1,NET60,EXW,6,,7,5840978.69,VR-00000097,EPICOR_SITE_A,2023-09-10 00:00:00,,True,SYSTEM,2023-09-10 00:00:00,SYSTEM,2023-09-10 00:00:00
