SCORECARD_ID,SUPPLIER_ID,EVALUATION_DATE,QUALITY_SCORE,DELIVERY_SCORE,PRICE_SCORE,RESPONSIVENESS_SCORE,OVERALL_SCORE,LEAD_TIME_VARIANCE_DAYS,INVOICE_ACCURACY_PCT
102,102,2024-01-31,81.08,82.09,59.95,78.45,75.71,3.37,96.23
103,103,2024-01-31,64.41,53.16,53.19,55.97,56.96,2.67,99.42
104,104,2024-01-31,65.66,71.14,67.75,57.92,66.67,1.38,96.57
105,105,2024-01-31,92.23,100,96.83,100,96.88,6.84,98.37
106,106,2024-01-31,86.11,76.41,74.0,86.67,80.26,3.19,97.1
107,107,2024-01-31,72.68,83.71,86.69,95.31,82.89,2.81,99.43
108,108,2024-01-31,100,100,94.22,100,98.56,8.23,99.19
109,109,2024-01-31,78.4,95.01,74.1,69.43,80.96,2.48,98.15
110,110,2024-01-31,69.83,45.93,61.12,59.85,58.99,0.97,93.52
111,111,2024-01-31,69.47,50.28,51.33,70.96,59.4,4.4,94.93
112,112,2024-01-31,70.31,71.51,87.25,89.11,77.72,0.58,90.23
113,113,2024-01-31,93.63,84.25,62.06,93.83,82.96,3.44,96.67
114,114,2024-01-31,100,100,94.98,99.15,98.62,2.57,96.16
115,115,2024-01-31,85.87,97.3,79.03,100,89.71,1.72,97.23
116,116,2024-01-31,81.43,59.09,71.24,85.1,72.73,1.13,87.93
117,117,2024-01-31,82.89,66.93,58.71,83.78,72.19,0.73,94.91
118,118,2024-01-31,58.36,49.43,58.59,61.77,56.25,0.64,98.36
119,119,2024-01-31,65.76,69.45,71.92,64.52,68.22,2.58,100
120,120,2024-01-31,77.16,72.7,58.23,42.0,65.82,0.67,98.94
121,121,2024-01-31,75.34,84.05,69.89,83.41,77.8,0.33,91.23
122,122,2024-01-31,64.06,63.75,39.35,58.03,56.88,3.82,97.95
123,123,2024-01-31,72.15,78.24,48.59,48.97,64.61,4.19,95.39
124,124,2024-01-31,100,100,100,100,100.0,4.22,97.75
125,125,2024-01-31,79.26,56.93,62.75,81.38,68.75,1.57,99.54
126,126,2024-01-31,100,60.36,100,67.25,83.19,1.97,98.4
127,127,2024-01-31,59.92,72.1,62.57,63.71,64.81,0.41,91.37
128,128,2024-01-31,79.25,70.75,65.47,82.95,73.81,3.91,97.26
129,129,2024-01-31,88.1,58.45,82.85,60.92,73.82,3.0,97.38
130,130,2024-01-31,67.71,86.19,92.87,88.32,82.64,0.3,95.09
131,131,2024-01-31,85.14,76.5,92.35,68.69,81.88,1.43,100
132,132,2024-01-31,48.74,60.22,42.96,50.72,51.04,0.12,96.82
133,133,2024-01-31,100,72.73,99.31,100,91.65,5.14,96.87
134,134,2024-01-31,91.04,69.83,70.7,89.86,79.41,2.91,89.18
135,135,2024-01-31,60.93,38.5,79.69,48.69,57.06,0.1,93.7
136,136,2024-01-31,75.38,87.25,66.75,97.28,80.07,0.18,93.43
137,137,2024-01-31,87.09,88.34,64.56,89.58,82.21,0.83,97.52
138,138,2024-01-31,78.99,69.86,70.86,85.0,75.12,1.14,96.38
139,139,2024-01-31,64.2,73.78,68.49,58.54,67.3,0.36,98.37
140,140,2024-01-31,68.92,68.68,74.99,64.54,69.71,1.16,94.23
141,141,2024-01-31,74.1,68.56,91.45,80.01,77.66,2.0,98.75
142,142,2024-01-31,100,96.62,97.03,98.02,97.95,2.36,100
143,143,2024-01-31,77.94,70.25,74.68,61.28,72.32,1.48,100
144,144,2024-01-31,72.61,54.75,65.59,82.71,67.01,2.04,98.04
145,145,2024-01-31,89.63,78.57,75.34,89.47,82.71,1.06,94.3
146,146,2024-01-31,75.47,75.73,100,74.25,81.5,1.3,93.11
147,147,2024-01-31,66.58,71.72,62.0,70.37,67.54,2.02,98.82
148,148,2024-01-31,100,99.31,100,93.73,98.85,2.45,98.82
149,149,2024-01-31,66.46,60.82,40.91,59.86,57.39,0.81,95.59
150,150,2024-01-31,52.82,40.37,48.91,39.26,46.08,0.26,93.01
151,151,2024-01-31,85.41,90.27,87.86,91.98,88.46,0.72,90.16
152,152,2024-01-31,74.93,71.49,65.9,51.81,68.17,1.44,93.16
153,153,2024-01-31,93.2,71.91,60.61,71.35,75.39,4.17,97.9
154,154,2024-01-31,96.65,98.91,92.17,100,96.71,2.38,95.11
155,155,2024-01-31,63.04,55.55,52.2,46.96,55.67,0.77,91.09
156,156,2024-01-31,86.97,83.15,71.62,78.1,80.66,5.61,93.46
157,157,2024-01-31,45.91,50.12,49.34,63.19,50.62,1.18,96.83
158,158,2024-01-31,82.89,76.17,67.35,87.9,77.74,1.97,95.23
159,159,2024-01-31,60.82,50.79,63.23,63.35,58.79,2.44,91.97
160,160,2024-01-31,98.64,100,79.09,100,94.36,1.23,92.04
161,161,2024-01-31,91.35,79.92,75.56,84.33,82.92,1.82,100
162,162,2024-01-31,79.05,78.12,64.27,60.86,72.35,0.65,94.86
163,163,2024-01-31,75.72,77.16,55.25,77.55,71.31,0.27,94.46
164,164,2024-01-31,77.79,80.34,80.37,84.8,80.25,1.72,91.93
165,165,2024-01-31,67.96,69.71,76.01,49.94,67.8,5.71,98.62
166,166,2024-01-31,97.61,100,79.93,100,94.27,2.08,99.02
167,167,2024-01-31,72.7,76.19,53.49,66.04,67.95,2.58,93.77
168,168,2024-01-31,39.29,42.23,35.93,61.01,42.59,1.39,92.77
169,169,2024-01-31,69.76,37.47,65.79,63.15,58.09,1.73,97.23
170,170,2024-01-31,72.19,79.09,84.77,80.12,78.59,4.19,97.93
171,171,2024-01-31,51.66,53.13,32.56,53.18,47.55,2.23,92.45
172,172,2024-01-31,86.32,92.36,89.41,90.16,89.48,1.53,94.73
173,173,2024-01-31,82.93,70.26,48.69,68.15,68.35,0.71,96.06
174,174,2024-01-31,71.47,51.07,64.05,62.27,62.12,1.63,95.47
175,175,2024-01-31,63.83,77.39,70.89,75.41,71.4,2.11,98.22
176,176,2024-01-31,100,84.02,85.2,100,91.51,1.13,98.31
177,177,2024-01-31,86.45,80.03,66.82,88.42,79.91,4.19,99.13
178,178,2024-01-31,100,89.34,100,97.93,96.49,0.64,94.26
179,179,2024-01-31,97.22,88.9,78.33,79.78,87.39,0.56,97.77
180,180,2024-01-31,73.25,46.99,73.53,68.2,64.69,2.77,96.13
181,181,2024-01-31,77.0,76.38,98.37,94.22,84.74,0.97,92.41
182,182,2024-01-31,70.78,49.95,70.71,45.13,60.67,2.35,95.91
183,183,2024-01-31,100,100,98.22,90.72,98.16,4.83,95.49
184,184,2024-01-31,65.94,51.49,61.64,65.77,60.5,6.48,93.97
185,185,2024-01-31,74.3,79.51,53.95,78.21,71.36,1.41,94.59
186,186,2024-01-31,98.23,91.45,75.77,80.86,87.98,0.83,97.71
187,187,2024-01-31,100,89.02,93.72,87.72,93.29,0.69,94.43
188,188,2024-01-31,100,100,100,100,100.0,1.62,94.74
189,189,2024-01-31,99.43,65.66,65.49,80.73,78.01,5.94,100
190,190,2024-01-31,49.85,53.72,58.27,51.84,53.41,1.53,97.47
191,191,2024-01-31,100,99.14,100,100,99.74,3.31,98.64
192,192,2024-01-31,73.32,56.17,51.76,59.18,60.67,4.65,93.91
193,193,2024-01-31,60.85,54.35,72.56,82.52,65.08,3.9,96.2
194,194,2024-01-31,58.93,64.95,38.38,64.43,56.42,0.92,98.8
195,195,2024-01-31,86.18,94.0,75.2,91.84,86.63,0.01,95.76
196,196,2024-01-31,51.38,52.35,41.06,60.07,50.39,2.63,96.36
197,197,2024-01-31,90.95,92.78,79.33,83.57,87.49,4.06,94.72
198,198,2024-01-31,72.73,56.04,61.77,60.02,63.08,1.48,97.07
199,199,2024-01-31,48.06,47.77,30,44.96,42.99,3.72,97.09
200,200,2024-01-31,65.36,49.43,65.08,68.17,60.93,1.17,91.21
201,1,2024-04-30,78.61,59.53,57.7,71.24,66.55,3.44,94.44
202,2,2024-04-30,65.91,57.83,63.0,57.74,61.53,3.21,96.04
203,3,2024-04-30,85.88,91.51,90.2,91.98,89.56,4.68,92.91
204,4,2024-04-30,94.18,72.44,75.02,67.26,78.83,0.46,90.31
205,5,2024-04-30,61.73,79.3,93.85,72.48,76.64,0.75,95.41
206,6,2024-04-30,94.97,82.77,77.61,93.71,86.78,0.45,96.59
207,7,2024-04-30,68.66,50.73,74.25,68.14,64.6,5.68,98.61
208,8,2024-04-30,100,100,100,100,100.0,2.52,97.6
209,9,2024-04-30,100,100,81.27,100,95.32,3.16,100
210,10,2024-04-30,68.6,58.4,70.49,79.07,67.58,1.41,96.48
211,11,2024-04-30,99.27,100,64.83,96.89,90.52,1.82,99.57
212,12,2024-04-30,92.19,99.43,100,90.22,96.02,4.16,98.7
213,13,2024-04-30,49.36,42.12,30,44.61,41.64,0.27,97.14
214,14,2024-04-30,95.01,94.09,63.74,82.73,85.08,2.54,92.37
215,15,2024-04-30,95.31,80.56,67.02,91.45,83.23,0.62,97.18
216,16,2024-04-30,93.08,100,98.11,91.41,96.16,1.91,89.8
217,17,2024-04-30,84.09,58.0,53.32,69.22,66.34,3.68,92.24
218,18,2024-04-30,100,95.9,100,100,98.77,0.22,97.46
219,19,2024-04-30,96.95,81.68,73.41,78.55,83.73,0.52,90.27
220,20,2024-04-30,100,100,100,100,100.0,2.6,91.96
221,21,2024-04-30,86.8,68.88,65.17,82.97,75.44,3.74,95.67
222,22,2024-04-30,97.87,100,85.74,99.8,95.77,8.01,91.55
223,23,2024-04-30,60.57,58.74,86.99,71.89,68.32,1.54,100
224,24,2024-04-30,77.69,63.74,49.97,78.86,66.75,0.15,91.85
225,25,2024-04-30,93.79,96.5,69.69,100,89.51,0.18,99.39
226,26,2024-04-30,98.3,78.4,100,91.86,91.79,0.17,97.8
227,27,2024-04-30,71.79,72.73,49.58,93.1,69.72,1.08,95.96
228,28,2024-04-30,72.8,84.23,69.66,93.63,78.57,2.2,96.92
229,29,2024-04-30,94.03,90.96,100,91.73,94.26,1.35,94.04
230,30,2024-04-30,64.01,74.04,78.71,65.34,70.9,2.63,100
231,31,2024-04-30,97.72,97.03,100,100,98.42,4.29,92.08
232,32,2024-04-30,82.3,76.61,91.51,91.98,84.35,5.22,97.82
233,33,2024-04-30,98.03,83.05,71.21,84.86,84.85,0.35,97.04
234,34,2024-04-30,100,88.95,92.81,78.87,91.72,0.51,99.28
235,35,2024-04-30,61.1,67.52,36.13,65.61,57.46,3.49,92.62
236,36,2024-04-30,98.71,85.66,83.32,93.43,90.16,1.59,97.09
237,37,2024-04-30,67.95,73.63,82.98,82.65,75.62,2.85,90.14
238,38,2024-04-30,86.87,96.07,77.09,91.71,87.91,2.09,94.12
239,39,2024-04-30,98.38,80.51,83.72,77.97,86.29,1.42,95.3
240,40,2024-04-30,83.49,84.72,55.12,70.68,74.85,3.01,90.15
241,41,2024-04-30,74.79,80.74,100,59.27,80.55,1.15,96.72
242,42,2024-04-30,74.62,92.76,61.09,74.75,76.7,5.14,98.95
243,43,2024-04-30,47.04,55.72,34.0,67.16,49.4,1.61,95.36
244,44,2024-04-30,56.94,64.28,57.46,86.54,63.71,3.01,94.03
245,45,2024-04-30,58.05,37.95,68.42,60.64,55.0,4.09,97.08
246,46,2024-04-30,70.92,51.27,73.25,74.81,66.19,4.61,94.9
247,47,2024-04-30,59.76,55.2,50.4,58.77,55.9,4.85,100
248,48,2024-04-30,49.13,32.7,30,36.67,37.55,1.62,94.54
249,49,2024-04-30,86.73,82.54,75.75,82.76,82.13,3.48,91.27
250,50,2024-04-30,90.21,80.37,70.52,94.57,82.99,2.5,89.79
251,51,2024-04-30,76.72,64.54,76.43,82.68,73.89,1.75,100
252,52,2024-04-30,100,100,95.67,100,98.92,2.54,98.21
253,53,2024-04-30,100,100,97.92,93.19,98.46,2.13,94.27
254,54,2024-04-30,62.79,61.16,55.05,79.6,62.89,2.53,96.07
255,55,2024-04-30,92.96,94.41,84.88,93.32,91.43,3.85,93.67
256,56,2024-04-30,75.0,71.44,95.73,83.36,80.37,1.04,98.15
257,57,2024-04-30,55.0,39.88,70.67,58.32,54.88,3.87,100
258,58,2024-04-30,61.48,35.43,30,39.79,42.54,0.04,95.78
259,59,2024-04-30,81.58,81.2,77.13,84.43,80.78,5.05,100
260,60,2024-04-30,77.09,68.28,53.65,47.04,64.08,1.26,95.16
261,61,2024-04-30,74.76,73.18,70.71,69.18,72.44,2.93,95.21
262,62,2024-04-30,81.84,91.81,80.29,82.9,84.6,1.51,96.3
263,63,2024-04-30,75.6,62.81,75.22,68.71,70.63,3.33,95.18
264,64,2024-04-30,100,100,100,100,100.0,0.63,95.43
265,65,2024-04-30,100,100,100,91.4,98.71,2.87,91.24
266,66,2024-04-30,100,100,72.08,100,93.02,1.3,98.78
267,67,2024-04-30,59.21,51.97,54.24,61.16,56.09,1.64,92.85
268,68,2024-04-30,80.2,95.65,83.68,79.65,85.62,1.09,94.01
269,69,2024-04-30,68.59,70.73,62.25,72.55,68.24,5.38,91.11
270,70,2024-04-30,66.86,74.55,54.62,64.76,65.8,4.62,89.84
271,71,2024-04-30,100,100,100,100,100.0,0.99,95.38
272,72,2024-04-30,66.48,58.33,54.45,68.07,61.27,2.26,98.43
273,73,2024-04-30,63.4,66.96,58.65,65.6,63.61,1.03,98.2
274,74,2024-04-30,62.98,52.79,35.53,65.73,53.47,3.11,98.37
275,75,2024-04-30,85.5,73.98,65.72,89.87,77.76,1.36,98.94
276,76,2024-04-30,72.65,65.93,60.94,56.33,65.26,0.82,95.62
277,77,2024-04-30,54.57,56.51,46.44,60.48,54.0,7.35,96.04
278,78,2024-04-30,70.38,77.18,62.21,87.47,72.94,0.6,96.18
279,79,2024-04-30,55.08,62.53,60.87,59.99,59.5,2.58,100
280,80,2024-04-30,90.15,80.87,93.74,93.61,88.78,1.47,95.93
281,81,2024-04-30,82.2,56.08,52.37,51.09,62.24,2.77,96.8
282,82,2024-04-30,100,100,100,96.12,99.42,2.21,97.92
283,83,2024-04-30,93.68,72.1,78.52,83.48,81.88,2.8,95.95
284,84,2024-04-30,80.87,97.2,85.48,97.29,89.38,1.68,98.6
285,85,2024-04-30,70.16,61.02,54.33,62.69,62.34,0.87,93.61
286,86,2024-04-30,69.04,65.97,59.41,90.68,68.96,0.84,92.43
287,87,2024-04-30,80.64,72.85,79.07,70.22,76.35,1.24,94.99
288,88,2024-04-30,74.89,63.2,66.11,71.62,68.7,4.86,94.31
289,89,2024-04-30,81.74,78.28,90.19,70.58,81.14,0.75,90.59
290,90,2024-04-30,79.97,66.82,82.55,59.21,73.56,2.21,95.45
291,91,2024-04-30,81.79,65.66,58.27,42.43,65.17,6.44,97.12
292,92,2024-04-30,69.53,52.15,48.93,72.13,59.56,0.24,98.88
293,93,2024-04-30,78.17,75.24,59.22,84.92,73.57,2.38,94.91
294,94,2024-04-30,90.2,99.86,80.47,89.69,90.59,0.71,100
295,95,2024-04-30,81.84,79.33,69.04,80.59,77.7,7.02,96.18
296,96,2024-04-30,98.58,78.02,52.94,64.9,75.95,1.53,97.89
297,97,2024-04-30,60.7,68.06,58.43,54.34,61.39,2.2,100
298,98,2024-04-30,62.1,83.95,64.53,82.85,72.38,1.5,91.21
299,99,2024-04-30,54.45,59.12,42.48,61.56,53.93,0.13,96.43
300,100,2024-04-30,82.89,72.84,80.58,81.89,79.15,3.24,95.85
301,101,2024-04-30,74.57,78.44,67.56,66.98,72.84,2.83,100
302,102,2024-04-30,77.56,79.69,78.61,79.09,78.69,2.41,94.0
303,103,2024-04-30,99.88,100,100,95.27,99.25,2.46,95.4
304,104,2024-04-30,70.86,62.59,86.58,62.88,71.11,6.46,94.11
305,105,2024-04-30,34.28,32.9,30,34.62,32.85,4.99,95.98
306,106,2024-04-30,67.63,76.85,72.01,74.33,72.5,2.33,100
307,107,2024-04-30,100,88.69,93.03,100,94.86,0.1,96.95
308,108,2024-04-30,75.48,79.79,81.41,75.18,78.21,0.88,95.61
309,109,2024-04-30,95.5,100,81.6,99.59,93.99,2.38,96.62
310,110,2024-04-30,100,100,68.31,81.74,89.34,1.78,95.11
311,111,2024-04-30,82.76,92.21,91.22,89.92,88.79,5.06,96.68
312,112,2024-04-30,100,100,100,100,100.0,0.9,100
313,113,2024-04-30,65.15,67.84,56.36,56.49,62.46,1.59,87.33
314,114,2024-04-30,83.95,90.21,70.03,84.68,82.46,3.75,100
315,115,2024-04-30,77.9,67.26,61.45,65.8,68.78,0.9,96.33
316,116,2024-04-30,45.57,56.93,30,30,42.75,0.49,92.67
317,117,2024-04-30,100,100,100,100,100.0,5.5,90.6
318,118,2024-04-30,80.25,59.3,64.89,80.33,70.13,2.93,100
319,119,2024-04-30,94.33,91.12,89.71,91.92,91.85,0.44,97.42
320,120,2024-04-30,73.08,87.54,62.31,79.05,75.62,3.86,94.96
321,121,2024-04-30,58.15,68.64,50.26,52.66,58.5,3.72,92.71
322,122,2024-04-30,69.43,53.42,59.58,69.66,62.2,4.13,100
323,123,2024-04-30,86.19,77.79,74.98,100,82.94,0.84,100
324,124,2024-04-30,76.86,72.08,65.86,77.04,72.7,1.49,99.31
325,125,2024-04-30,82.81,83.18,86.83,96.53,85.98,0.38,97.55
326,126,2024-04-30,96.66,75.69,100,92.28,90.55,0.35,98.6
327,127,2024-04-30,78.06,63.73,60.9,77.36,69.36,1.33,98.82
328,128,2024-04-30,81.61,88.85,89.11,70.63,84.01,2.34,100
329,129,2024-04-30,85.62,64.01,70.68,75.68,73.91,2.02,98.78
330,130,2024-04-30,92.36,85.55,77.41,75.45,84.04,2.31,99.8
331,131,2024-04-30,96.6,74.01,80.73,91.53,85.1,4.37,94.9
332,132,2024-04-30,85.37,75.13,82.92,78.56,80.66,1.21,100
333,133,2024-04-30,69.42,80.02,49.99,58.29,66.08,2.89,94.88
334,134,2024-04-30,67.44,90.79,68.32,90.59,78.14,0.33,94.3
335,135,2024-04-30,78.27,69.31,70.31,84.46,74.52,0.9,93.1
336,136,2024-04-30,66.22,75.89,76.81,69.84,72.31,2.89,95.6
337,137,2024-04-30,64.81,76.68,50.79,79.66,67.09,4.13,100
338,138,2024-04-30,88.51,59.02,52.16,78.33,69.05,1.52,96.4
339,139,2024-04-30,84.05,78.84,91.26,71.93,82.47,4.04,93.76
340,140,2024-04-30,98.5,100,91.32,100,97.38,1.6,100
341,141,2024-04-30,67.54,64.34,41.28,81.42,62.1,2.01,100
342,142,2024-04-30,39.38,41.39,30,40.11,37.75,0.1,97.27
343,143,2024-04-30,66.95,81.24,78.53,94.04,78.19,0.14,94.22
344,144,2024-04-30,80.94,69.7,49.58,76.54,69.07,0.16,96.91
345,145,2024-04-30,82.68,77.55,77.65,89.73,80.94,3.54,93.92
346,146,2024-04-30,77.74,67.85,62.91,68.73,69.71,1.03,97.36
347,147,2024-04-30,100,100,84.67,100,96.17,4.9,97.58
348,148,2024-04-30,70.21,69.05,78.02,82.88,73.71,0.99,96.98
349,149,2024-04-30,79.32,81.79,86.94,85.54,82.9,0.58,92.99
350,150,2024-04-30,88.72,98.56,92.92,100,94.41,3.42,94.22
351,151,2024-04-30,65.84,61.89,39.81,63.54,57.8,0.67,97.74
352,152,2024-04-30,100,86.55,90.15,100,93.5,3.79,96.24
353,153,2024-04-30,84.76,85.63,80.89,92.42,85.2,6.0,92.36
354,154,2024-04-30,69.29,72.12,52.85,63.24,65.12,5.97,92.35
355,155,2024-04-30,100,98.19,89.52,100,96.83,1.82,92.19
356,156,2024-04-30,89.33,75.74,67.34,69.65,76.8,3.42,92.26
357,157,2024-04-30,53.08,55.35,59.14,65.07,57.07,1.82,98.54
358,158,2024-04-30,80.78,62.43,59.75,56.77,66.42,3.41,93.32
359,159,2024-04-30,73.64,75.66,36.95,83.18,66.5,2.21,96.4
360,160,2024-04-30,86.33,81.11,57.1,87.87,77.69,1.2,99.73
361,161,2024-04-30,99.75,77.66,83.12,100,89.0,1.52,98.63
