DEMAND_ACTUAL_ID,PRODUCT_ID,SITE_ID,DEMAND_DATE,ACTUAL_QUANTITY,ACTUAL_UNIT_OF_MEASURE_ID,DEMAND_SOURCE
506,356,5,2023-04-06,290,1,Stock
507,122,1,2024-07-04,323,1,Stock
508,114,6,2023-10-12,28,1,Stock
509,32,7,2023-04-29,84,1,Project
510,292,7,2023-08-28,423,1,Stock
511,145,4,2023-02-10,90,1,Production
512,379,5,2024-04-28,340,1,Project
513,64,6,2024-07-27,363,1,Project
514,245,7,2024-08-10,220,1,MRO
515,329,2,2024-03-22,252,1,Stock
516,197,5,2024-03-06,56,1,Production
517,136,2,2023-07-19,197,1,MRO
518,191,5,2024-05-17,109,1,Project
519,452,1,2023-06-02,257,1,Stock
520,198,3,2023-05-22,262,1,MRO
521,283,4,2023-04-18,288,1,MRO
522,146,7,2024-03-20,187,1,Stock
523,37,3,2024-01-05,443,1,Production
524,404,1,2023-11-02,315,1,Production
525,408,8,2023-09-07,266,1,Production
526,416,3,2024-02-03,382,1,Project
527,392,1,2024-08-13,35,1,MRO
528,474,1,2023-05-20,101,1,Project
529,53,3,2024-07-21,148,1,Project
530,248,8,2024-05-07,78,1,Project
531,103,7,2024-02-22,393,1,Production
532,192,2,2024-02-29,431,1,MRO
533,351,3,2024-06-19,446,1,Project
534,179,7,2023-05-04,157,1,Production
535,53,7,2023-05-04,233,1,Stock
536,450,6,2023-02-23,104,1,MRO
537,54,8,2024-11-20,467,1,Stock
538,453,2,2023-12-15,186,1,MRO
539,279,8,2023-11-26,11,1,Project
540,246,3,2024-03-20,424,1,Production
541,397,2,2023-07-31,148,1,Project
542,420,3,2024-10-31,28,1,Stock
543,221,5,2024-05-25,351,1,MRO
544,429,7,2024-06-25,86,1,Project
545,467,7,2023-03-12,362,1,MRO
546,305,8,2023-02-18,341,1,MRO
547,39,7,2024-07-31,468,1,Stock
548,177,1,2023-02-26,115,1,Stock
549,399,4,2023-04-25,50,1,Stock
550,215,8,2024-02-10,408,1,MRO
551,482,7,2023-09-11,383,1,Project
552,2,5,2023-03-26,254,1,Production
553,193,4,2024-04-24,65,1,Production
554,279,7,2023-08-11,480,1,Project
555,401,1,2024-09-13,134,1,Production
556,284,6,2024-03-18,328,1,Project
557,71,2,2024-10-26,477,1,Production
558,199,7,2023-07-18,69,1,MRO
559,395,7,2023-12-27,434,1,Project
560,366,7,2024-06-11,51,1,MRO
561,43,6,2023-10-17,445,1,MRO
562,436,4,2024-06-22,218,1,Production
563,28,1,2024-06-18,116,1,Production
564,114,8,2023-01-08,248,1,Stock
565,257,3,2024-07-31,477,1,Project
566,258,6,2023-07-30,145,1,Production
567,87,1,2023-11-15,161,1,Stock
568,237,4,2023-02-27,394,1,MRO
569,218,1,2024-11-07,365,1,Project
570,476,4,2024-01-02,490,1,Project
571,422,6,2024-10-01,25,1,Project
572,80,3,2024-08-03,77,1,MRO
573,432,3,2024-07-05,429,1,Stock
574,401,1,2023-12-08,179,1,MRO
575,450,4,2024-09-17,48,1,MRO
576,72,5,2024-10-23,156,1,Project
577,395,6,2024-11-15,463,1,MRO
578,291,6,2024-02-13,234,1,Production
579,309,7,2024-10-12,165,1,Stock
580,270,2,2024-09-17,20,1,Project
581,66,6,2023-07-16,120,1,MRO
582,370,8,2024-11-07,178,1,Stock
583,459,3,2023-11-18,95,1,MRO
584,381,6,2023-02-10,469,1,Stock
585,374,8,2024-08-11,441,1,Stock
586,202,6,2023-05-06,286,1,Project
587,21,3,2024-08-09,68,1,Stock
588,46,2,2024-04-25,417,1,Stock
589,128,2,2023-07-23,492,1,Stock
590,331,1,2023-02-04,61,1,Project
591,430,1,2023-11-29,45,1,Production
592,399,5,2024-08-22,291,1,Project
593,332,5,2023-05-19,149,1,Project
594,265,6,2023-09-07,409,1,Stock
595,196,5,2024-01-05,152,1,Project
596,399,3,2024-03-19,151,1,Project
597,431,7,2023-07-07,278,1,Project
598,346,7,2024-01-09,50,1,Production
599,383,2,2023-02-11,484,1,Stock
600,459,6,2024-11-05,409,1,Production
601,310,1,2024-07-06,221,1,Production
602,432,6,2024-06-16,249,1,Production
603,35,1,2024-08-15,353,1,Project
604,433,6,2023-04-26,76,1,Project
605,53,4,2023-01-27,499,1,Production
606,302,3,2023-06-15,99,1,Project
607,88,5,2023-07-30,95,1,Production
608,107,2,2024-06-22,187,1,MRO
609,179,5,2023-05-01,141,1,Production
610,470,7,2024-04-23,384,1,Production
611,83,7,2024-04-25,417,1,MRO
612,370,2,2023-10-14,359,1,Project
613,277,5,2023-11-14,428,1,Production
614,112,5,2024-05-17,391,1,Project
615,395,1,2024-01-25,145,1,Production
616,498,1,2023-02-13,394,1,MRO
617,118,6,2024-06-28,183,1,MRO
618,169,3,2023-07-08,446,1,Production
619,477,6,2024-09-22,126,1,Project
620,422,7,2024-02-08,21,1,Production
621,481,1,2024-02-01,23,1,Stock
622,143,6,2023-10-22,387,1,Production
623,284,2,2023-06-30,111,1,Stock
624,124,2,2024-09-17,48,1,Stock
625,473,1,2023-12-09,55,1,Project
626,255,8,2023-12-01,209,1,MRO
627,19,4,2023-03-02,367,1,Project
628,423,1,2024-02-20,71,1,Project
629,58,3,2023-02-01,251,1,MRO
630,137,7,2023-11-22,43,1,MRO
631,24,8,2023-03-30,137,1,Project
632,341,1,2023-02-24,352,1,MRO
633,104,8,2024-06-01,27,1,Project
634,440,1,2023-03-11,303,1,Production
635,253,8,2024-09-21,57,1,Stock
636,77,1,2023-04-03,496,1,MRO
637,42,4,2024-03-26,350,1,MRO
638,398,7,2023-06-03,105,1,Project
639,2,2,2023-04-24,100,1,Production
640,468,1,2024-07-22,207,1,Stock
641,254,5,2023-02-28,304,1,Production
642,172,2,2023-05-14,378,1,MRO
643,307,2,2023-09-20,463,1,MRO
644,395,7,2023-10-11,120,1,Production
645,430,7,2023-02-10,6,1,Project
646,109,3,2024-09-30,327,1,MRO
647,166,5,2024-05-23,171,1,Production
648,449,7,2024-03-04,279,1,Stock
649,478,8,2023-02-20,470,1,Project
650,288,2,2023-05-19,227,1,Stock
651,161,7,2023-04-11,46,1,Stock
652,155,5,2023-08-02,57,1,Project
653,144,1,2024-06-16,484,1,Project
654,467,4,2023-07-22,60,1,Project
655,61,6,2023-11-03,473,1,Project
656,69,2,2023-04-25,373,1,Project
657,56,2,2023-07-10,408,1,Stock
658,187,3,2024-01-16,429,1,Stock
659,350,7,2023-03-24,25,1,Production
660,436,5,2023-05-27,476,1,Stock
661,36,3,2024-03-20,129,1,Stock
662,222,3,2024-11-09,51,1,Project
663,482,7,2024-07-07,219,1,Stock
664,20,3,2024-03-20,63,1,Project
665,461,3,2024-03-12,398,1,Stock
666,38,8,2023-11-17,316,1,Project
667,329,2,2023-07-14,56,1,Production
668,498,3,2023-05-04,429,1,Project
669,291,7,2023-07-02,238,1,Stock
670,367,2,2023-01-29,50,1,Project
671,185,5,2023-08-16,17,1,Project
672,476,2,2024-09-08,499,1,Production
673,5,1,2024-05-25,23,1,Project
674,482,8,2024-06-07,140,1,Production
