PURCHASE_ORDER_LINE_ID,PURCHASE_ORDER_ID,LINE_NUMBER,PURCHASE_REQUISITION_LINE_ID,PRODUCT_ID,ITEM_DESCRIPTION,SUPPLIER_PART_NUMBER,ORDERED_QUANTITY,ORDERED_UNIT_OF_MEASURE_ID,UNIT_PRICE,EXTENDED_PRICE,NEED_BY_DATE,PROMISED_DELIVERY_DATE,LINE_STATUS,RECEIVED_QUANTITY,INVOICED_QUANTITY,TAX_CODE,TAX_AMOUNT,GENERAL_LEDGER_ACCOUNT_CODE
22,4,3,,206,Product 206,SUP-PART-206,526,1,1694.19,891143.94,2023-09-28,2023-09-29,CANCELLED,526,526,TAX1,71291.52,5000-00
23,4,4,,282,Product 282,SUP-PART-282,342,1,4225.82,1445230.44,2023-10-30,2023-11-04,CANCELLED,342,342,TAX1,115618.44,5000-00
24,4,5,,124,Product 124,SUP-PART-124,586,1,2732.67,1601344.62,2023-10-26,2023-10-31,CLOSED,586,586,TAX1,128107.57,5000-00
25,4,6,,492,Product 492,SUP-PART-492,416,1,10.98,4567.68,2023-09-12,2023-09-09,OPEN,416,416,TAX1,365.41,5000-00
26,4,7,,155,Product 155,SUP-PART-155,16,1,1508.67,24138.72,2023-10-06,2023-10-02,CLOSED,0,16,TAX1,1931.1,5000-00
27,5,1,,120,Product 120,SUP-PART-120,272,1,4057.26,1103574.72,2023-07-04,2023-07-06,CANCELLED,272,0,TAX1,88285.98,5000-00
28,5,2,,40,Product 40,SUP-PART-40,750,1,1630.21,1222657.5,2023-08-23,2023-08-18,CANCELLED,750,750,TAX1,97812.6,5000-00
29,5,3,,296,Product 296,SUP-PART-296,849,1,4539.2,3853780.8,2023-09-07,2023-09-10,CLOSED,0,849,TAX1,308302.46,5000-00
30,6,1,,325,Product 325,SUP-PART-325,806,1,3164.65,2550707.9,2024-03-22,2024-03-19,OPEN,806,806,TAX1,204056.63,5000-00
31,6,2,,168,Product 168,SUP-PART-168,524,1,3491.87,1829739.88,2024-04-04,2024-03-28,CANCELLED,524,524,TAX1,146379.19,5000-00
32,7,1,,293,Product 293,SUP-PART-293,773,1,256.06,197934.38,2023-08-05,2023-08-02,OPEN,773,773,TAX1,15834.75,5000-00
33,7,2,,358,Product 358,SUP-PART-358,143,1,3812.54,545193.22,2023-08-15,2023-08-16,RECEIVED,143,143,TAX1,43615.46,5000-00
34,7,3,,101,Product 101,SUP-PART-101,584,1,3083.82,1800950.88,2023-08-21,2023-08-17,RECEIVED,0,584,TAX1,144076.07,5000-00
35,8,1,,395,Product 395,SUP-PART-395,322,1,854.58,275174.76,2024-02-19,2024-02-21,CANCELLED,322,322,TAX1,22013.98,5000-00
36,8,2,,474,Product 474,SUP-PART-474,847,1,1175.11,995318.17,2024-02-22,2024-02-17,OPEN,0,0,TAX1,79625.45,5000-00
37,8,3,,486,Product 486,SUP-PART-486,645,1,4634.38,2989175.1,2024-02-11,2024-02-04,CLOSED,645,0,TAX1,239134.01,5000-00
38,8,4,,231,Product 231,SUP-PART-231,492,1,123.51,60766.92,2024-02-01,2024-02-05,RECEIVED,492,492,TAX1,4861.35,5000-00
39,9,1,,88,Product 88,SUP-PART-88,71,1,1427.23,101333.33,2025-01-02,2024-12-26,CANCELLED,71,0,TAX1,8106.67,5000-00
40,10,1,,195,Product 195,SUP-PART-195,530,1,4883.29,2588143.7,2023-02-15,2023-02-22,CLOSED,530,530,TAX1,207051.5,5000-00
41,10,2,,46,Product 46,SUP-PART-46,200,1,1002.39,200478.0,2023-04-02,2023-04-03,OPEN,0,200,TAX1,16038.24,5000-00
42,10,3,,157,Product 157,SUP-PART-157,351,1,2454.76,861620.76,2023-02-23,2023-02-16,CLOSED,351,351,TAX1,68929.66,5000-00
43,10,4,,155,Product 155,SUP-PART-155,251,1,4980.01,1249982.51,2023-04-08,2023-04-05,OPEN,251,251,TAX1,99998.6,5000-00
44,10,5,,456,Product 456,SUP-PART-456,844,1,4951.9,4179403.6,2023-04-15,2023-04-12,RECEIVED,0,844,TAX1,334352.29,5000-00
45,11,1,,219,Product 219,SUP-PART-219,329,1,4549.58,1496811.82,2024-11-14,2024-11-14,RECEIVED,329,0,TAX1,119744.95,5000-00
46,11,2,,278,Product 278,SUP-PART-278,710,1,4002.52,2841789.2,2024-10-20,2024-10-17,RECEIVED,710,710,TAX1,227343.14,5000-00
47,11,3,,395,Product 395,SUP-PART-395,158,1,3284.6,518966.8,2024-12-14,2024-12-21,RECEIVED,158,158,TAX1,41517.34,5000-00
48,11,4,,486,Product 486,SUP-PART-486,746,1,600.75,448159.5,2024-11-12,2024-11-18,RECEIVED,746,746,TAX1,35852.76,5000-00
49,12,1,,391,Product 391,SUP-PART-391,636,1,3088.56,1964324.16,2023-10-06,2023-10-08,RECEIVED,636,0,TAX1,157145.93,5000-00
50,12,2,,14,Product 14,SUP-PART-14,377,1,406.58,153280.66,2023-09-25,2023-09-20,CANCELLED,377,377,TAX1,12262.45,5000-00
51,13,1,,487,Product 487,SUP-PART-487,432,1,1120.55,484077.6,2023-03-14,2023-03-19,RECEIVED,0,432,TAX1,38726.21,5000-00
52,13,2,,225,Product 225,SUP-PART-225,897,1,3089.13,2770949.61,2023-03-30,2023-04-05,CANCELLED,897,897,TAX1,221675.97,5000-00
53,13,3,,398,Product 398,SUP-PART-398,52,1,3043.57,158265.64,2023-04-06,2023-04-10,CLOSED,52,52,TAX1,12661.25,5000-00
54,13,4,,293,Product 293,SUP-PART-293,618,1,2685.44,1659601.92,2023-02-21,2023-02-22,OPEN,618,618,TAX1,132768.15,5000-00
55,13,5,,22,Product 22,SUP-PART-22,908,1,4979.22,4521131.76,2023-04-24,2023-04-25,CANCELLED,908,0,TAX1,361690.54,5000-00
56,13,6,,199,Product 199,SUP-PART-199,538,1,3828.15,2059544.7,2023-02-23,2023-02-19,CLOSED,538,538,TAX1,164763.58,5000-00
57,13,7,,397,Product 397,SUP-PART-397,857,1,1436.71,1231260.47,2023-03-10,2023-03-09,CLOSED,857,0,TAX1,98500.84,5000-00
58,14,1,,212,Product 212,SUP-PART-212,341,1,2259.92,770632.72,2024-07-02,2024-07-02,RECEIVED,341,0,TAX1,61650.62,5000-00
59,14,2,,166,Product 166,SUP-PART-166,718,1,3246.4,2330915.2,2024-06-30,2024-07-04,OPEN,0,718,TAX1,186473.22,5000-00
60,15,1,,394,Product 394,SUP-PART-394,184,1,4562.14,839433.76,2024-12-13,2024-12-19,RECEIVED,0,0,TAX1,67154.7,5000-00
61,15,2,,394,Product 394,SUP-PART-394,739,1,266.04,196603.56,2024-11-10,2024-11-07,CANCELLED,739,0,TAX1,15728.28,5000-00
62,15,3,,461,Product 461,SUP-PART-461,144,1,4802.57,691570.08,2024-10-02,2024-10-04,CLOSED,0,144,TAX1,55325.61,5000-00
63,16,1,,41,Product 41,SUP-PART-41,625,1,3004.51,1877818.75,2024-10-09,2024-10-16,CLOSED,625,625,TAX1,150225.5,5000-00
64,16,2,,423,Product 423,SUP-PART-423,222,1,254.1,56410.2,2024-09-26,2024-09-19,CLOSED,0,222,TAX1,4512.82,5000-00
65,16,3,,342,Product 342,SUP-PART-342,601,1,4191.69,2519205.69,2024-10-16,2024-10-14,OPEN,0,601,TAX1,201536.46,5000-00
66,16,4,,92,Product 92,SUP-PART-92,175,1,3363.73,588652.75,2024-11-23,2024-11-25,RECEIVED,175,175,TAX1,47092.22,5000-00
67,16,5,,185,Product 185,SUP-PART-185,963,1,188.84,181852.92,2024-10-16,2024-10-14,CLOSED,963,963,TAX1,14548.23,5000-00
68,16,6,,389,Product 389,SUP-PART-389,447,1,4218.12,1885499.64,2024-09-16,2024-09-13,CANCELLED,0,447,TAX1,150839.97,5000-00
69,16,7,,141,Product 141,SUP-PART-141,347,1,2639.99,916076.53,2024-11-14,2024-11-10,RECEIVED,347,0,TAX1,73286.12,5000-00
70,16,8,,374,Product 374,SUP-PART-374,654,1,2649.44,1732733.76,2024-09-19,2024-09-19,CLOSED,654,654,TAX1,138618.7,5000-00
71,17,1,,363,Product 363,SUP-PART-363,307,1,4896.5,1503225.5,2024-10-23,2024-10-17,OPEN,307,307,TAX1,120258.04,5000-00
72,17,2,,378,Product 378,SUP-PART-378,878,1,1044.58,917141.24,2024-12-15,2024-12-14,OPEN,878,878,TAX1,73371.3,5000-00
73,17,3,,327,Product 327,SUP-PART-327,227,1,66.37,15065.99,2024-11-17,2024-11-21,CLOSED,227,0,TAX1,1205.28,5000-00
74,17,4,,154,Product 154,SUP-PART-154,528,1,2754.47,1454360.16,2024-10-23,2024-10-17,CLOSED,528,528,TAX1,116348.81,5000-00
75,17,5,,316,Product 316,SUP-PART-316,993,1,155.3,154212.9,2024-11-14,2024-11-10,CLOSED,993,993,TAX1,12337.03,5000-00
76,17,6,,246,Product 246,SUP-PART-246,948,1,2377.76,2254116.48,2024-10-27,2024-10-30,RECEIVED,948,948,TAX1,180329.32,5000-00
77,17,7,,457,Product 457,SUP-PART-457,895,1,2689.47,2407075.65,2024-12-04,2024-12-04,CANCELLED,895,0,TAX1,192566.05,5000-00
78,17,8,,267,Product 267,SUP-PART-267,316,1,2829.06,893982.96,2024-12-02,2024-12-03,OPEN,316,316,TAX1,71518.64,5000-00
79,18,1,,305,Product 305,SUP-PART-305,129,1,4324.32,557837.28,2024-11-25,2024-11-29,CLOSED,129,0,TAX1,44626.98,5000-00
80,18,2,,45,Product 45,SUP-PART-45,518,1,4386.47,2272191.46,2024-12-03,2024-12-03,CLOSED,518,518,TAX1,181775.32,5000-00
81,18,3,,58,Product 58,SUP-PART-58,393,1,3926.87,1543259.91,2024-11-11,2024-11-18,OPEN,393,0,TAX1,123460.79,5000-00
82,19,1,,394,Product 394,SUP-PART-394,902,1,500.28,451252.56,2024-09-08,2024-09-11,RECEIVED,902,0,TAX1,36100.2,5000-00
83,19,2,,199,Product 199,SUP-PART-199,740,1,4325.4,3200796.0,2024-07-18,2024-07-11,CLOSED,740,740,TAX1,256063.68,5000-00
84,19,3,,305,Product 305,SUP-PART-305,902,1,444.51,400948.02,2024-09-01,2024-09-08,OPEN,0,902,TAX1,32075.84,5000-00
85,19,4,,382,Product 382,SUP-PART-382,329,1,122.18,40197.22,2024-08-12,2024-08-15,RECEIVED,329,0,TAX1,3215.78,5000-00
86,19,5,,142,Product 142,SUP-PART-142,555,1,1602.56,889420.8,2024-08-29,2024-09-01,OPEN,555,0,TAX1,71153.66,5000-00
87,20,1,,88,Product 88,SUP-PART-88,82,1,1563.77,128229.14,2023-12-01,2023-12-02,CANCELLED,0,0,TAX1,10258.33,5000-00
88,20,2,,463,Product 463,SUP-PART-463,701,1,261.78,183507.78,2023-12-07,2023-11-30,OPEN,701,0,TAX1,14680.62,5000-00
89,20,3,,306,Product 306,SUP-PART-306,922,1,2967.85,2736357.7,2023-12-15,2023-12-17,CLOSED,922,922,TAX1,218908.62,5000-00
90,21,1,,241,Product 241,SUP-PART-241,247,1,4737.77,1170229.19,2024-05-26,2024-06-01,CLOSED,247,247,TAX1,93618.34,5000-00
91,21,2,,359,Product 359,SUP-PART-359,949,1,3329.25,3159458.25,2024-06-18,2024-06-18,CANCELLED,0,949,TAX1,252756.66,5000-00
92,22,1,,419,Product 419,SUP-PART-419,741,1,3985.82,2953492.62,2024-11-04,2024-11-05,OPEN,741,741,TAX1,236279.41,5000-00
93,22,2,,206,Product 206,SUP-PART-206,614,1,2073.08,1272871.12,2024-10-25,2024-10-26,RECEIVED,614,614,TAX1,101829.69,5000-00
94,22,3,,175,Product 175,SUP-PART-175,223,1,4071.44,907931.12,2024-12-08,2024-12-07,CANCELLED,223,223,TAX1,72634.49,5000-00
95,23,1,,285,Product 285,SUP-PART-285,109,1,4111.9,448197.1,2024-09-15,2024-09-12,CANCELLED,0,0,TAX1,35855.77,5000-00
96,23,2,,417,Product 417,SUP-PART-417,620,1,3859.0,2392580.0,2024-10-11,2024-10-09,CANCELLED,620,0,TAX1,191406.4,5000-00
97,23,3,,112,Product 112,SUP-PART-112,846,1,703.19,594898.74,2024-11-06,2024-11-13,OPEN,846,846,TAX1,47591.9,5000-00
98,23,4,,232,Product 232,SUP-PART-232,554,1,1464.6,811388.4,2024-11-05,2024-11-05,RECEIVED,554,554,TAX1,64911.07,5000-00
99,23,5,,154,Product 154,SUP-PART-154,593,1,3973.79,2356457.47,2024-10-01,2024-10-08,CANCELLED,593,593,TAX1,188516.6,5000-00
100,23,6,,46,Product 46,SUP-PART-46,606,1,50.52,30615.12,2024-10-28,2024-10-27,RECEIVED,606,0,TAX1,2449.21,5000-00
101,23,7,,462,Product 462,SUP-PART-462,572,1,4839.82,2768377.04,2024-08-24,2024-08-28,CLOSED,0,0,TAX1,221470.16,5000-00
102,23,8,,16,Product 16,SUP-PART-16,250,1,2164.26,541065.0,2024-11-07,2024-11-06,CLOSED,250,250,TAX1,43285.2,5000-00
103,24,1,,148,Product 148,SUP-PART-148,903,1,3353.63,3028327.89,2023-08-12,2023-08-05,OPEN,903,0,TAX1,242266.23,5000-00
104,24,2,,454,Product 454,SUP-PART-454,508,1,3293.05,1672869.4,2023-08-12,2023-08-06,RECEIVED,508,508,TAX1,133829.55,5000-00
105,24,3,,234,Product 234,SUP-PART-234,925,1,3946.75,3650743.75,2023-09-18,2023-09-20,RECEIVED,925,925,TAX1,292059.5,5000-00
106,24,4,,420,Product 420,SUP-PART-420,470,1,1929.73,906973.1,2023-08-23,2023-08-18,CANCELLED,470,470,TAX1,72557.85,5000-00
107,24,5,,434,Product 434,SUP-PART-434,758,1,1191.38,903066.04,2023-09-28,2023-09-25,CANCELLED,758,758,TAX1,72245.28,5000-00
108,24,6,,18,Product 18,SUP-PART-18,48,1,2845.07,136563.36,2023-09-11,2023-09-05,CANCELLED,48,0,TAX1,10925.07,5000-00
109,24,7,,374,Product 374,SUP-PART-374,758,1,2636.78,1998679.24,2023-08-30,2023-08-30,OPEN,758,758,TAX1,159894.34,5000-00
110,25,1,,294,Product 294,SUP-PART-294,761,1,1664.25,1266494.25,2024-02-15,2024-02-20,CLOSED,761,0,TAX1,101319.54,5000-00
111,26,1,,415,Product 415,SUP-PART-415,765,1,3125.34,2390885.1,2024-06-18,2024-06-18,OPEN,0,0,TAX1,191270.81,5000-00
112,26,2,,402,Product 402,SUP-PART-402,294,1,1267.73,372712.62,2024-06-17,2024-06-14,CLOSED,0,0,TAX1,29817.01,5000-00
113,26,3,,90,Product 90,SUP-PART-90,941,1,2962.93,2788117.13,2024-06-01,2024-06-04,CANCELLED,941,0,TAX1,223049.37,5000-00
114,27,1,,122,Product 122,SUP-PART-122,686,1,2206.52,1513672.72,2023-07-03,2023-06-29,CLOSED,0,0,TAX1,121093.82,5000-00
115,27,2,,420,Product 420,SUP-PART-420,128,1,272.09,34827.52,2023-08-10,2023-08-09,CANCELLED,128,128,TAX1,2786.2,5000-00
116,27,3,,386,Product 386,SUP-PART-386,954,1,2667.28,2544585.12,2023-07-30,2023-08-02,CANCELLED,954,0,TAX1,203566.81,5000-00
117,28,1,,313,Product 313,SUP-PART-313,950,1,3263.81,3100619.5,2024-08-13,2024-08-11,CLOSED,950,0,TAX1,248049.56,5000-00
118,29,1,,161,Product 161,SUP-PART-161,570,1,62.78,35784.6,2024-09-09,2024-09-15,OPEN,0,0,TAX1,2862.77,5000-00
119,29,2,,54,Product 54,SUP-PART-54,711,1,2235.25,1589262.75,2024-10-06,2024-10-10,CLOSED,711,0,TAX1,127141.02,5000-00
120,29,3,,318,Product 318,SUP-PART-318,104,1,293.84,30559.36,2024-11-23,2024-11-26,RECEIVED,104,104,TAX1,2444.75,5000-00
121,29,4,,363,Product 363,SUP-PART-363,990,1,608.69,602603.1,2024-09-24,2024-09-23,RECEIVED,990,990,TAX1,48208.25,5000-00
122,30,1,,83,Product 83,SUP-PART-83,809,1,379.25,306813.25,2023-11-01,2023-10-31,CANCELLED,809,0,TAX1,24545.06,5000-00
123,30,2,,490,Product 490,SUP-PART-490,842,1,1330.68,1120432.56,2023-12-20,2023-12-14,CANCELLED,842,0,TAX1,89634.6,5000-00
124,30,3,,202,Product 202,SUP-PART-202,192,1,3230.96,620344.32,2023-11-07,2023-11-02,CANCELLED,192,192,TAX1,49627.55,5000-00
125,30,4,,468,Product 468,SUP-PART-468,462,1,3579.85,1653890.7,2023-11-07,2023-10-31,OPEN,0,462,TAX1,132311.26,5000-00
126,30,5,,398,Product 398,SUP-PART-398,466,1,103.64,48296.24,2023-12-27,2023-12-22,OPEN,466,466,TAX1,3863.7,5000-00
127,30,6,,137,Product 137,SUP-PART-137,165,1,3503.28,578041.2,2023-12-14,2023-12-16,OPEN,165,165,TAX1,46243.3,5000-00
128,30,7,,252,Product 252,SUP-PART-252,499,1,2185.93,1090779.07,2023-11-02,2023-11-03,RECEIVED,0,499,TAX1,87262.33,5000-00
129,31,1,,274,Product 274,SUP-PART-274,883,1,4805.02,4242832.66,2023-12-01,2023-12-07,CANCELLED,883,0,TAX1,339426.61,5000-00
130,31,2,,104,Product 104,SUP-PART-104,190,1,2776.83,527597.7,2024-01-09,2024-01-12,RECEIVED,190,190,TAX1,42207.82,5000-00
131,31,3,,55,Product 55,SUP-PART-55,655,1,3447.32,2257994.6,2024-01-22,2024-01-16,CANCELLED,655,0,TAX1,180639.57,5000-00
132,31,4,,99,Product 99,SUP-PART-99,35,1,3601.5,126052.5,2024-02-04,2024-01-31,CANCELLED,35,35,TAX1,10084.2,5000-00
133,31,5,,330,Product 330,SUP-PART-330,325,1,2503.42,813611.5,2024-01-17,2024-01-10,OPEN,325,325,TAX1,65088.92,5000-00
134,31,6,,370,Product 370,SUP-PART-370,53,1,2033.48,107774.44,2023-12-18,2023-12-23,CANCELLED,53,53,TAX1,8621.96,5000-00
135,31,7,,275,Product 275,SUP-PART-275,162,1,3707.85,600671.7,2023-12-20,2023-12-27,OPEN,0,0,TAX1,48053.74,5000-00
136,32,1,,464,Product 464,SUP-PART-464,324,1,4105.49,1330178.76,2024-11-21,2024-11-21,RECEIVED,324,0,TAX1,106414.3,5000-00
137,32,2,,419,Product 419,SUP-PART-419,118,1,579.76,68411.68,2025-01-24,2025-01-29,RECEIVED,0,0,TAX1,5472.93,5000-00
138,32,3,,173,Product 173,SUP-PART-173,840,1,4181.12,3512140.8,2024-12-30,2024-12-28,OPEN,840,840,TAX1,280971.26,5000-00
139,33,1,,357,Product 357,SUP-PART-357,388,1,2771.5,1075342.0,2023-07-13,2023-07-09,OPEN,0,388,TAX1,86027.36,5000-00
140,33,2,,324,Product 324,SUP-PART-324,637,1,1886.89,1201948.93,2023-06-07,2023-05-31,CANCELLED,0,0,TAX1,96155.91,5000-00
141,33,3,,475,Product 475,SUP-PART-475,101,1,3536.64,357200.64,2023-08-01,2023-08-08,CLOSED,101,101,TAX1,28576.05,5000-00
142,33,4,,396,Product 396,SUP-PART-396,497,1,3464.87,1722040.39,2023-06-13,2023-06-08,CLOSED,497,497,TAX1,137763.23,5000-00
143,33,5,,481,Product 481,SUP-PART-481,188,1,3056.58,574637.04,2023-05-22,2023-05-24,RECEIVED,188,188,TAX1,45970.96,5000-00
144,34,1,,442,Product 442,SUP-PART-442,789,1,4934.04,3892957.56,2023-11-16,2023-11-12,CANCELLED,789,789,TAX1,311436.6,5000-00
145,34,2,,142,Product 142,SUP-PART-142,64,1,976.66,62506.24,2023-10-02,2023-10-05,CANCELLED,64,0,TAX1,5000.5,5000-00
146,34,3,,473,Product 473,SUP-PART-473,54,1,279.6,15098.4,2023-10-29,2023-10-26,RECEIVED,54,54,TAX1,1207.87,5000-00
147,34,4,,413,Product 413,SUP-PART-413,921,1,3794.46,3494697.66,2023-09-18,2023-09-12,OPEN,921,0,TAX1,279575.81,5000-00
148,35,1,,118,Product 118,SUP-PART-118,807,1,559.56,451564.92,2024-10-11,2024-10-05,RECEIVED,807,807,TAX1,36125.19,5000-00
149,35,2,,193,Product 193,SUP-PART-193,922,1,1111.11,1024443.42,2024-11-11,2024-11-13,CANCELLED,0,922,TAX1,81955.47,5000-00
150,35,3,,111,Product 111,SUP-PART-111,960,1,3051.07,2929027.2,2024-10-04,2024-10-03,CLOSED,0,960,TAX1,234322.18,5000-00
151,35,4,,324,Product 324,SUP-PART-324,377,1,4878.02,1839013.54,2024-10-07,2024-10-05,RECEIVED,0,377,TAX1,147121.08,5000-00
152,35,5,,144,Product 144,SUP-PART-144,149,1,564.44,84101.56,2024-11-10,2024-11-10,CANCELLED,0,149,TAX1,6728.12,5000-00
153,35,6,,454,Product 454,SUP-PART-454,312,1,3022.14,942907.68,2024-10-03,2024-10-05,RECEIVED,0,312,TAX1,75432.61,5000-00
154,36,1,,297,Product 297,SUP-PART-297,237,1,4460.19,1057065.03,2024-06-11,2024-06-06,OPEN,237,0,TAX1,84565.2,5000-00
155,36,2,,241,Product 241,SUP-PART-241,761,1,3845.35,2926311.35,2024-04-01,2024-03-31,CANCELLED,761,761,TAX1,234104.91,5000-00
156,36,3,,421,Product 421,SUP-PART-421,110,1,2267.68,249444.8,2024-04-27,2024-04-21,OPEN,110,110,TAX1,19955.58,5000-00
157,36,4,,112,Product 112,SUP-PART-112,145,1,1798.44,260773.8,2024-04-27,2024-04-30,OPEN,0,145,TAX1,20861.9,5000-00
158,37,1,,361,Product 361,SUP-PART-361,658,1,16.8,11054.4,2023-06-14,2023-06-13,CLOSED,658,0,TAX1,884.35,5000-00
159,37,2,,386,Product 386,SUP-PART-386,286,1,3493.29,999080.94,2023-08-13,2023-08-15,RECEIVED,286,0,TAX1,79926.48,5000-00
160,37,3,,451,Product 451,SUP-PART-451,353,1,3681.45,1299551.85,2023-06-12,2023-06-13,CLOSED,353,0,TAX1,103964.15,5000-00
161,37,4,,188,Product 188,SUP-PART-188,486,1,3099.48,1506347.28,2023-07-21,2023-07-19,RECEIVED,486,486,TAX1,120507.78,5000-00
162,37,5,,288,Product 288,SUP-PART-288,736,1,3870.14,2848423.04,2023-06-22,2023-06-20,RECEIVED,736,736,TAX1,227873.84,5000-00
163,37,6,,378,Product 378,SUP-PART-378,971,1,3763.86,3654708.06,2023-07-01,2023-07-06,RECEIVED,971,971,TAX1,292376.64,5000-00
164,37,7,,258,Product 258,SUP-PART-258,706,1,2120.42,1497016.52,2023-06-11,2023-06-05,CLOSED,706,706,TAX1,119761.32,5000-00
165,38,1,,42,Product 42,SUP-PART-42,410,1,4490.75,1841207.5,2024-03-02,2024-02-25,OPEN,0,0,TAX1,147296.6,5000-00
166,38,2,,76,Product 76,SUP-PART-76,518,1,760.99,394192.82,2024-02-21,2024-02-22,OPEN,518,518,TAX1,31535.43,5000-00
167,39,1,,12,Product 12,SUP-PART-12,902,1,4011.93,3618760.86,2025-01-10,2025-01-13,CLOSED,902,902,TAX1,289500.87,5000-00
168,40,1,,405,Product 405,SUP-PART-405,276,1,1141.64,315092.64,2024-10-03,2024-09-30,OPEN,0,0,TAX1,25207.41,5000-00
169,40,2,,490,Product 490,SUP-PART-490,180,1,3096.96,557452.8,2024-09-06,2024-09-10,CLOSED,0,0,TAX1,44596.22,5000-00
170,40,3,,363,Product 363,SUP-PART-363,719,1,4524.51,3253122.69,2024-09-05,2024-08-31,RECEIVED,0,719,TAX1,260249.82,5000-00
171,41,1,,76,Product 76,SUP-PART-76,391,1,2247.66,878835.06,2024-09-01,2024-09-02,CLOSED,0,0,TAX1,70306.8,5000-00
172,42,1,,459,Product 459,SUP-PART-459,306,1,4848.33,1483588.98,2024-10-08,2024-10-11,RECEIVED,306,306,TAX1,118687.12,5000-00
173,42,2,,473,Product 473,SUP-PART-473,462,1,1700.04,785418.48,2024-08-10,2024-08-14,CANCELLED,462,0,TAX1,62833.48,5000-00
174,42,3,,283,Product 283,SUP-PART-283,129,1,1547.33,199605.57,2024-09-16,2024-09-18,RECEIVED,129,0,TAX1,15968.45,5000-00
175,42,4,,29,Product 29,SUP-PART-29,632,1,3210.15,2028814.8,2024-10-09,2024-10-10,RECEIVED,632,632,TAX1,162305.18,5000-00
