SUPPLIER_ID,SUPPLIER_CODE,PARTY_ID,SUPPLIER_STATUS,SUPPLIER_TYPE,SUPPLIER_CLASS,APPROVAL_DATE,PRIMARY_CONTACT_PERSON_ID,PAYMENT_TERMS,CURRENCY_ID,TAX_IDENTIFICATION_NUMBER,DUNS_NUMBER,CERTIFICATION_STATUS,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
28,SUP-00028,28,ACTIVE,PREFERRED,B,2022-06-12,,NET45,1,TAX000000028,860000028,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
29,SUP-00029,29,ACTIVE,PREFERRED,A,2020-10-12,,NET45,5,TAX000000029,860000029,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
30,SUP-00030,30,ACTIVE,STRATEGIC,B,2020-04-21,,NET45,3,TAX000000030,860000030,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
31,SUP-00031,31,ACTIVE,APPROVED,A,2021-01-07,,2/10NET30,1,TAX000000031,860000031,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
32,SUP-00032,32,ACTIVE,STANDARD,B,2020-07-15,,2/10NET30,3,TAX000000032,860000032,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
33,SUP-00033,33,ACTIVE,APPROVED,B,2021-04-21,,NET45,5,TAX000000033,860000033,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
34,SUP-00034,34,ACTIVE,APPROVED,C,2021-11-19,,NET60,1,TAX000000034,860000034,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
35,SUP-00035,35,ACTIVE,STRATEGIC,B,2021-05-21,,2/10NET30,2,TAX000000035,860000035,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
36,SUP-00036,36,ACTIVE,STANDARD,A,2020-05-16,,NET45,1,TAX000000036,860000036,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
37,SUP-00037,37,ACTIVE,STANDARD,C,2021-04-05,,2/10NET30,2,TAX000000037,860000037,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
38,SUP-00038,38,ACTIVE,STRATEGIC,C,2020-12-09,,NET60,2,TAX000000038,860000038,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
39,SUP-00039,39,ACTIVE,PREFERRED,A,2021-07-09,,2/10NET30,5,TAX000000039,860000039,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
40,SUP-00040,40,ACTIVE,STRATEGIC,C,2022-08-23,,2/10NET30,5,TAX000000040,860000040,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
41,SUP-00041,41,ACTIVE,STANDARD,B,2021-11-15,,NET30,5,TAX000000041,860000041,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
42,SUP-00042,42,ACTIVE,STRATEGIC,A,2020-07-05,,2/10NET30,2,TAX000000042,860000042,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
43,SUP-00043,43,ACTIVE,STANDARD,B,2021-04-26,,2/10NET30,3,TAX000000043,860000043,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
44,SUP-00044,44,ACTIVE,STRATEGIC,A,2021-09-28,,NET45,2,TAX000000044,860000044,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
45,SUP-00045,45,ACTIVE,APPROVED,B,2022-09-14,,NET45,1,TAX000000045,860000045,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
46,SUP-00046,46,ACTIVE,STRATEGIC,C,2022-05-20,,NET45,1,TAX000000046,860000046,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
47,SUP-00047,47,ACTIVE,APPROVED,A,2021-03-19,,2/10NET30,5,TAX000000047,860000047,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
48,SUP-00048,48,ACTIVE,APPROVED,C,2022-04-25,,2/10NET30,5,TAX000000048,860000048,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
49,SUP-00049,49,ACTIVE,STANDARD,C,2021-05-21,,2/10NET30,3,TAX000000049,860000049,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
50,SUP-00050,50,ACTIVE,APPROVED,C,2020-09-04,,NET30,2,TAX000000050,860000050,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
51,SUP-00051,51,ACTIVE,STRATEGIC,B,2020-11-09,,NET45,5,TAX000000051,860000051,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
52,SUP-00052,52,ACTIVE,APPROVED,B,2020-09-14,,2/10NET30,3,TAX000000052,860000052,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
53,SUP-00053,53,ACTIVE,PREFERRED,A,2020-04-12,,2/10NET30,3,TAX000000053,860000053,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
54,SUP-00054,54,ACTIVE,PREFERRED,B,2021-12-15,,NET30,1,TAX000000054,860000054,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
55,SUP-00055,55,ACTIVE,STANDARD,B,2020-09-15,,NET60,2,TAX000000055,860000055,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
56,SUP-00056,56,ACTIVE,STRATEGIC,A,2020-09-11,,NET45,3,TAX000000056,860000056,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
57,SUP-00057,57,ACTIVE,STANDARD,B,2021-10-02,,NET30,1,TAX000000057,860000057,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
58,SUP-00058,58,ACTIVE,PREFERRED,A,2020-10-25,,2/10NET30,5,TAX000000058,860000058,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
59,SUP-00059,59,ACTIVE,APPROVED,C,2021-07-11,,NET45,5,TAX000000059,860000059,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
60,SUP-00060,60,ACTIVE,APPROVED,C,2021-04-24,,NET60,5,TAX000000060,860000060,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
61,SUP-00061,61,ACTIVE,STRATEGIC,B,2020-04-03,,NET60,3,TAX000000061,860000061,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
62,SUP-00062,62,ACTIVE,STANDARD,B,2022-09-19,,NET45,5,TAX000000062,860000062,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
63,SUP-00063,63,ACTIVE,PREFERRED,B,2021-11-09,,2/10NET30,5,TAX000000063,860000063,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
64,SUP-00064,64,ACTIVE,STRATEGIC,B,2020-02-25,,NET30,5,TAX000000064,860000064,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
65,SUP-00065,65,ACTIVE,PREFERRED,B,2020-01-30,,2/10NET30,5,TAX000000065,860000065,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
66,SUP-00066,66,ACTIVE,PREFERRED,A,2021-05-25,,2/10NET30,1,TAX000000066,860000066,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
67,SUP-00067,67,ACTIVE,PREFERRED,B,2020-10-09,,NET45,2,TAX000000067,860000067,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
68,SUP-00068,68,ACTIVE,STANDARD,A,2020-12-06,,2/10NET30,5,TAX000000068,860000068,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
69,SUP-00069,69,ACTIVE,STANDARD,A,2022-02-01,,2/10NET30,1,TAX000000069,860000069,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
70,SUP-00070,70,ACTIVE,APPROVED,A,2020-01-16,,2/10NET30,1,TAX000000070,860000070,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
71,SUP-00071,71,ACTIVE,STANDARD,C,2022-09-04,,NET30,3,TAX000000071,860000071,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
72,SUP-00072,72,ACTIVE,APPROVED,A,2022-02-17,,NET30,5,TAX000000072,860000072,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
73,SUP-00073,73,ACTIVE,APPROVED,B,2020-09-07,,NET60,5,TAX000000073,860000073,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
74,SUP-00074,74,ACTIVE,PREFERRED,B,2021-10-15,,NET45,2,TAX000000074,860000074,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
75,SUP-00075,75,ACTIVE,PREFERRED,A,2021-10-16,,2/10NET30,3,TAX000000075,860000075,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
76,SUP-00076,76,ACTIVE,STRATEGIC,A,2021-12-17,,2/10NET30,3,TAX000000076,860000076,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
77,SUP-00077,77,ACTIVE,STRATEGIC,C,2021-09-13,,2/10NET30,3,TAX000000077,860000077,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
78,SUP-00078,78,ACTIVE,STRATEGIC,B,2022-01-19,,2/10NET30,1,TAX000000078,860000078,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
79,SUP-00079,79,ACTIVE,APPROVED,C,2022-07-24,,NET60,2,TAX000000079,860000079,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
80,SUP-00080,80,ACTIVE,STANDARD,C,2020-01-15,,NET60,1,TAX000000080,860000080,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
81,SUP-00081,81,ACTIVE,APPROVED,A,2021-09-26,,NET45,5,TAX000000081,860000081,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
82,SUP-00082,82,ACTIVE,STRATEGIC,A,2021-05-19,,NET30,1,TAX000000082,860000082,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
83,SUP-00083,83,ACTIVE,STANDARD,C,2022-05-03,,NET45,5,TAX000000083,860000083,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
84,SUP-00084,84,ACTIVE,STANDARD,A,2021-07-11,,NET60,1,TAX000000084,860000084,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
85,SUP-00085,85,ACTIVE,STRATEGIC,C,2022-03-16,,NET45,1,TAX000000085,860000085,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
86,SUP-00086,86,ACTIVE,PREFERRED,A,2020-10-10,,NET60,2,TAX000000086,860000086,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
87,SUP-00087,87,ACTIVE,PREFERRED,A,2020-01-17,,NET60,2,TAX000000087,860000087,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
88,SUP-00088,88,ACTIVE,STANDARD,B,2021-05-30,,NET60,1,TAX000000088,860000088,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
89,SUP-00089,89,ACTIVE,STRATEGIC,B,2021-05-17,,2/10NET30,5,TAX000000089,860000089,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
90,SUP-00090,90,ACTIVE,APPROVED,B,2020-04-11,,NET60,5,TAX000000090,860000090,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
91,SUP-00091,91,ACTIVE,APPROVED,B,2020-11-16,,2/10NET30,5,TAX000000091,860000091,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
92,SUP-00092,92,ACTIVE,STRATEGIC,A,2022-04-11,,2/10NET30,1,TAX000000092,860000092,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
93,SUP-00093,93,ACTIVE,STANDARD,C,2020-12-26,,NET30,3,TAX000000093,860000093,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
94,SUP-00094,94,ACTIVE,APPROVED,C,2021-08-10,,NET60,1,TAX000000094,860000094,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
95,SUP-00095,95,ACTIVE,APPROVED,C,2020-01-07,,NET60,3,TAX000000095,860000095,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
96,SUP-00096,96,ACTIVE,PREFERRED,B,2020-06-10,,2/10NET30,5,TAX000000096,860000096,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
97,SUP-00097,97,ACTIVE,STRATEGIC,C,2021-11-08,,NET30,3,TAX000000097,860000097,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
98,SUP-00098,98,ACTIVE,STRATEGIC,B,2021-11-25,,2/10NET30,1,TAX000000098,860000098,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
99,SUP-00099,99,ACTIVE,STRATEGIC,A,2022-02-24,,NET45,3,TAX000000099,860000099,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
100,SUP-00100,100,ACTIVE,PREFERRED,A,2020-03-14,,2/10NET30,2,TAX000000100,860000100,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
101,SUP-00101,101,ACTIVE,STANDARD,C,2020-04-27,,2/10NET30,5,TAX000000101,860000101,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
102,SUP-00102,102,ACTIVE,STRATEGIC,A,2021-02-09,,2/10NET30,5,TAX000000102,860000102,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
103,SUP-00103,103,ACTIVE,STRATEGIC,C,2022-01-14,,NET45,3,TAX000000103,860000103,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
104,SUP-00104,104,ACTIVE,PREFERRED,C,2021-04-20,,NET30,2,TAX000000104,860000104,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
105,SUP-00105,105,ACTIVE,STANDARD,B,2020-12-26,,NET60,3,TAX000000105,860000105,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
106,SUP-00106,106,ACTIVE,APPROVED,A,2021-08-17,,NET30,5,TAX000000106,860000106,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
107,SUP-00107,107,ACTIVE,PREFERRED,A,2022-01-01,,2/10NET30,1,TAX000000107,860000107,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
108,SUP-00108,108,ACTIVE,PREFERRED,B,2021-02-22,,NET60,3,TAX000000108,860000108,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
109,SUP-00109,109,ACTIVE,STANDARD,B,2020-03-24,,NET60,2,TAX000000109,860000109,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
110,SUP-00110,110,ACTIVE,STRATEGIC,B,2021-11-17,,2/10NET30,3,TAX000000110,860000110,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
111,SUP-00111,111,ACTIVE,PREFERRED,A,2020-08-19,,NET60,5,TAX000000111,860000111,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
112,SUP-00112,112,ACTIVE,STRATEGIC,C,2020-06-06,,NET60,2,TAX000000112,860000112,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
113,SUP-00113,113,ACTIVE,PREFERRED,B,2021-06-30,,NET60,5,TAX000000113,860000113,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
