CONTRACT_ID,SUPPLIER_ID,MATERIAL_CATEGORY,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACTED_QUANTITY,CONTRACTED_PRICE,UTILIZATION_PCT
214,183,Electronic Components,2025-02-14,2025-08-13,15243,1218.14,0.5874
215,155,Alloys & Metals,2026-09-09,2027-03-08,29429,2123.07,0.5053
216,100,Electronic Components,2026-05-23,2027-05-18,22333,1756.41,0.7948
217,166,Thermal Systems,2026-01-12,2027-01-07,17696,2342.03,0.4099
218,187,Thermal Systems,2025-11-12,2026-05-11,21867,91.12,0.983
219,62,Electronic Components,2025-11-24,2026-02-22,10266,4257.08,0.5381
220,170,Alloys & Metals,2026-08-28,2026-11-26,43701,1145.34,0.5715
221,60,Reagents & Chemicals,2025-10-30,2026-10-25,28581,4436.19,0.9445
222,86,Electronic Components,2025-06-24,2025-12-21,39017,1130.8,0.9181
223,150,Alloys & Metals,2026-03-07,2028-02-25,44939,1802.56,0.874
224,129,Electronic Components,2025-06-09,2026-06-04,38709,4325.11,0.7352
225,171,Thermal Systems,2025-11-17,2026-11-12,32551,1312.71,0.4822
226,18,Polymers & Plastics,2025-03-18,2026-03-13,42925,2023.2,0.8819
227,123,Reagents & Chemicals,2026-03-03,2027-02-26,1585,1149.36,0.8148
228,160,Reagents & Chemicals,2026-06-04,2026-09-02,8630,2824.97,0.45
229,118,Thermal Systems,2025-03-07,2025-09-03,19648,3575.07,0.7791
230,191,Alloys & Metals,2026-06-01,2026-08-30,24235,613.04,0.4433
231,145,Alloys & Metals,2025-12-17,2027-12-07,14037,1849.85,0.6951
232,40,Polymers & Plastics,2026-07-07,2026-10-05,3730,4853.46,0.832
233,70,Polymers & Plastics,2025-05-25,2027-05-15,44109,314.04,0.91
234,151,Alloys & Metals,2025-06-19,2025-09-17,47467,1486.56,0.7566
235,21,Thermal Systems,2025-08-23,2025-11-21,42195,4086.16,0.9838
236,27,Polymers & Plastics,2025-04-10,2025-10-07,32013,951.81,0.6831
237,167,Alloys & Metals,2025-02-15,2026-02-10,30261,2364.49,0.4388
238,62,Electronic Components,2026-03-05,2028-02-23,8065,4624.67,0.7579
239,18,Electronic Components,2025-03-28,2026-03-23,46719,4235.41,0.4754
240,19,Polymers & Plastics,2026-04-06,2026-10-03,49100,1180.43,0.428
241,2,Thermal Systems,2025-08-01,2025-10-30,30424,3706.28,0.8715
242,11,Polymers & Plastics,2026-02-02,2026-08-01,9258,3139.48,0.747
243,29,Alloys & Metals,2025-03-21,2027-03-11,26499,2959.6,0.7186
244,13,Polymers & Plastics,2025-02-22,2027-02-12,32385,1839.38,0.5258
245,150,Thermal Systems,2025-08-23,2026-02-19,20654,3104.23,0.7981
246,133,Alloys & Metals,2025-09-24,2025-12-23,6266,2718.0,0.6671
247,35,Electronic Components,2025-05-29,2025-08-27,21937,4522.82,0.6716
248,178,Thermal Systems,2026-08-26,2028-08-15,21027,321.76,0.5729
249,43,Thermal Systems,2026-08-29,2028-08-18,28505,2176.86,0.4668
250,107,Alloys & Metals,2025-05-02,2025-10-29,10569,3956.59,0.7699
251,149,Alloys & Metals,2026-08-03,2028-07-23,31786,3699.95,0.9228
252,95,Polymers & Plastics,2025-05-18,2026-05-13,10342,1315.34,0.8547
253,168,Electronic Components,2026-07-24,2027-07-19,48784,3355.27,0.4321
254,188,Thermal Systems,2026-01-28,2027-01-23,9487,4079.85,0.6118
255,34,Thermal Systems,2025-03-07,2027-02-25,7622,4255.37,0.627
256,142,Thermal Systems,2026-08-11,2026-11-09,30212,1023.48,0.5674
257,32,Alloys & Metals,2026-06-05,2027-05-31,48066,2484.11,0.7227
258,77,Polymers & Plastics,2026-07-24,2028-07-13,29347,3010.64,0.8533
259,185,Polymers & Plastics,2026-03-08,2026-06-06,22000,147.25,0.9601
260,58,Thermal Systems,2025-05-23,2026-05-18,36017,3982.93,0.7547
261,2,Thermal Systems,2025-04-06,2025-07-05,3058,508.29,0.566
262,136,Alloys & Metals,2025-02-27,2026-02-22,49484,3475.25,0.7129
263,131,Electronic Components,2025-03-14,2026-03-09,26453,209.1,0.9958
264,42,Thermal Systems,2025-08-17,2025-11-15,11970,3612.18,0.4899
265,84,Thermal Systems,2026-08-25,2027-08-20,41052,1837.96,0.7049
266,155,Alloys & Metals,2026-04-14,2026-07-13,3186,2514.61,0.4209
267,57,Thermal Systems,2025-12-30,2027-12-20,4266,969.67,0.7489
268,84,Electronic Components,2026-03-12,2026-06-10,14662,4976.83,0.6059
269,23,Reagents & Chemicals,2025-11-29,2027-11-19,26997,2293.68,0.4526
270,52,Reagents & Chemicals,2026-09-02,2027-08-28,32683,2879.3,0.7333
271,80,Thermal Systems,2025-05-26,2025-11-22,4724,3193.14,0.6506
272,93,Reagents & Chemicals,2025-03-09,2027-02-27,3462,3492.8,0.452
273,67,Reagents & Chemicals,2025-12-26,2026-06-24,27260,1339.98,0.7685
274,19,Alloys & Metals,2026-07-25,2028-07-14,6405,1990.71,0.6898
275,118,Polymers & Plastics,2025-06-18,2025-09-16,12976,665.4,0.7436
276,85,Thermal Systems,2026-04-26,2026-07-25,26026,1756.29,0.514
277,199,Polymers & Plastics,2026-01-22,2027-01-17,26515,86.42,0.561
278,135,Polymers & Plastics,2026-04-27,2028-04-16,29592,1305.59,0.87
279,129,Electronic Components,2026-04-01,2027-03-27,13267,4862.91,0.8381
280,98,Electronic Components,2025-04-17,2026-04-12,20687,2712.04,0.7551
281,154,Reagents & Chemicals,2025-04-26,2026-04-21,12508,4584.24,0.9697
282,3,Thermal Systems,2025-03-19,2025-09-15,3594,2602.59,0.6621
283,129,Polymers & Plastics,2026-03-06,2026-06-04,18662,1038.57,0.754
284,9,Thermal Systems,2025-05-30,2026-05-25,19538,2764.51,0.6566
285,105,Polymers & Plastics,2026-01-25,2026-04-25,35878,758.2,0.9372
286,58,Alloys & Metals,2026-04-27,2026-10-24,22064,3759.42,0.4659
287,172,Alloys & Metals,2025-12-24,2026-12-19,5127,4576.07,0.6142
288,71,Reagents & Chemicals,2026-07-07,2028-06-26,34532,750.82,0.4199
289,68,Thermal Systems,2025-12-09,2026-12-04,33473,3322.03,0.508
290,47,Reagents & Chemicals,2025-11-07,2026-02-05,41894,612.64,0.6864
291,42,Electronic Components,2025-09-02,2026-08-28,5313,4703.4,0.4299
292,89,Electronic Components,2025-03-21,2027-03-11,18446,3848.55,0.7913
293,125,Polymers & Plastics,2025-04-10,2025-07-09,12522,3610.37,0.6398
294,36,Thermal Systems,2026-09-06,2027-03-05,4998,2062.41,0.4236
295,66,Reagents & Chemicals,2026-03-26,2028-03-15,20758,4208.92,0.7412
296,145,Alloys & Metals,2025-05-04,2026-04-29,32308,3356.51,0.6969
297,59,Polymers & Plastics,2025-12-11,2026-03-11,14017,1463.07,0.4114
298,45,Thermal Systems,2026-07-12,2026-10-10,3565,3490.0,0.669
299,193,Electronic Components,2025-03-10,2027-02-28,43655,3360.47,0.4879
300,197,Electronic Components,2025-03-30,2025-09-26,12159,1786.0,0.8252
