SUPPLIER_SITE_ID,SUPPLIER_ID,SITE_CODE,SITE_NAME,PARTY_ADDRESS_ID,PRIMARY_CONTACT_AT_SITE,SITE_CAPABILITIES,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
44,44,SITE-00044,Primary Site,44,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
45,45,SITE-00045,Primary Site,45,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
46,46,SITE-00046,Primary Site,46,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
47,47,SITE-00047,Primary Site,47,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
48,48,SITE-00048,Primary Site,48,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
49,49,SITE-00049,Primary Site,49,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
50,50,SITE-00050,Primary Site,50,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
51,51,SITE-00051,Primary Site,51,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
52,52,SITE-00052,Primary Site,52,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
53,53,SITE-00053,Primary Site,53,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
54,54,SITE-00054,Primary Site,54,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
55,55,SITE-00055,Primary Site,55,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
56,56,SITE-00056,Primary Site,56,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
57,57,SITE-00057,Primary Site,57,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
58,58,SITE-00058,Primary Site,58,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
59,59,SITE-00059,Primary Site,59,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
60,60,SITE-00060,Primary Site,60,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
61,61,SITE-00061,Primary Site,61,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
62,62,SITE-00062,Primary Site,62,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
63,63,SITE-00063,Primary Site,63,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
64,64,SITE-00064,Primary Site,64,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
65,65,SITE-00065,Primary Site,65,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
66,66,SITE-00066,Primary Site,66,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
67,67,SITE-00067,Primary Site,67,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
68,68,SITE-00068,Primary Site,68,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
69,69,SITE-00069,Primary Site,69,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
70,70,SITE-00070,Primary Site,70,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
71,71,SITE-00071,Primary Site,71,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
72,72,SITE-00072,Primary Site,72,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
73,73,SITE-00073,Primary Site,73,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
74,74,SITE-00074,Primary Site,74,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
75,75,SITE-00075,Primary Site,75,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
76,76,SITE-00076,Primary Site,76,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
77,77,SITE-00077,Primary Site,77,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
78,78,SITE-00078,Primary Site,78,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
79,79,SITE-00079,Primary Site,79,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
80,80,SITE-00080,Primary Site,80,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
81,81,SITE-00081,Primary Site,81,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
82,82,SITE-00082,Primary Site,82,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
83,83,SITE-00083,Primary Site,83,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
84,84,SITE-00084,Primary Site,84,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
85,85,SITE-00085,Primary Site,85,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
86,86,SITE-00086,Primary Site,86,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
87,87,SITE-00087,Primary Site,87,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
88,88,SITE-00088,Primary Site,88,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
89,89,SITE-00089,Primary Site,89,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
90,90,SITE-00090,Primary Site,90,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
91,91,SITE-00091,Primary Site,91,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
92,92,SITE-00092,Primary Site,92,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
93,93,SITE-00093,Primary Site,93,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
94,94,SITE-00094,Primary Site,94,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
95,95,SITE-00095,Primary Site,95,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
96,96,SITE-00096,Primary Site,96,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
97,97,SITE-00097,Primary Site,97,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
98,98,SITE-00098,Primary Site,98,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
99,99,SITE-00099,Primary Site,99,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
100,100,SITE-00100,Primary Site,100,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
101,101,SITE-00101,Primary Site,101,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
102,102,SITE-00102,Primary Site,102,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
103,103,SITE-00103,Primary Site,103,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
104,104,SITE-00104,Primary Site,104,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
105,105,SITE-00105,Primary Site,105,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
106,106,SITE-00106,Primary Site,106,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
107,107,SITE-00107,Primary Site,107,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
108,108,SITE-00108,Primary Site,108,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
109,109,SITE-00109,Primary Site,109,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
110,110,SITE-00110,Primary Site,110,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
111,111,SITE-00111,Primary Site,111,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
112,112,SITE-00112,Primary Site,112,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
113,113,SITE-00113,Primary Site,113,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
114,114,SITE-00114,Primary Site,114,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
115,115,SITE-00115,Primary Site,115,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
116,116,SITE-00116,Primary Site,116,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
117,117,SITE-00117,Primary Site,117,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
118,118,SITE-00118,Primary Site,118,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
119,119,SITE-00119,Primary Site,119,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
120,120,SITE-00120,Primary Site,120,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
121,121,SITE-00121,Primary Site,121,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
122,122,SITE-00122,Primary Site,122,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
123,123,SITE-00123,Primary Site,123,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
124,124,SITE-00124,Primary Site,124,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
125,125,SITE-00125,Primary Site,125,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
126,126,SITE-00126,Primary Site,126,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
127,127,SITE-00127,Primary Site,127,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
128,128,SITE-00128,Primary Site,128,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
129,129,SITE-00129,Primary Site,129,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
130,130,SITE-00130,Primary Site,130,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
131,131,SITE-00131,Primary Site,131,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
132,132,SITE-00132,Primary Site,132,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
133,133,SITE-00133,Primary Site,133,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
134,134,SITE-00134,Primary Site,134,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
135,135,SITE-00135,Primary Site,135,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
136,136,SITE-00136,Primary Site,136,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
137,137,SITE-00137,Primary Site,137,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
138,138,SITE-00138,Primary Site,138,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
139,139,SITE-00139,Primary Site,139,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
140,140,SITE-00140,Primary Site,140,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
141,141,SITE-00141,Primary Site,141,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
142,142,SITE-00142,Primary Site,142,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
143,143,SITE-00143,Primary Site,143,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
144,144,SITE-00144,Primary Site,144,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
145,145,SITE-00145,Primary Site,145,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
146,146,SITE-00146,Primary Site,146,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
147,147,SITE-00147,Primary Site,147,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
148,148,SITE-00148,Primary Site,148,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
149,149,SITE-00149,Primary Site,149,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
150,150,SITE-00150,Primary Site,150,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
151,151,SITE-00151,Primary Site,151,Primary Contact,R&D,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
152,152,SITE-00152,Primary Site,152,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
153,153,SITE-00153,Primary Site,153,Primary Contact,Manufacturing,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
154,154,SITE-00154,Primary Site,154,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
155,155,SITE-00155,Primary Site,155,Primary Contact,Distribution,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
156,156,SITE-00156,Primary Site,156,Primary Contact,Assembly,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
