RISK_ID,SUPPLIER_ID,ASSESSMENT_DATE,FINANCIAL_HEALTH_SCORE,CREDIT_RATING,BANKRUPTCY_PROBABILITY,GEOPOLITICAL_RISK_LEVEL,GEOPOLITICAL_RISK_SCORE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,CYBER_RISK_SCORE,SUPPLY_CHAIN_RISK_SCORE,OVERALL_RISK_RATING,DATA_SOURCE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_TIMESTAMP
16,16,2025-01-01,85.8,AA,0.020371,LOW,73.63,95.2,92.55,98.99,90.46,82.4,100,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
17,17,2025-01-01,86.9,AA+,0.02938,MEDIUM,56.51,96.95,101.33,91.86,97.94,91.22,66.47,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
18,18,2025-01-01,68.62,BBB+,0.042239,LOW,85.9,53.15,57.4,46.34,55.87,72.33,57.83,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
19,19,2025-01-01,70.32,BBB+,0.046854,MEDIUM,59.14,43.99,56.79,36.26,42.35,57.91,77.66,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
20,20,2025-01-01,69.68,A-,0.037636,LOW,93.86,54.18,51.66,56.05,51.52,61.63,52.51,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
21,21,2025-01-01,52.54,BB,0.06722,LOW,72.41,38.5,29.37,46.46,37.25,53.31,70.18,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
22,22,2025-01-01,47.14,BB,0.060801,MEDIUM,47.41,62.32,62.31,58.98,66.74,66.28,55.97,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
23,23,2025-01-01,41.61,BB,0.077859,LOW,79.36,33.95,29.82,32.62,37.32,53.68,28.91,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
24,24,2025-01-01,58.04,BBB-,0.059158,LOW,73.24,83.5,86.22,82.93,83.61,65.28,89.47,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
25,25,2025-01-01,53.97,BB,0.060367,LOW,85.68,36.37,43.02,36.45,20.33,43.93,57.32,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
26,26,2025-01-01,100,AA,0.002742,MEDIUM,66.51,100,103.58,93.88,103.36,100,100,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
27,27,2025-01-01,51.51,BB,0.054735,LOW,70.13,62.37,58.62,61.62,67.26,68.93,83.66,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
28,28,2025-01-01,100,AAA,0.016646,LOW,84.8,100,99.39,95.68,98.17,100,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
29,29,2025-01-01,96.52,AAA,0.017242,LOW,80.61,85.4,86.93,84.55,76.71,85.35,81.41,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
30,30,2025-01-01,81.21,AA+,0.032946,LOW,89.81,79.93,90.18,76.96,76.19,89.03,70.42,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
31,31,2025-01-01,55.05,BB,0.050212,LOW,91.95,55.5,58.27,56.12,67.37,63.65,59.81,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
32,32,2025-01-01,52.82,BBB,0.048798,LOW,84.95,43.92,44.08,42.76,38.96,93.31,57.86,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
33,33,2025-01-01,31.68,BB-,0.075325,LOW,91.04,21.42,16.38,22.12,16.34,41.31,29.49,HIGH,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
34,34,2025-01-01,67.9,A,0.041779,LOW,71.57,64.79,65.48,55.83,66.42,81.15,55.05,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
35,35,2025-01-01,95.49,AAA,0.020298,LOW,73.5,52.2,50.16,56.44,60.67,100,77.23,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
36,36,2025-01-01,80.97,AA+,0.02171,LOW,78.23,90.41,85.62,93.67,86.05,100,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
37,37,2025-01-01,57.94,BB+,0.060767,MEDIUM,45.37,85.3,80.71,83.22,78.55,70.45,58.08,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
38,38,2025-01-01,31.91,BB-,0.068408,LOW,91.79,20.35,20.25,20.68,25.03,48.26,10,HIGH,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
39,39,2025-01-01,47.66,BB+,0.055563,LOW,81.75,32.29,34.84,23.18,33.03,63.04,65.53,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
40,40,2025-01-01,59.98,BB,0.052522,LOW,76.26,70.22,70.89,67.2,75.5,70.92,68.31,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
41,41,2025-01-01,52.43,BB,0.048688,LOW,73.33,39.78,39.45,43.55,41.37,43.36,27.46,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
42,42,2025-01-01,59.36,BB,0.043306,MEDIUM,40.7,37.94,39.27,42.08,39.07,73.93,43.48,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
43,43,2025-01-01,100,AA,0.012573,LOW,82.95,85.66,84.32,80.59,88.38,100,100,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
44,44,2025-01-01,100,AA+,0.005135,LOW,81.83,100,100.13,100.8,105.61,100,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
45,45,2025-01-01,83.24,AAA,0.020225,LOW,70.09,97.32,92.38,98.29,94.68,72.48,83.48,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
46,46,2025-01-01,67.44,A+,0.049595,LOW,79.55,49.29,45.81,49.1,49.47,72.78,39.56,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
47,47,2025-01-01,63.35,A-,0.039036,MEDIUM,66.11,71.13,79.51,72.72,61.84,79.54,74.17,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
48,48,2025-01-01,100,AA+,0.019993,LOW,81.68,99.58,96.55,100.28,93.29,100,83.13,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
49,49,2025-01-01,65.45,BBB+,0.049121,LOW,93.64,78.66,78.54,80.45,81.58,66.85,73.04,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
50,50,2025-01-01,62.7,BBB+,0.046163,LOW,79.35,56.43,51.03,55.5,57.84,76.77,62.63,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
51,51,2025-01-01,99.31,AA,0.003259,LOW,88.18,77.23,86.05,70.84,66.64,90.45,86.18,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
52,52,2025-01-01,48.74,BBB,0.063208,MEDIUM,65.52,76.01,76.31,76.05,75.78,83.27,59.8,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
53,53,2025-01-01,10,BB-,0.099206,LOW,88.15,10,12.43,8.26,7.06,25.01,10,HIGH,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
54,54,2025-01-01,81.1,AA+,0.028817,MEDIUM,53.55,100,102.36,102.65,92.95,75.23,79.26,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
55,55,2025-01-01,78.11,A,0.023182,MEDIUM,52.28,82.76,78.39,90.24,84.29,72.94,65.43,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
56,56,2025-01-01,44.88,BB+,0.06427,LOW,89.37,87.78,98.47,95.9,79.25,60.77,26.32,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
57,57,2025-01-01,72.84,A+,0.038084,LOW,84.53,79.61,79.16,78.54,81.58,76.5,64.61,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
58,58,2025-01-01,54.2,BB+,0.058947,LOW,78.32,72.65,64.62,78.56,71.85,48.21,41.39,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
59,59,2025-01-01,45.57,BB+,0.055378,LOW,75.78,21.32,17.61,13.98,25.61,46.34,29.15,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
60,60,2025-01-01,100,AA,0.011371,LOW,80.65,100,101.79,104.62,98.17,100,100,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
61,61,2025-01-01,67.33,BBB+,0.045808,LOW,76.83,94.16,94.67,101.08,88.89,100,69.62,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
62,62,2025-01-01,48.73,BB,0.067627,LOW,89.6,52.96,47.35,50.4,55.14,66.17,46.71,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
63,63,2025-01-01,72.1,A,0.033396,LOW,76.54,72.2,63.5,68.88,76.52,88.0,60.56,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
64,64,2025-01-01,85.62,AAA,0.022863,MEDIUM,69.02,52.92,52.86,55.69,47.1,62.74,53.15,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
65,65,2025-01-01,85.07,AA,0.020189,LOW,72.04,81.3,72.52,75.58,85.0,100,71.8,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
66,66,2025-01-01,78.82,BBB+,0.036956,LOW,73.61,100,95.18,102.96,106.95,90.08,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
67,67,2025-01-01,41.12,BB+,0.061813,LOW,78.03,58.19,53.34,43.96,52.07,71.83,64.74,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
68,68,2025-01-01,79.01,BBB+,0.035631,LOW,80.23,75.88,75.21,73.51,80.11,82.2,53.03,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
69,69,2025-01-01,72.66,A+,0.038744,MEDIUM,55.63,67.69,74.22,73.37,67.88,88.55,68.02,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
70,70,2025-01-01,70.81,BBB+,0.039252,LOW,74.45,76.58,62.84,80.16,85.35,76.19,66.53,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
71,71,2025-01-01,63.97,A-,0.044564,MEDIUM,68.99,51.84,45.6,48.84,63.83,59.86,52.96,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
72,72,2025-01-01,76.62,A-,0.039014,MEDIUM,53.57,79.37,77.58,80.87,71.76,100,85.69,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
73,73,2025-01-01,32.25,BB-,0.080695,LOW,87.62,20.7,15.39,23.43,20.58,48.06,38.74,HIGH,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
74,74,2025-01-01,68.99,A+,0.048504,LOW,87.56,64.87,71.86,64.44,62.96,70.11,64.95,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
75,75,2025-01-01,73.68,A+,0.028045,LOW,81.54,95.59,95.27,93.09,99.97,62.54,51.24,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
76,76,2025-01-01,52.04,BB,0.054224,MEDIUM,54.95,38.89,35.81,38.66,41.49,48.92,49.09,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
77,77,2025-01-01,78.13,A+,0.03898,LOW,91.83,81.73,73.24,77.86,77.26,86.52,63.38,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
78,78,2025-01-01,79.37,A+,0.032739,LOW,92.2,50.15,46.91,55.66,50.33,71.39,73.42,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
79,79,2025-01-01,58.16,BB,0.0478,LOW,92.44,42.16,45.46,52.5,45.36,38.6,58.34,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
80,80,2025-01-01,40.07,BBB-,0.069058,MEDIUM,54.21,54.28,54.72,55.31,51.9,47.62,50.37,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
81,81,2025-01-01,30.37,CCC,0.082287,MEDIUM,45.44,35.25,29.94,29.73,39.66,23.02,42.3,HIGH,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
82,82,2025-01-01,74.26,BBB+,0.02574,MEDIUM,65.59,65.08,61.72,65.72,72.55,96.55,62.37,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
83,83,2025-01-01,51.56,BBB,0.058086,MEDIUM,49.65,60.94,74.34,64.65,63.7,74.48,27.22,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
84,84,2025-01-01,38.23,BB-,0.079134,LOW,81.41,16.41,13.68,10.05,18.57,21.52,30.77,HIGH,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
85,85,2025-01-01,68.62,A,0.033864,LOW,72.71,78.9,74.73,76.41,77.39,75.23,57.69,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
86,86,2025-01-01,95.04,AA+,0.022839,LOW,92.52,83.99,80.87,94.54,84.95,97.86,99.48,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
87,87,2025-01-01,44.69,BB+,0.067483,LOW,93.41,60.31,57.82,58.62,62.67,56.42,33.44,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
88,88,2025-01-01,66.19,BBB+,0.039017,LOW,92.07,71.09,55.84,72.3,63.93,91.4,89.77,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
89,89,2025-01-01,48.02,BBB-,0.063381,LOW,90.4,50.39,43.54,54.25,51.41,58.59,66.66,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
90,90,2025-01-01,75.21,A,0.037997,LOW,80.76,71.8,74.76,55.3,75.89,79.72,54.1,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
91,91,2025-01-01,92.68,AA,0.017663,LOW,75.49,100,101.59,104.69,92.96,79.24,100,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
92,92,2025-01-01,100,AAA,0.000487,MEDIUM,64.65,100,101.52,96.81,99.82,100,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
93,93,2025-01-01,75.09,BBB+,0.025437,MEDIUM,68.61,92.96,84.05,92.36,96.42,96.38,99.29,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
94,94,2025-01-01,88.82,AAA,0.025958,LOW,79.17,66.76,61.2,64.89,62.83,68.18,56.84,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
95,95,2025-01-01,38.4,B,0.06798,MEDIUM,40.7,57.81,60.27,67.3,56.73,58.56,49.88,HIGH,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
96,96,2025-01-01,56.12,BB,0.05134,MEDIUM,61.11,76.49,82.76,82.4,75.56,80.87,61.3,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
97,97,2025-01-01,48.64,BBB,0.05178,MEDIUM,53.53,77.42,74.08,73.47,74.19,32.09,36.22,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
98,98,2025-01-01,68.79,BBB+,0.04168,LOW,81.58,70.51,65.49,75.91,73.52,64.5,61.08,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
99,99,2025-01-01,78.84,A-,0.024252,LOW,82.96,53.69,50.87,45.21,48.46,86.91,82.39,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
100,100,2025-01-01,65.39,BBB+,0.053243,LOW,83.21,78.23,83.9,78.43,82.62,94.99,76.42,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
101,101,2025-01-01,64.09,A,0.051931,LOW,93.78,53.85,43.87,46.69,49.57,73.49,42.64,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
102,102,2025-01-01,56.45,BB,0.046672,LOW,71.57,54.22,62.2,55.17,56.18,69.02,41.45,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
103,103,2025-01-01,48.84,BB+,0.069095,LOW,84.89,38.41,38.81,37.32,45.52,37.5,62.81,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
104,104,2025-01-01,99.5,AA+,0.005218,LOW,77.93,71.83,63.28,68.96,76.09,93.58,65.48,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
105,105,2025-01-01,64.97,A,0.041659,LOW,87.52,93.49,89.73,92.93,95.69,100,100,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
106,106,2025-01-01,70.26,A-,0.046949,MEDIUM,45.1,74.37,71.19,84.73,78.22,73.81,51.13,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
107,107,2025-01-01,58.85,BB,0.045346,MEDIUM,44.35,79.51,82.61,85.51,82.04,68.85,62.68,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
108,108,2025-01-01,47.52,BBB,0.060331,LOW,89.96,62.62,59.98,59.33,61.24,63.27,47.05,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
109,109,2025-01-01,59.52,BBB-,0.06016,LOW,71.39,18.6,26.71,14.75,16.9,42.47,10,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
110,110,2025-01-01,79.03,A,0.027462,MEDIUM,60.29,71.95,67.97,65.69,67.29,94.28,61.45,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
111,111,2025-01-01,82.03,AAA,0.035143,LOW,78.1,74.04,72.46,65.7,74.76,86.52,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
112,112,2025-01-01,73.39,A+,0.038825,LOW,76.96,92.86,95.28,87.75,91.67,69.13,44.53,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
113,113,2025-01-01,74.34,BBB+,0.032841,MEDIUM,61.17,76.7,77.15,79.26,70.0,82.31,74.31,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
114,114,2025-01-01,66.59,A,0.049808,LOW,72.53,39.55,37.6,37.65,43.54,75.11,72.71,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
115,115,2025-01-01,71.32,BBB+,0.044756,LOW,94.53,77.84,79.15,86.05,83.46,87.96,58.09,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
116,116,2025-01-01,50.21,BB,0.052,MEDIUM,42.66,66.65,71.73,76.17,70.01,78.77,59.81,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
117,117,2025-01-01,100,AA,0.015319,LOW,86.16,85.15,85.62,89.8,80.81,77.29,91.42,LOW,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
118,118,2025-01-01,72.38,A-,0.040198,LOW,73.32,69.4,73.07,67.31,69.89,65.19,51.71,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
119,119,2025-01-01,59.78,BBB-,0.043765,MEDIUM,51.48,81.35,79.35,80.23,85.83,84.11,83.61,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
120,120,2025-01-01,70.14,BBB+,0.037494,LOW,89.73,52.16,43.37,53.44,49.83,80.91,38.98,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
121,121,2025-01-01,55.53,BB+,0.046493,MEDIUM,52.15,51.11,43.6,43.84,51.25,49.64,37.45,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
122,122,2025-01-01,83.05,AAA,0.030982,MEDIUM,43.7,100,104.82,93.94,100.9,58.69,72.03,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
123,123,2025-01-01,88.08,AAA,0.028923,LOW,83.15,100,103.45,104.64,102.43,95.13,77.67,LOW,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
124,124,2025-01-01,55.78,BBB,0.061405,LOW,77.02,76.37,72.32,78.79,78.24,100,65.68,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
125,125,2025-01-01,76.25,A,0.028907,LOW,73.88,76.14,72.78,77.54,78.67,80.41,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
126,126,2025-01-01,52.95,BBB,0.063899,LOW,83.11,44.82,50.06,47.95,49.77,44.65,58.53,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
127,127,2025-01-01,47.64,BBB-,0.068344,LOW,79.27,78.26,73.2,77.83,78.1,38.21,48.84,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
128,128,2025-01-01,41.04,BB,0.067011,LOW,81.36,26.27,27.51,30.45,30.56,71.3,40.62,MEDIUM,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
129,129,2025-01-01,34.75,B,0.079555,MEDIUM,55.74,53.7,46.82,56.42,60.3,53.65,26.84,HIGH,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
130,130,2025-01-01,71.6,A,0.030084,LOW,75.39,74.39,77.13,75.71,72.24,75.72,57.78,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
131,131,2025-01-01,54.95,BBB-,0.047968,MEDIUM,59.78,35.64,30.39,35.4,35.27,55.82,40.2,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
132,132,2025-01-01,75.47,A,0.038737,LOW,93.15,88.02,85.46,81.89,85.2,82.36,47.5,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
133,133,2025-01-01,65.3,A,0.041133,MEDIUM,47.58,41.75,40.71,43.05,46.71,52.34,46.58,MEDIUM,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
134,134,2025-01-01,53.97,BB,0.057031,MEDIUM,41.66,60.34,56.19,61.27,62.92,52.6,48.89,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
135,135,2025-01-01,100,AAA,0.016053,LOW,73.39,78.35,82.42,78.7,71.93,100,70.1,LOW,S&P,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
136,136,2025-01-01,33.0,B,0.082434,LOW,92.86,16.71,12.03,16.71,17.99,18.24,27.08,HIGH,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
137,137,2025-01-01,42.73,BBB,0.060844,MEDIUM,46.32,58.53,53.87,59.5,52.34,47.84,31.28,MEDIUM,Moody's,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
138,138,2025-01-01,93.22,AA,0.012413,LOW,83.83,85.37,82.06,91.1,86.21,94.67,100,LOW,Sustainalytics,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
139,139,2025-01-01,61.82,A-,0.053657,MEDIUM,43.0,40.06,38.39,45.04,37.11,77.64,49.41,MEDIUM,D&B,2025-01-01 00:00:00,,True,2025-01-01 00:00:00
