INDEX_ID,INDEX_DATE,COMMODITY_TYPE,COMMODITY_NAME,INDEX_VALUE,INDEX_UNIT,CURRENCY_ID,PERCENTAGE_CHANGE_DAILY,PERCENTAGE_CHANGE_WEEKLY,PERCENTAGE_CHANGE_MONTHLY,DATA_SOURCE,CREATED_TIMESTAMP
12,2023-01-08,Pneumatic Systems,Pneumatic Systems,1156.59,USD/UNIT,1,0.247,2.7539,-3.5569,COMEX,2023-01-08 00:00:00
13,2023-01-08,Alloys & Metals,Alloys & Metals,3532.78,USD/UNIT,1,0.4463,0.4916,8.7343,LME,2023-01-08 00:00:00
14,2023-01-08,Polymers & Plastics,Polymers & Plastics,797.78,USD/UNIT,1,-1.3374,-7.0529,-0.2889,CME,2023-01-08 00:00:00
15,2023-01-08,Electronic Components,Electronic Components,147.39,USD/UNIT,1,-0.4576,0.9293,1.7363,ICE,2023-01-08 00:00:00
16,2023-01-08,Reagents & Chemicals,Reagents & Chemicals,489.42,USD/UNIT,1,1.5804,-7.9393,0.3981,LME,2023-01-08 00:00:00
17,2023-01-08,Bio-Robotics,Bio-Robotics,5621.78,USD/UNIT,1,1.7972,-0.189,-1.4183,CME,2023-01-08 00:00:00
18,2023-01-08,Precision Components,Precision Components,2239.84,USD/UNIT,1,-0.0043,2.163,-2.5782,LME,2023-01-08 00:00:00
19,2023-01-15,Thermal Systems,Thermal Systems,2337.14,USD/UNIT,1,-0.2886,3.793,7.2113,LME,2023-01-15 00:00:00
20,2023-01-15,Hydraulic Systems,Hydraulic Systems,1686.66,USD/UNIT,1,-1.2815,-1.3205,-4.602,LME,2023-01-15 00:00:00
21,2023-01-15,Pneumatic Systems,Pneumatic Systems,1222.71,USD/UNIT,1,-1.6536,0.1149,2.604,ICE,2023-01-15 00:00:00
22,2023-01-15,Alloys & Metals,Alloys & Metals,3424.04,USD/UNIT,1,-0.6481,-0.9961,4.472,CME,2023-01-15 00:00:00
23,2023-01-15,Polymers & Plastics,Polymers & Plastics,813.83,USD/UNIT,1,-1.515,-4.7422,5.3556,ICE,2023-01-15 00:00:00
24,2023-01-15,Electronic Components,Electronic Components,157.87,USD/UNIT,1,-0.9294,-0.3201,1.0548,ICE,2023-01-15 00:00:00
25,2023-01-15,Reagents & Chemicals,Reagents & Chemicals,422.69,USD/UNIT,1,1.5958,3.3531,-5.8025,ICE,2023-01-15 00:00:00
26,2023-01-15,Bio-Robotics,Bio-Robotics,4814.46,USD/UNIT,1,0.2285,-0.597,-1.3598,ICE,2023-01-15 00:00:00
27,2023-01-15,Precision Components,Precision Components,2309.53,USD/UNIT,1,-0.8119,0.2077,3.958,ICE,2023-01-15 00:00:00
28,2023-01-22,Thermal Systems,Thermal Systems,2641.55,USD/UNIT,1,-1.477,5.9213,-5.421,ICE,2023-01-22 00:00:00
29,2023-01-22,Hydraulic Systems,Hydraulic Systems,1529.31,USD/UNIT,1,-0.6411,-6.8578,-4.8716,LME,2023-01-22 00:00:00
30,2023-01-22,Pneumatic Systems,Pneumatic Systems,1187.47,USD/UNIT,1,0.7268,-2.5346,-3.4217,LME,2023-01-22 00:00:00
31,2023-01-22,Alloys & Metals,Alloys & Metals,3777.12,USD/UNIT,1,-1.0552,-1.5694,-1.3797,ICE,2023-01-22 00:00:00
32,2023-01-22,Polymers & Plastics,Polymers & Plastics,710.82,USD/UNIT,1,-1.3156,-3.9894,-2.0217,COMEX,2023-01-22 00:00:00
33,2023-01-22,Electronic Components,Electronic Components,142.73,USD/UNIT,1,-0.9064,-0.0546,3.4626,ICE,2023-01-22 00:00:00
34,2023-01-22,Reagents & Chemicals,Reagents & Chemicals,425.56,USD/UNIT,1,-0.5454,-2.7365,-2.8428,ICE,2023-01-22 00:00:00
35,2023-01-22,Bio-Robotics,Bio-Robotics,5384.7,USD/UNIT,1,-1.3781,-6.2605,-4.6831,LME,2023-01-22 00:00:00
36,2023-01-22,Precision Components,Precision Components,2151.49,USD/UNIT,1,-1.0565,3.6412,4.5398,CME,2023-01-22 00:00:00
37,2023-01-29,Thermal Systems,Thermal Systems,2329.75,USD/UNIT,1,1.4267,-1.3129,1.4295,CME,2023-01-29 00:00:00
38,2023-01-29,Hydraulic Systems,Hydraulic Systems,1923.46,USD/UNIT,1,-0.976,1.7641,2.3564,COMEX,2023-01-29 00:00:00
39,2023-01-29,Pneumatic Systems,Pneumatic Systems,1230.54,USD/UNIT,1,0.7268,-0.3271,2.1745,ICE,2023-01-29 00:00:00
40,2023-01-29,Alloys & Metals,Alloys & Metals,3681.96,USD/UNIT,1,-0.7857,0.0687,2.1304,LME,2023-01-29 00:00:00
41,2023-01-29,Polymers & Plastics,Polymers & Plastics,779.27,USD/UNIT,1,-0.9705,-9.3921,1.7071,LME,2023-01-29 00:00:00
42,2023-01-29,Electronic Components,Electronic Components,147.53,USD/UNIT,1,0.1765,0.6621,-0.0902,ICE,2023-01-29 00:00:00
43,2023-01-29,Reagents & Chemicals,Reagents & Chemicals,468.66,USD/UNIT,1,2.5382,-4.2572,-8.1124,ICE,2023-01-29 00:00:00
44,2023-01-29,Bio-Robotics,Bio-Robotics,5225.05,USD/UNIT,1,1.4931,0.8251,-0.5538,CME,2023-01-29 00:00:00
45,2023-01-29,Precision Components,Precision Components,2282.92,USD/UNIT,1,-0.56,5.8866,-8.2473,COMEX,2023-01-29 00:00:00
46,2023-02-05,Thermal Systems,Thermal Systems,2395.22,USD/UNIT,1,2.0971,-3.6994,-0.0067,CME,2023-02-05 00:00:00
47,2023-02-05,Hydraulic Systems,Hydraulic Systems,1822.15,USD/UNIT,1,0.1137,0.4649,-8.6659,LME,2023-02-05 00:00:00
48,2023-02-05,Pneumatic Systems,Pneumatic Systems,1254.94,USD/UNIT,1,1.5614,1.9499,4.0616,COMEX,2023-02-05 00:00:00
49,2023-02-05,Alloys & Metals,Alloys & Metals,3485.69,USD/UNIT,1,0.358,5.7393,3.0883,LME,2023-02-05 00:00:00
50,2023-02-05,Polymers & Plastics,Polymers & Plastics,819.1,USD/UNIT,1,0.0917,1.766,3.4872,ICE,2023-02-05 00:00:00
51,2023-02-05,Electronic Components,Electronic Components,154.21,USD/UNIT,1,1.9174,-0.0902,-4.0041,CME,2023-02-05 00:00:00
52,2023-02-05,Reagents & Chemicals,Reagents & Chemicals,453.72,USD/UNIT,1,-0.5622,-0.3074,-2.8226,LME,2023-02-05 00:00:00
53,2023-02-05,Bio-Robotics,Bio-Robotics,5649.22,USD/UNIT,1,-0.5633,-3.4837,2.7507,COMEX,2023-02-05 00:00:00
54,2023-02-05,Precision Components,Precision Components,2229.13,USD/UNIT,1,-0.9809,1.569,0.028,COMEX,2023-02-05 00:00:00
55,2023-02-12,Thermal Systems,Thermal Systems,2569.52,USD/UNIT,1,-0.4425,-4.8685,0.9391,ICE,2023-02-12 00:00:00
56,2023-02-12,Hydraulic Systems,Hydraulic Systems,1884.5,USD/UNIT,1,-0.4185,1.6941,6.6841,ICE,2023-02-12 00:00:00
57,2023-02-12,Pneumatic Systems,Pneumatic Systems,1157.74,USD/UNIT,1,-0.5015,0.4598,-4.3746,COMEX,2023-02-12 00:00:00
58,2023-02-12,Alloys & Metals,Alloys & Metals,3521.69,USD/UNIT,1,0.5979,1.9888,-11.3673,ICE,2023-02-12 00:00:00
59,2023-02-12,Polymers & Plastics,Polymers & Plastics,768.46,USD/UNIT,1,-2.5114,0.5404,9.9361,COMEX,2023-02-12 00:00:00
60,2023-02-12,Electronic Components,Electronic Components,140.09,USD/UNIT,1,-0.4242,-1.5956,-2.1533,CME,2023-02-12 00:00:00
61,2023-02-12,Reagents & Chemicals,Reagents & Chemicals,458.48,USD/UNIT,1,1.6168,0.3365,-7.9879,CME,2023-02-12 00:00:00
62,2023-02-12,Bio-Robotics,Bio-Robotics,5884.52,USD/UNIT,1,0.9201,3.7617,-8.4704,LME,2023-02-12 00:00:00
63,2023-02-12,Precision Components,Precision Components,2124.92,USD/UNIT,1,0.5291,-1.5246,-1.6917,COMEX,2023-02-12 00:00:00
64,2023-02-19,Thermal Systems,Thermal Systems,2592.94,USD/UNIT,1,-1.6763,2.6488,-1.0409,LME,2023-02-19 00:00:00
65,2023-02-19,Hydraulic Systems,Hydraulic Systems,1773.29,USD/UNIT,1,-0.2676,-3.6457,1.9547,CME,2023-02-19 00:00:00
66,2023-02-19,Pneumatic Systems,Pneumatic Systems,1194.3,USD/UNIT,1,0.9782,-1.4991,1.2352,CME,2023-02-19 00:00:00
67,2023-02-19,Alloys & Metals,Alloys & Metals,3382.98,USD/UNIT,1,-4.3373,-2.0004,-5.6138,COMEX,2023-02-19 00:00:00
68,2023-02-19,Polymers & Plastics,Polymers & Plastics,786.9,USD/UNIT,1,0.3641,-2.297,5.2669,LME,2023-02-19 00:00:00
69,2023-02-19,Electronic Components,Electronic Components,140.73,USD/UNIT,1,-0.6268,1.0976,-2.1261,ICE,2023-02-19 00:00:00
70,2023-02-19,Reagents & Chemicals,Reagents & Chemicals,421.46,USD/UNIT,1,-0.3764,-0.5444,-4.2908,ICE,2023-02-19 00:00:00
71,2023-02-19,Bio-Robotics,Bio-Robotics,5715.87,USD/UNIT,1,1.7204,1.3176,-5.9985,LME,2023-02-19 00:00:00
72,2023-02-19,Precision Components,Precision Components,2188.11,USD/UNIT,1,-2.5111,2.6842,10.6487,ICE,2023-02-19 00:00:00
73,2023-02-26,Thermal Systems,Thermal Systems,2518.62,USD/UNIT,1,1.0939,-1.8847,5.061,ICE,2023-02-26 00:00:00
74,2023-02-26,Hydraulic Systems,Hydraulic Systems,1765.91,USD/UNIT,1,-0.8832,4.3792,-4.4709,COMEX,2023-02-26 00:00:00
75,2023-02-26,Pneumatic Systems,Pneumatic Systems,1121.71,USD/UNIT,1,-1.1366,3.5586,-5.041,CME,2023-02-26 00:00:00
76,2023-02-26,Alloys & Metals,Alloys & Metals,3975.09,USD/UNIT,1,1.3833,3.4475,2.2006,ICE,2023-02-26 00:00:00
77,2023-02-26,Polymers & Plastics,Polymers & Plastics,820.89,USD/UNIT,1,-1.2078,-2.3579,-1.5096,LME,2023-02-26 00:00:00
78,2023-02-26,Electronic Components,Electronic Components,146.26,USD/UNIT,1,0.784,3.2674,8.2915,ICE,2023-02-26 00:00:00
79,2023-02-26,Reagents & Chemicals,Reagents & Chemicals,469.47,USD/UNIT,1,1.1876,-2.3696,5.0408,ICE,2023-02-26 00:00:00
80,2023-02-26,Bio-Robotics,Bio-Robotics,5562.37,USD/UNIT,1,-1.8902,9.224,-0.6658,CME,2023-02-26 00:00:00
81,2023-02-26,Precision Components,Precision Components,1935.69,USD/UNIT,1,1.239,0.0385,0.9925,LME,2023-02-26 00:00:00
82,2023-03-05,Thermal Systems,Thermal Systems,2254.36,USD/UNIT,1,-0.2555,1.4053,3.5568,ICE,2023-03-05 00:00:00
83,2023-03-05,Hydraulic Systems,Hydraulic Systems,1831.42,USD/UNIT,1,-1.3408,0.2909,-0.6172,LME,2023-03-05 00:00:00
84,2023-03-05,Pneumatic Systems,Pneumatic Systems,1208.04,USD/UNIT,1,0.6249,-1.3212,4.4943,COMEX,2023-03-05 00:00:00
85,2023-03-05,Alloys & Metals,Alloys & Metals,3424.57,USD/UNIT,1,-0.4669,1.3197,6.0921,LME,2023-03-05 00:00:00
86,2023-03-05,Polymers & Plastics,Polymers & Plastics,795.27,USD/UNIT,1,1.457,0.8847,-4.8644,ICE,2023-03-05 00:00:00
87,2023-03-05,Electronic Components,Electronic Components,153.19,USD/UNIT,1,-2.2456,-2.694,2.9956,ICE,2023-03-05 00:00:00
88,2023-03-05,Reagents & Chemicals,Reagents & Chemicals,442.31,USD/UNIT,1,-2.9697,-0.3366,-1.0565,CME,2023-03-05 00:00:00
89,2023-03-05,Bio-Robotics,Bio-Robotics,5552.44,USD/UNIT,1,1.521,-3.0888,-4.2938,ICE,2023-03-05 00:00:00
90,2023-03-05,Precision Components,Precision Components,2270.02,USD/UNIT,1,3.1087,0.2667,-4.3785,LME,2023-03-05 00:00:00
91,2023-03-12,Thermal Systems,Thermal Systems,2574.81,USD/UNIT,1,-0.5942,3.9631,-5.9282,LME,2023-03-12 00:00:00
92,2023-03-12,Hydraulic Systems,Hydraulic Systems,1840.6,USD/UNIT,1,0.773,-0.4525,7.8341,CME,2023-03-12 00:00:00
93,2023-03-12,Pneumatic Systems,Pneumatic Systems,1263.55,USD/UNIT,1,2.9976,3.9519,-15.4165,LME,2023-03-12 00:00:00
94,2023-03-12,Alloys & Metals,Alloys & Metals,3472.6,USD/UNIT,1,0.0196,0.1,8.472,LME,2023-03-12 00:00:00
95,2023-03-12,Polymers & Plastics,Polymers & Plastics,757.58,USD/UNIT,1,-1.2756,-3.7175,-6.3889,LME,2023-03-12 00:00:00
96,2023-03-12,Electronic Components,Electronic Components,151.01,USD/UNIT,1,0.3335,-2.6328,-3.1971,ICE,2023-03-12 00:00:00
97,2023-03-12,Reagents & Chemicals,Reagents & Chemicals,440.63,USD/UNIT,1,0.0373,-7.3675,-1.8312,ICE,2023-03-12 00:00:00
98,2023-03-12,Bio-Robotics,Bio-Robotics,5479.03,USD/UNIT,1,-0.8389,4.6238,9.5423,LME,2023-03-12 00:00:00
99,2023-03-12,Precision Components,Precision Components,2172.94,USD/UNIT,1,1.5373,-1.6771,6.4378,CME,2023-03-12 00:00:00
100,2023-03-19,Thermal Systems,Thermal Systems,2442.36,USD/UNIT,1,0.5006,-0.2501,-2.0735,COMEX,2023-03-19 00:00:00
101,2023-03-19,Hydraulic Systems,Hydraulic Systems,1842.24,USD/UNIT,1,1.2206,3.4777,-0.119,COMEX,2023-03-19 00:00:00
102,2023-03-19,Pneumatic Systems,Pneumatic Systems,1153.3,USD/UNIT,1,-0.4868,3.7415,-3.6784,LME,2023-03-19 00:00:00
103,2023-03-19,Alloys & Metals,Alloys & Metals,3421.11,USD/UNIT,1,1.7643,-0.3414,-8.7618,COMEX,2023-03-19 00:00:00
104,2023-03-19,Polymers & Plastics,Polymers & Plastics,741.65,USD/UNIT,1,0.4304,4.1035,9.0075,COMEX,2023-03-19 00:00:00
105,2023-03-19,Electronic Components,Electronic Components,148.9,USD/UNIT,1,0.6474,-1.8003,-3.0302,ICE,2023-03-19 00:00:00
106,2023-03-19,Reagents & Chemicals,Reagents & Chemicals,431.39,USD/UNIT,1,-1.2605,-0.7291,0.5467,CME,2023-03-19 00:00:00
107,2023-03-19,Bio-Robotics,Bio-Robotics,5780.74,USD/UNIT,1,1.0341,1.651,1.7174,ICE,2023-03-19 00:00:00
108,2023-03-19,Precision Components,Precision Components,2075.21,USD/UNIT,1,-1.099,-1.3551,-9.6384,COMEX,2023-03-19 00:00:00
109,2023-03-26,Thermal Systems,Thermal Systems,2466.05,USD/UNIT,1,-0.3985,-1.1001,-0.5284,ICE,2023-03-26 00:00:00
110,2023-03-26,Hydraulic Systems,Hydraulic Systems,1806.87,USD/UNIT,1,0.2898,0.1965,3.9371,COMEX,2023-03-26 00:00:00
111,2023-03-26,Pneumatic Systems,Pneumatic Systems,1199.1,USD/UNIT,1,0.1845,-0.8801,1.968,COMEX,2023-03-26 00:00:00
112,2023-03-26,Alloys & Metals,Alloys & Metals,3429.71,USD/UNIT,1,0.8098,-2.3832,11.6762,COMEX,2023-03-26 00:00:00
113,2023-03-26,Polymers & Plastics,Polymers & Plastics,831.4,USD/UNIT,1,-0.3192,-1.7647,-1.1753,COMEX,2023-03-26 00:00:00
114,2023-03-26,Electronic Components,Electronic Components,156.96,USD/UNIT,1,-0.6199,3.6756,9.625,COMEX,2023-03-26 00:00:00
115,2023-03-26,Reagents & Chemicals,Reagents & Chemicals,461.59,USD/UNIT,1,-0.3191,0.4735,3.2365,COMEX,2023-03-26 00:00:00
116,2023-03-26,Bio-Robotics,Bio-Robotics,5753.24,USD/UNIT,1,-0.288,-0.1104,-5.3095,LME,2023-03-26 00:00:00
117,2023-03-26,Precision Components,Precision Components,2152.85,USD/UNIT,1,-0.6163,-1.5535,-3.1983,LME,2023-03-26 00:00:00
118,2023-04-02,Thermal Systems,Thermal Systems,2572.65,USD/UNIT,1,0.339,1.0768,1.6836,CME,2023-04-02 00:00:00
119,2023-04-02,Hydraulic Systems,Hydraulic Systems,1819.52,USD/UNIT,1,1.0426,-6.994,-0.6489,COMEX,2023-04-02 00:00:00
120,2023-04-02,Pneumatic Systems,Pneumatic Systems,1336.06,USD/UNIT,1,-0.9855,0.5519,-2.3072,ICE,2023-04-02 00:00:00
121,2023-04-02,Alloys & Metals,Alloys & Metals,3319.95,USD/UNIT,1,3.374,2.5431,0.8974,ICE,2023-04-02 00:00:00
122,2023-04-02,Polymers & Plastics,Polymers & Plastics,793.18,USD/UNIT,1,0.4995,6.3098,-7.6999,CME,2023-04-02 00:00:00
123,2023-04-02,Electronic Components,Electronic Components,142.6,USD/UNIT,1,0.3178,-2.4752,5.2103,ICE,2023-04-02 00:00:00
124,2023-04-02,Reagents & Chemicals,Reagents & Chemicals,460.2,USD/UNIT,1,0.4835,1.7467,-0.1713,ICE,2023-04-02 00:00:00
125,2023-04-02,Bio-Robotics,Bio-Robotics,5874.2,USD/UNIT,1,0.0938,4.0788,5.1769,COMEX,2023-04-02 00:00:00
126,2023-04-02,Precision Components,Precision Components,2342.22,USD/UNIT,1,0.3495,3.4869,-6.8869,CME,2023-04-02 00:00:00
127,2023-04-09,Thermal Systems,Thermal Systems,2553.72,USD/UNIT,1,3.4154,-4.4592,-13.1282,COMEX,2023-04-09 00:00:00
128,2023-04-09,Hydraulic Systems,Hydraulic Systems,1982.06,USD/UNIT,1,-0.2435,-3.0233,-7.8643,COMEX,2023-04-09 00:00:00
129,2023-04-09,Pneumatic Systems,Pneumatic Systems,1181.53,USD/UNIT,1,-3.9205,-1.6569,0.3982,LME,2023-04-09 00:00:00
130,2023-04-09,Alloys & Metals,Alloys & Metals,3300.34,USD/UNIT,1,1.7005,0.5415,2.3382,CME,2023-04-09 00:00:00
131,2023-04-09,Polymers & Plastics,Polymers & Plastics,833.52,USD/UNIT,1,-0.22,1.862,-2.2786,ICE,2023-04-09 00:00:00
132,2023-04-09,Electronic Components,Electronic Components,147.34,USD/UNIT,1,1.9627,-2.8746,-4.8913,LME,2023-04-09 00:00:00
133,2023-04-09,Reagents & Chemicals,Reagents & Chemicals,443.27,USD/UNIT,1,-0.008,-3.5782,-7.6723,COMEX,2023-04-09 00:00:00
134,2023-04-09,Bio-Robotics,Bio-Robotics,5360.03,USD/UNIT,1,-0.2826,0.2851,-5.6353,CME,2023-04-09 00:00:00
135,2023-04-09,Precision Components,Precision Components,2158.23,USD/UNIT,1,-0.3466,2.9693,0.3278,LME,2023-04-09 00:00:00
136,2023-04-16,Thermal Systems,Thermal Systems,2598.46,USD/UNIT,1,-0.8306,0.4918,-3.1244,COMEX,2023-04-16 00:00:00
137,2023-04-16,Hydraulic Systems,Hydraulic Systems,1820.3,USD/UNIT,1,-1.0986,-1.4915,7.3519,CME,2023-04-16 00:00:00
138,2023-04-16,Pneumatic Systems,Pneumatic Systems,1165.98,USD/UNIT,1,3.8718,-2.1628,0.1425,LME,2023-04-16 00:00:00
139,2023-04-16,Alloys & Metals,Alloys & Metals,3550.07,USD/UNIT,1,0.0102,4.7603,-2.9675,COMEX,2023-04-16 00:00:00
140,2023-04-16,Polymers & Plastics,Polymers & Plastics,725.22,USD/UNIT,1,3.4696,5.7721,-1.5173,COMEX,2023-04-16 00:00:00
141,2023-04-16,Electronic Components,Electronic Components,161.72,USD/UNIT,1,-0.3905,-2.0353,9.1992,LME,2023-04-16 00:00:00
142,2023-04-16,Reagents & Chemicals,Reagents & Chemicals,498.84,USD/UNIT,1,0.7749,0.4423,-2.9533,COMEX,2023-04-16 00:00:00
143,2023-04-16,Bio-Robotics,Bio-Robotics,5209.75,USD/UNIT,1,1.1382,-2.44,2.7884,CME,2023-04-16 00:00:00
144,2023-04-16,Precision Components,Precision Components,2324.9,USD/UNIT,1,-0.3984,1.0778,-6.2339,COMEX,2023-04-16 00:00:00
145,2023-04-23,Thermal Systems,Thermal Systems,2489.74,USD/UNIT,1,2.1372,-4.8982,-10.0187,COMEX,2023-04-23 00:00:00
146,2023-04-23,Hydraulic Systems,Hydraulic Systems,1886.86,USD/UNIT,1,0.6595,-0.33,-7.1356,CME,2023-04-23 00:00:00
147,2023-04-23,Pneumatic Systems,Pneumatic Systems,1224.94,USD/UNIT,1,1.5612,-1.118,7.1362,ICE,2023-04-23 00:00:00
148,2023-04-23,Alloys & Metals,Alloys & Metals,3633.33,USD/UNIT,1,-0.09,2.8679,2.4002,COMEX,2023-04-23 00:00:00
149,2023-04-23,Polymers & Plastics,Polymers & Plastics,806.25,USD/UNIT,1,-3.9345,-1.3099,-13.899,LME,2023-04-23 00:00:00
150,2023-04-23,Electronic Components,Electronic Components,157.59,USD/UNIT,1,0.2125,-1.1589,4.8034,CME,2023-04-23 00:00:00
151,2023-04-23,Reagents & Chemicals,Reagents & Chemicals,474.34,USD/UNIT,1,0.9163,2.8589,1.3639,LME,2023-04-23 00:00:00
152,2023-04-23,Bio-Robotics,Bio-Robotics,5135.34,USD/UNIT,1,0.9759,-1.7201,-5.808,CME,2023-04-23 00:00:00
153,2023-04-23,Precision Components,Precision Components,2111.85,USD/UNIT,1,1.8033,-1.9751,-7.3056,COMEX,2023-04-23 00:00:00
154,2023-04-30,Thermal Systems,Thermal Systems,2399.78,USD/UNIT,1,-1.5248,1.5696,1.26,ICE,2023-04-30 00:00:00
155,2023-04-30,Hydraulic Systems,Hydraulic Systems,1680.77,USD/UNIT,1,-1.2894,-3.1175,-3.8969,LME,2023-04-30 00:00:00
156,2023-04-30,Pneumatic Systems,Pneumatic Systems,1170.93,USD/UNIT,1,1.8466,3.3293,7.1557,COMEX,2023-04-30 00:00:00
157,2023-04-30,Alloys & Metals,Alloys & Metals,3509.51,USD/UNIT,1,-0.0887,-1.6479,5.5646,ICE,2023-04-30 00:00:00
158,2023-04-30,Polymers & Plastics,Polymers & Plastics,811.57,USD/UNIT,1,-1.5338,3.7299,4.2976,LME,2023-04-30 00:00:00
159,2023-04-30,Electronic Components,Electronic Components,140.7,USD/UNIT,1,-1.3435,2.6014,-2.1945,COMEX,2023-04-30 00:00:00
160,2023-04-30,Reagents & Chemicals,Reagents & Chemicals,480.35,USD/UNIT,1,0.0799,-3.0235,3.6292,LME,2023-04-30 00:00:00
161,2023-04-30,Bio-Robotics,Bio-Robotics,5603.41,USD/UNIT,1,-0.7189,4.0072,-0.9432,COMEX,2023-04-30 00:00:00
162,2023-04-30,Precision Components,Precision Components,2193.75,USD/UNIT,1,-0.7372,4.1753,0.0948,COMEX,2023-04-30 00:00:00
163,2023-05-07,Thermal Systems,Thermal Systems,2681.19,USD/UNIT,1,3.6274,0.6223,-3.5626,ICE,2023-05-07 00:00:00
164,2023-05-07,Hydraulic Systems,Hydraulic Systems,1723.79,USD/UNIT,1,0.5377,3.61,-0.2558,ICE,2023-05-07 00:00:00
165,2023-05-07,Pneumatic Systems,Pneumatic Systems,1405.75,USD/UNIT,1,-1.2605,0.4066,-2.1184,ICE,2023-05-07 00:00:00
166,2023-05-07,Alloys & Metals,Alloys & Metals,3327.71,USD/UNIT,1,0.0054,0.4695,0.0087,ICE,2023-05-07 00:00:00
167,2023-05-07,Polymers & Plastics,Polymers & Plastics,777.87,USD/UNIT,1,2.2333,-1.5804,1.2893,ICE,2023-05-07 00:00:00
168,2023-05-07,Electronic Components,Electronic Components,156.93,USD/UNIT,1,-2.0842,6.6823,10.5562,LME,2023-05-07 00:00:00
169,2023-05-07,Reagents & Chemicals,Reagents & Chemicals,475.1,USD/UNIT,1,-0.427,0.2285,2.6052,LME,2023-05-07 00:00:00
170,2023-05-07,Bio-Robotics,Bio-Robotics,5693.97,USD/UNIT,1,-2.1644,2.0417,5.4775,LME,2023-05-07 00:00:00
171,2023-05-07,Precision Components,Precision Components,2164.97,USD/UNIT,1,0.047,-0.9193,-11.2698,LME,2023-05-07 00:00:00
172,2023-05-14,Thermal Systems,Thermal Systems,2861.26,USD/UNIT,1,2.5991,-0.0601,-0.1802,COMEX,2023-05-14 00:00:00
173,2023-05-14,Hydraulic Systems,Hydraulic Systems,1780.37,USD/UNIT,1,-0.1915,-3.8335,-5.9016,CME,2023-05-14 00:00:00
174,2023-05-14,Pneumatic Systems,Pneumatic Systems,1310.38,USD/UNIT,1,-0.5831,0.0168,-0.9029,LME,2023-05-14 00:00:00
175,2023-05-14,Alloys & Metals,Alloys & Metals,3609.12,USD/UNIT,1,-0.262,-4.9103,-1.5409,LME,2023-05-14 00:00:00
176,2023-05-14,Polymers & Plastics,Polymers & Plastics,845.99,USD/UNIT,1,-0.5827,3.3311,-9.5137,LME,2023-05-14 00:00:00
177,2023-05-14,Electronic Components,Electronic Components,155.21,USD/UNIT,1,1.9455,-0.7536,3.6492,LME,2023-05-14 00:00:00
178,2023-05-14,Reagents & Chemicals,Reagents & Chemicals,444.58,USD/UNIT,1,0.0352,2.3851,2.4603,LME,2023-05-14 00:00:00
179,2023-05-14,Bio-Robotics,Bio-Robotics,5260.27,USD/UNIT,1,1.0979,-4.1087,6.6099,CME,2023-05-14 00:00:00
180,2023-05-14,Precision Components,Precision Components,2211.13,USD/UNIT,1,3.328,-3.684,1.0399,CME,2023-05-14 00:00:00
181,2023-05-21,Thermal Systems,Thermal Systems,2519.51,USD/UNIT,1,-1.0725,0.7822,-0.4911,ICE,2023-05-21 00:00:00
182,2023-05-21,Hydraulic Systems,Hydraulic Systems,1857.6,USD/UNIT,1,-1.3053,-4.1746,0.5294,LME,2023-05-21 00:00:00
183,2023-05-21,Pneumatic Systems,Pneumatic Systems,1165.11,USD/UNIT,1,1.655,1.3737,-4.7705,LME,2023-05-21 00:00:00
