LOCATION_ID,LOCATION_CODE,LOCATION_NAME,LOCATION_TYPE,SITE_ID,PARENT_LOCATION_ID,LOCATION_LEVEL,CAPACITY_METRIC,CAPACITY_UNIT_OF_MEASURE,LENGTH,WIDTH,HEIGHT,DIMENSION_UNIT_OF_MEASURE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
16,LOC-04-001,Location 1 at Site 4,SHIPPING,4,,1,1641,SQM,172,95,6,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,LOC-04-002,Location 2 at Site 4,WAREHOUSE,4,,1,1915,SQM,177,72,7,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,LOC-04-003,Location 3 at Site 4,SHIPPING,4,,1,3640,SQM,185,79,6,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,LOC-04-004,Location 4 at Site 4,SHIPPING,4,,1,3883,SQM,126,91,11,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
20,LOC-04-005,Location 5 at Site 4,SHIPPING,4,,1,1829,SQM,145,68,16,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
21,LOC-05-001,Location 1 at Site 5,SHIPPING,5,,1,1054,SQM,98,66,13,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
22,LOC-05-002,Location 2 at Site 5,RECEIVING,5,,1,2933,SQM,53,83,14,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
23,LOC-05-003,Location 3 at Site 5,PRODUCTION,5,,1,3425,SQM,71,90,14,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
24,LOC-05-004,Location 4 at Site 5,SHIPPING,5,,1,1053,SQM,143,97,11,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
25,LOC-05-005,Location 5 at Site 5,SHIPPING,5,,1,1807,SQM,134,78,12,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
26,LOC-06-001,Location 1 at Site 6,WAREHOUSE,6,,1,3882,SQM,171,34,5,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
27,LOC-06-002,Location 2 at Site 6,SHIPPING,6,,1,1261,SQM,74,56,11,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
28,LOC-06-003,Location 3 at Site 6,PRODUCTION,6,,1,2049,SQM,162,68,6,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
29,LOC-06-004,Location 4 at Site 6,WAREHOUSE,6,,1,3470,SQM,197,66,13,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
30,LOC-06-005,Location 5 at Site 6,RECEIVING,6,,1,2127,SQM,129,48,19,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
31,LOC-07-001,Location 1 at Site 7,WAREHOUSE,7,,1,4506,SQM,55,34,9,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
32,LOC-07-002,Location 2 at Site 7,PRODUCTION,7,,1,2451,SQM,72,73,15,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
33,LOC-07-003,Location 3 at Site 7,WAREHOUSE,7,,1,3759,SQM,121,85,16,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
34,LOC-07-004,Location 4 at Site 7,RECEIVING,7,,1,4146,SQM,76,72,17,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
35,LOC-07-005,Location 5 at Site 7,RECEIVING,7,,1,3957,SQM,57,81,7,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
36,LOC-08-001,Location 1 at Site 8,PRODUCTION,8,,1,2136,SQM,104,70,18,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
37,LOC-08-002,Location 2 at Site 8,PRODUCTION,8,,1,3531,SQM,52,36,9,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
38,LOC-08-003,Location 3 at Site 8,PRODUCTION,8,,1,2402,SQM,132,98,7,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
39,LOC-08-004,Location 4 at Site 8,WAREHOUSE,8,,1,4220,SQM,180,58,14,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
40,LOC-08-005,Location 5 at Site 8,PRODUCTION,8,,1,3381,SQM,107,94,14,M,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
