DOCUMENT_ID,SUPPLIER_ID,DOCUMENT_TYPE,DOCUMENT_TITLE,DOCUMENT_CONTENT,DOCUMENT_SUMMARY,EFFECTIVE_DATE,EXPIRATION_DATE,DOCUMENT_STATUS,FILE_PATH,FILE_SIZE_BYTES,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
11,7,COMPLIANCE,Regulatory Compliance Certificate - Superior Bio S.A.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-686373
Issued To: Superior Bio S.A.
Effective Date: 2023-01-19
Expiration Date: 2025-03-13

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-1027128
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-11-22
Inspection Result: OAI
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that Superior Bio S.A. maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Superior Bio S.A. including FDA, ISO, and GMP certifications.",2023-01-19,2025-03-13,ACTIVE,/documents/compliance/7/11.pdf,209621,SYSTEM,2023-01-19 00:00:00,SYSTEM,2023-01-19 00:00:00
12,8,REGULATORY,Regulatory Compliance Certificate - Alpine Polymer Components,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-721770
Issued To: Alpine Polymer Components
Effective Date: 2023-07-30
Expiration Date: 2025-04-30

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: N/A
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-12-28
Inspection Result: No Observations
Form 483 Observations: 4

WARNING LETTERS:
Warning letter dated 2023-01-31 regarding contamination controls

This certificate confirms that Alpine Polymer Components maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Alpine Polymer Components including FDA, ISO, and GMP certifications.",2023-07-30,2025-04-30,ACTIVE,/documents/regulatory/8/12.pdf,328745,SYSTEM,2023-07-30 00:00:00,SYSTEM,2023-07-30 00:00:00
13,8,COMPLIANCE,Regulatory Compliance Certificate - Alpine Polymer Components,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-554254
Issued To: Alpine Polymer Components
Effective Date: 2023-09-21
Expiration Date: 2026-01-23

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-7154283
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2023-03-21
Inspection Result: No Observations
Form 483 Observations: 0

WARNING LETTERS:
No warning letters on file

This certificate confirms that Alpine Polymer Components maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Alpine Polymer Components including FDA, ISO, and GMP certifications.",2023-09-21,2026-01-23,ACTIVE,/documents/compliance/8/13.pdf,359478,SYSTEM,2023-09-21 00:00:00,SYSTEM,2023-09-21 00:00:00
14,8,AUDIT,Quality Audit Report - Alpine Polymer Components,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Alpine Polymer Components
Audit Date: 2023-09-28
Audit Type: Surveillance
Auditor: Auditor-34

EXECUTIVE SUMMARY:
Overall Rating: A
Previous Rating: C

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Pending
   - Document Control: Excellent
   - Corrective Action Process: Needs Improvement

2. Manufacturing Process
   - Process Capability: Cpk: 1.20
   - Equipment Calibration: Current
   - Statistical Process Control: None

3. Supply Chain
   - Sub-supplier Management: Excellent
   - Traceability: Full
   - Inventory Management: Good

4. Environmental & Safety
   - Environmental Compliance: Compliant
   - Safety Record: 0 incidents in past year
   - Waste Management: Excellent

CORRECTIVE ACTIONS REQUIRED:
- Item 1: None required

NEXT AUDIT SCHEDULED: 2024-09-27","Quality audit findings for Alpine Polymer Components covering QMS, manufacturing, and compliance.",2023-09-28,2025-10-08,ACTIVE,/documents/audit/8/14.pdf,356971,SYSTEM,2023-09-28 00:00:00,SYSTEM,2023-09-28 00:00:00
15,9,CONTRACT,Master Supply Agreement - Allied Alloys Corp,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and Allied Alloys Corp (""Supplier"").

1. TERM: This agreement shall be effective for a period of 5 years from 2023-09-30.

2. PRICING: 
   - Base unit price: $7083.07 per unit
   - Annual price adjustment: Maximum 5% based on commodity index
   - Volume discounts: 4% for orders exceeding 3564 units

3. PAYMENT TERMS: Net 60 days from invoice date

4. DELIVERY: 
   - Lead time: 26 days from PO receipt
   - Delivery terms: EXW
   - On-time delivery target: 91%

5. QUALITY:
   - Acceptance rate target: 99%
   - Inspection requirements: Source
   - Warranty period: 12 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 60 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with Allied Alloys Corp covering pricing, delivery, quality, and indemnification terms.",2023-09-30,2025-10-03,ACTIVE,/documents/contract/9/15.pdf,408676,SYSTEM,2023-09-30 00:00:00,SYSTEM,2023-09-30 00:00:00
16,9,REGULATORY,Regulatory Compliance Certificate - Allied Alloys Corp,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-530144
Issued To: Allied Alloys Corp
Effective Date: 2023-07-04
Expiration Date: 2024-07-21

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: N/A
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2023-03-26
Inspection Result: NAI
Form 483 Observations: 1

WARNING LETTERS:
No warning letters on file

This certificate confirms that Allied Alloys Corp maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Allied Alloys Corp including FDA, ISO, and GMP certifications.",2023-07-04,2024-07-21,ACTIVE,/documents/regulatory/9/16.pdf,159895,SYSTEM,2023-07-04 00:00:00,SYSTEM,2023-07-04 00:00:00
17,10,REGULATORY,Regulatory Compliance Certificate - Strategic Thermal Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-597693
Issued To: Strategic Thermal Partners
Effective Date: 2023-03-11
Expiration Date: 2025-12-15

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: N/A

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Pending
- RoHS Compliance: N/A
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-12-04
Inspection Result: OAI
Form 483 Observations: 3

WARNING LETTERS:
Warning letter dated 2022-09-12 regarding contamination controls

This certificate confirms that Strategic Thermal Partners maintains compliance with 
applicable regulatory requirements for the supply of precision components.","Regulatory compliance status for Strategic Thermal Partners including FDA, ISO, and GMP certifications.",2023-03-11,2025-12-15,ACTIVE,/documents/regulatory/10/17.pdf,103038,SYSTEM,2023-03-11 00:00:00,SYSTEM,2023-03-11 00:00:00
18,10,COMPLIANCE,Regulatory Compliance Certificate - Strategic Thermal Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-616006
Issued To: Strategic Thermal Partners
Effective Date: 2023-08-21
Expiration Date: 2026-08-08

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2023-07-02
Inspection Result: NAI
Form 483 Observations: 2

WARNING LETTERS:
No warning letters on file

This certificate confirms that Strategic Thermal Partners maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Strategic Thermal Partners including FDA, ISO, and GMP certifications.",2023-08-21,2026-08-08,ACTIVE,/documents/compliance/10/18.pdf,282203,SYSTEM,2023-08-21 00:00:00,SYSTEM,2023-08-21 00:00:00
19,10,COMPLIANCE,Regulatory Compliance Certificate - Strategic Thermal Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-665573
Issued To: Strategic Thermal Partners
Effective Date: 2023-05-22
Expiration Date: 2026-02-03

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Pending
- RoHS Compliance: N/A
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2023-01-08
Inspection Result: OAI
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that Strategic Thermal Partners maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Strategic Thermal Partners including FDA, ISO, and GMP certifications.",2023-05-22,2026-02-03,ACTIVE,/documents/compliance/10/19.pdf,344845,SYSTEM,2023-05-22 00:00:00,SYSTEM,2023-05-22 00:00:00
20,11,COMPLIANCE,Regulatory Compliance Certificate - Dynamic Polymer Components,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-165830
Issued To: Dynamic Polymer Components
Effective Date: 2023-10-20
Expiration Date: 2026-06-02

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2023-02-09
Inspection Result: NAI
Form 483 Observations: 5

WARNING LETTERS:
No warning letters on file

This certificate confirms that Dynamic Polymer Components maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Dynamic Polymer Components including FDA, ISO, and GMP certifications.",2023-10-20,2026-06-02,ACTIVE,/documents/compliance/11/20.pdf,265386,SYSTEM,2023-10-20 00:00:00,SYSTEM,2023-10-20 00:00:00
21,11,COMPLIANCE,Regulatory Compliance Certificate - Dynamic Polymer Components,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-571187
Issued To: Dynamic Polymer Components
Effective Date: 2023-04-15
Expiration Date: 2024-12-10

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: N/A
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Pending
- RoHS Compliance: N/A
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-08-08
Inspection Result: VAI
Form 483 Observations: 5

WARNING LETTERS:
No warning letters on file

This certificate confirms that Dynamic Polymer Components maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Dynamic Polymer Components including FDA, ISO, and GMP certifications.",2023-04-15,2024-12-10,ACTIVE,/documents/compliance/11/21.pdf,186428,SYSTEM,2023-04-15 00:00:00,SYSTEM,2023-04-15 00:00:00
22,12,AUDIT,Quality Audit Report - Alpine Hydraulic Partners,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Alpine Hydraulic Partners
Audit Date: 2023-10-24
Audit Type: For-Cause
Auditor: Auditor-40

EXECUTIVE SUMMARY:
Overall Rating: D
Previous Rating: D

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Expired
   - Document Control: Excellent
   - Corrective Action Process: Excellent

2. Manufacturing Process
   - Process Capability: Cpk: 1.96
   - Equipment Calibration: Current
   - Statistical Process Control: Full

3. Supply Chain
   - Sub-supplier Management: Good
   - Traceability: Limited
   - Inventory Management: Needs Improvement

4. Environmental & Safety
   - Environmental Compliance: Compliant
   - Safety Record: 1 incidents in past year
   - Waste Management: Adequate

CORRECTIVE ACTIONS REQUIRED:
- Item 1: None required

NEXT AUDIT SCHEDULED: 2024-10-23","Quality audit findings for Alpine Hydraulic Partners covering QMS, manufacturing, and compliance.",2023-10-24,2026-10-18,ACTIVE,/documents/audit/12/22.pdf,234579,SYSTEM,2023-10-24 00:00:00,SYSTEM,2023-10-24 00:00:00
23,13,AUDIT,Quality Audit Report - Premier Precision Industries,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Premier Precision Industries
Audit Date: 2023-09-19
Audit Type: For-Cause
Auditor: Auditor-49

EXECUTIVE SUMMARY:
Overall Rating: B
Previous Rating: D

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Certified
   - Document Control: Excellent
   - Corrective Action Process: Needs Improvement

2. Manufacturing Process
   - Process Capability: Cpk: 1.72
   - Equipment Calibration: Current
   - Statistical Process Control: Full

3. Supply Chain
   - Sub-supplier Management: Good
   - Traceability: Full
   - Inventory Management: Needs Improvement

4. Environmental & Safety
   - Environmental Compliance: Minor Issues
   - Safety Record: 5 incidents in past year
   - Waste Management: Excellent

CORRECTIVE ACTIONS REQUIRED:
- Item 1: None required

NEXT AUDIT SCHEDULED: 2024-09-18","Quality audit findings for Premier Precision Industries covering QMS, manufacturing, and compliance.",2023-09-19,2025-01-25,ACTIVE,/documents/audit/13/23.pdf,219964,SYSTEM,2023-09-19 00:00:00,SYSTEM,2023-09-19 00:00:00
24,13,CONTRACT,Master Supply Agreement - Premier Precision Industries,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and Premier Precision Industries (""Supplier"").

1. TERM: This agreement shall be effective for a period of 1 years from 2023-06-04.

2. PRICING: 
   - Base unit price: $4495.12 per unit
   - Annual price adjustment: Maximum 7% based on commodity index
   - Volume discounts: 11% for orders exceeding 8460 units

3. PAYMENT TERMS: Net 60 days from invoice date

4. DELIVERY: 
   - Lead time: 55 days from PO receipt
   - Delivery terms: DDP
   - On-time delivery target: 91%

5. QUALITY:
   - Acceptance rate target: 95%
   - Inspection requirements: Both
   - Warranty period: 28 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 44 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with Premier Precision Industries covering pricing, delivery, quality, and indemnification terms.",2023-06-04,2026-04-26,ACTIVE,/documents/contract/13/24.pdf,349563,SYSTEM,2023-06-04 00:00:00,SYSTEM,2023-06-04 00:00:00
