INVENTORY_BALANCE_ID,PRODUCT_ID,SITE_ID,LOCATION_ID,LOT_ID,INVENTORY_STATUS,QUANTITY_ON_HAND,UNIT_OF_MEASURE_ID,LAST_TRANSACTION_DATE
52,186,5,31,52,QC_HOLD,260,1,2025-01-10 12:00:00
53,409,8,21,53,AVAILABLE,590,1,2025-01-10 12:00:00
54,111,1,8,54,QC_HOLD,452,1,2025-01-10 12:00:00
55,408,4,18,55,RESERVED,927,1,2025-01-10 12:00:00
56,267,7,2,56,QC_HOLD,938,1,2025-01-10 12:00:00
57,209,5,16,57,AVAILABLE,187,1,2025-01-10 12:00:00
58,118,5,15,58,RESERVED,800,1,2025-01-10 12:00:00
59,482,7,8,59,RESERVED,257,1,2025-01-10 12:00:00
60,225,4,28,60,RESERVED,939,1,2025-01-10 12:00:00
61,440,1,33,61,AVAILABLE,29,1,2025-01-10 12:00:00
62,364,2,3,62,QC_HOLD,711,1,2025-01-10 12:00:00
63,140,6,16,63,AVAILABLE,310,1,2025-01-10 12:00:00
64,125,3,21,64,RESERVED,254,1,2025-01-10 12:00:00
65,61,5,17,65,QC_HOLD,643,1,2025-01-10 12:00:00
66,59,7,17,66,RESERVED,119,1,2025-01-10 12:00:00
67,30,3,2,67,AVAILABLE,925,1,2025-01-10 12:00:00
68,60,7,14,68,QC_HOLD,55,1,2025-01-10 12:00:00
69,294,3,32,69,RESERVED,898,1,2025-01-10 12:00:00
70,210,6,15,70,QC_HOLD,877,1,2025-01-10 12:00:00
71,108,5,1,71,RESERVED,722,1,2025-01-10 12:00:00
72,320,3,9,72,RESERVED,345,1,2025-01-10 12:00:00
73,347,4,24,73,AVAILABLE,661,1,2025-01-10 12:00:00
74,98,4,39,74,QC_HOLD,809,1,2025-01-10 12:00:00
75,191,5,40,75,AVAILABLE,418,1,2025-01-10 12:00:00
76,487,2,19,76,RESERVED,584,1,2025-01-10 12:00:00
77,480,6,16,77,AVAILABLE,572,1,2025-01-10 12:00:00
78,150,8,40,78,QC_HOLD,134,1,2025-01-10 12:00:00
79,193,3,5,79,RESERVED,576,1,2025-01-10 12:00:00
80,12,7,8,80,QC_HOLD,974,1,2025-01-10 12:00:00
81,83,7,26,81,RESERVED,763,1,2025-01-10 12:00:00
82,341,2,17,82,AVAILABLE,499,1,2025-01-10 12:00:00
83,364,2,15,83,AVAILABLE,965,1,2025-01-10 12:00:00
84,446,7,40,84,QC_HOLD,436,1,2025-01-10 12:00:00
85,239,8,26,85,RESERVED,29,1,2025-01-10 12:00:00
86,279,3,9,86,AVAILABLE,473,1,2025-01-10 12:00:00
87,13,2,23,87,RESERVED,211,1,2025-01-10 12:00:00
88,352,2,23,88,QC_HOLD,235,1,2025-01-10 12:00:00
89,494,1,34,89,QC_HOLD,289,1,2025-01-10 12:00:00
90,22,7,9,90,AVAILABLE,519,1,2025-01-10 12:00:00
91,413,3,25,91,RESERVED,428,1,2025-01-10 12:00:00
92,62,4,6,92,AVAILABLE,627,1,2025-01-10 12:00:00
93,317,4,11,93,AVAILABLE,603,1,2025-01-10 12:00:00
94,305,6,39,94,AVAILABLE,167,1,2025-01-10 12:00:00
95,374,4,17,95,RESERVED,391,1,2025-01-10 12:00:00
96,481,8,32,96,RESERVED,569,1,2025-01-10 12:00:00
97,119,8,24,97,RESERVED,106,1,2025-01-10 12:00:00
98,215,8,6,98,QC_HOLD,464,1,2025-01-10 12:00:00
99,199,7,37,99,AVAILABLE,549,1,2025-01-10 12:00:00
100,368,3,9,100,QC_HOLD,560,1,2025-01-10 12:00:00
101,25,2,32,101,RESERVED,587,1,2025-01-10 12:00:00
102,85,3,1,102,AVAILABLE,174,1,2025-01-10 12:00:00
103,192,2,4,103,QC_HOLD,697,1,2025-01-10 12:00:00
104,213,6,14,104,RESERVED,563,1,2025-01-10 12:00:00
105,20,3,27,105,QC_HOLD,983,1,2025-01-10 12:00:00
106,392,4,3,106,RESERVED,136,1,2025-01-10 12:00:00
107,410,3,1,107,AVAILABLE,287,1,2025-01-10 12:00:00
108,160,7,22,108,QC_HOLD,388,1,2025-01-10 12:00:00
109,360,4,25,109,QC_HOLD,381,1,2025-01-10 12:00:00
110,78,6,31,110,AVAILABLE,502,1,2025-01-10 12:00:00
111,409,7,26,111,AVAILABLE,219,1,2025-01-10 12:00:00
112,49,4,18,112,RESERVED,595,1,2025-01-10 12:00:00
113,205,1,19,113,AVAILABLE,908,1,2025-01-10 12:00:00
114,427,8,21,114,AVAILABLE,64,1,2025-01-10 12:00:00
115,333,5,31,115,AVAILABLE,859,1,2025-01-10 12:00:00
116,4,7,15,116,RESERVED,271,1,2025-01-10 12:00:00
117,96,2,2,117,AVAILABLE,556,1,2025-01-10 12:00:00
118,231,6,35,118,AVAILABLE,992,1,2025-01-10 12:00:00
119,303,6,36,119,QC_HOLD,649,1,2025-01-10 12:00:00
120,422,1,19,120,RESERVED,576,1,2025-01-10 12:00:00
121,325,4,13,121,RESERVED,622,1,2025-01-10 12:00:00
122,460,4,19,122,AVAILABLE,174,1,2025-01-10 12:00:00
123,161,5,24,123,AVAILABLE,571,1,2025-01-10 12:00:00
124,452,6,36,124,RESERVED,33,1,2025-01-10 12:00:00
125,93,8,8,125,AVAILABLE,837,1,2025-01-10 12:00:00
126,204,8,39,126,RESERVED,326,1,2025-01-10 12:00:00
127,5,7,29,127,RESERVED,824,1,2025-01-10 12:00:00
128,182,4,4,128,RESERVED,542,1,2025-01-10 12:00:00
129,278,7,24,129,RESERVED,379,1,2025-01-10 12:00:00
130,54,6,25,130,AVAILABLE,885,1,2025-01-10 12:00:00
131,472,1,19,131,AVAILABLE,730,1,2025-01-10 12:00:00
132,17,7,36,132,AVAILABLE,248,1,2025-01-10 12:00:00
133,464,7,23,133,AVAILABLE,347,1,2025-01-10 12:00:00
134,21,1,23,134,RESERVED,554,1,2025-01-10 12:00:00
135,120,4,30,135,QC_HOLD,96,1,2025-01-10 12:00:00
136,15,5,7,136,QC_HOLD,188,1,2025-01-10 12:00:00
137,455,5,25,137,AVAILABLE,987,1,2025-01-10 12:00:00
138,240,3,8,138,AVAILABLE,957,1,2025-01-10 12:00:00
139,321,5,33,139,AVAILABLE,60,1,2025-01-10 12:00:00
140,278,3,36,140,QC_HOLD,623,1,2025-01-10 12:00:00
141,341,3,26,141,RESERVED,99,1,2025-01-10 12:00:00
142,101,3,4,142,QC_HOLD,809,1,2025-01-10 12:00:00
143,23,8,6,143,QC_HOLD,895,1,2025-01-10 12:00:00
144,495,7,26,144,QC_HOLD,842,1,2025-01-10 12:00:00
145,251,1,36,145,QC_HOLD,718,1,2025-01-10 12:00:00
146,73,2,25,146,AVAILABLE,114,1,2025-01-10 12:00:00
147,201,5,22,147,RESERVED,420,1,2025-01-10 12:00:00
148,279,1,2,148,RESERVED,523,1,2025-01-10 12:00:00
149,238,8,8,149,RESERVED,392,1,2025-01-10 12:00:00
150,95,6,13,150,QC_HOLD,884,1,2025-01-10 12:00:00
151,411,1,20,151,RESERVED,403,1,2025-01-10 12:00:00
152,424,5,11,152,RESERVED,190,1,2025-01-10 12:00:00
153,45,8,7,153,AVAILABLE,426,1,2025-01-10 12:00:00
154,464,3,1,154,QC_HOLD,635,1,2025-01-10 12:00:00
155,408,3,14,155,QC_HOLD,732,1,2025-01-10 12:00:00
156,295,5,8,156,RESERVED,55,1,2025-01-10 12:00:00
157,240,8,8,157,AVAILABLE,286,1,2025-01-10 12:00:00
158,448,1,15,158,RESERVED,322,1,2025-01-10 12:00:00
159,70,2,14,159,QC_HOLD,623,1,2025-01-10 12:00:00
160,123,2,19,160,RESERVED,500,1,2025-01-10 12:00:00
161,235,4,25,161,RESERVED,61,1,2025-01-10 12:00:00
162,492,3,14,162,RESERVED,23,1,2025-01-10 12:00:00
163,35,4,26,163,AVAILABLE,975,1,2025-01-10 12:00:00
164,297,6,26,164,RESERVED,595,1,2025-01-10 12:00:00
165,147,1,36,165,RESERVED,340,1,2025-01-10 12:00:00
166,404,3,28,166,AVAILABLE,944,1,2025-01-10 12:00:00
167,438,1,7,167,AVAILABLE,381,1,2025-01-10 12:00:00
168,163,1,36,168,RESERVED,781,1,2025-01-10 12:00:00
169,442,2,32,169,QC_HOLD,842,1,2025-01-10 12:00:00
170,485,8,10,170,AVAILABLE,823,1,2025-01-10 12:00:00
171,79,2,40,171,RESERVED,125,1,2025-01-10 12:00:00
172,317,1,26,172,AVAILABLE,665,1,2025-01-10 12:00:00
173,196,3,40,173,QC_HOLD,341,1,2025-01-10 12:00:00
174,40,2,24,174,AVAILABLE,402,1,2025-01-10 12:00:00
175,177,7,11,175,AVAILABLE,44,1,2025-01-10 12:00:00
176,443,4,16,176,RESERVED,430,1,2025-01-10 12:00:00
177,269,6,11,177,AVAILABLE,494,1,2025-01-10 12:00:00
178,25,4,17,178,RESERVED,941,1,2025-01-10 12:00:00
179,262,1,11,179,AVAILABLE,319,1,2025-01-10 12:00:00
180,166,4,21,180,AVAILABLE,269,1,2025-01-10 12:00:00
181,13,7,16,181,QC_HOLD,131,1,2025-01-10 12:00:00
182,245,1,2,182,AVAILABLE,639,1,2025-01-10 12:00:00
183,479,1,23,183,RESERVED,604,1,2025-01-10 12:00:00
184,461,6,39,184,RESERVED,549,1,2025-01-10 12:00:00
185,72,7,5,185,RESERVED,510,1,2025-01-10 12:00:00
186,252,8,9,186,AVAILABLE,248,1,2025-01-10 12:00:00
187,419,5,32,187,QC_HOLD,518,1,2025-01-10 12:00:00
188,344,3,39,188,QC_HOLD,26,1,2025-01-10 12:00:00
189,358,3,21,189,RESERVED,372,1,2025-01-10 12:00:00
190,426,1,27,190,QC_HOLD,903,1,2025-01-10 12:00:00
191,149,7,27,191,AVAILABLE,735,1,2025-01-10 12:00:00
192,80,4,16,192,QC_HOLD,601,1,2025-01-10 12:00:00
193,395,3,10,193,AVAILABLE,220,1,2025-01-10 12:00:00
194,274,8,17,194,AVAILABLE,394,1,2025-01-10 12:00:00
195,240,5,37,195,RESERVED,563,1,2025-01-10 12:00:00
196,10,3,37,196,RESERVED,203,1,2025-01-10 12:00:00
197,222,1,31,197,RESERVED,690,1,2025-01-10 12:00:00
198,76,3,10,198,QC_HOLD,743,1,2025-01-10 12:00:00
199,235,5,26,199,AVAILABLE,487,1,2025-01-10 12:00:00
200,34,7,7,200,AVAILABLE,790,1,2025-01-10 12:00:00
201,150,3,18,201,AVAILABLE,904,1,2025-01-10 12:00:00
202,378,8,3,202,RESERVED,882,1,2025-01-10 12:00:00
203,399,7,24,203,QC_HOLD,691,1,2025-01-10 12:00:00
204,233,1,37,204,AVAILABLE,672,1,2025-01-10 12:00:00
205,299,1,27,205,AVAILABLE,66,1,2025-01-10 12:00:00
206,259,8,9,206,AVAILABLE,453,1,2025-01-10 12:00:00
207,305,4,20,207,AVAILABLE,369,1,2025-01-10 12:00:00
208,217,3,30,208,AVAILABLE,542,1,2025-01-10 12:00:00
209,427,2,6,209,QC_HOLD,995,1,2025-01-10 12:00:00
210,199,4,12,210,AVAILABLE,552,1,2025-01-10 12:00:00
211,317,8,4,211,AVAILABLE,709,1,2025-01-10 12:00:00
212,262,1,40,212,AVAILABLE,136,1,2025-01-10 12:00:00
213,126,1,24,213,QC_HOLD,552,1,2025-01-10 12:00:00
214,392,4,4,214,AVAILABLE,416,1,2025-01-10 12:00:00
215,492,5,2,215,AVAILABLE,253,1,2025-01-10 12:00:00
216,95,2,1,216,AVAILABLE,666,1,2025-01-10 12:00:00
217,38,1,32,217,AVAILABLE,366,1,2025-01-10 12:00:00
218,56,3,30,218,RESERVED,940,1,2025-01-10 12:00:00
219,267,6,13,219,QC_HOLD,961,1,2025-01-10 12:00:00
220,307,5,7,220,AVAILABLE,868,1,2025-01-10 12:00:00
221,404,4,11,221,QC_HOLD,960,1,2025-01-10 12:00:00
222,406,7,6,222,QC_HOLD,747,1,2025-01-10 12:00:00
223,499,5,29,223,AVAILABLE,709,1,2025-01-10 12:00:00
224,486,1,11,224,QC_HOLD,667,1,2025-01-10 12:00:00
225,167,7,33,225,AVAILABLE,3,1,2025-01-10 12:00:00
226,286,8,36,226,QC_HOLD,43,1,2025-01-10 12:00:00
227,155,7,14,227,RESERVED,48,1,2025-01-10 12:00:00
228,293,4,2,228,AVAILABLE,703,1,2025-01-10 12:00:00
229,355,7,40,229,AVAILABLE,114,1,2025-01-10 12:00:00
230,279,2,10,230,AVAILABLE,449,1,2025-01-10 12:00:00
231,165,3,21,231,RESERVED,124,1,2025-01-10 12:00:00
232,438,4,28,232,QC_HOLD,922,1,2025-01-10 12:00:00
233,210,7,25,233,AVAILABLE,127,1,2025-01-10 12:00:00
234,180,8,23,234,QC_HOLD,647,1,2025-01-10 12:00:00
235,209,4,9,235,AVAILABLE,517,1,2025-01-10 12:00:00
236,26,5,32,236,QC_HOLD,656,1,2025-01-10 12:00:00
237,93,7,38,237,QC_HOLD,234,1,2025-01-10 12:00:00
238,411,6,12,238,RESERVED,403,1,2025-01-10 12:00:00
239,175,8,38,239,AVAILABLE,524,1,2025-01-10 12:00:00
240,341,4,1,240,QC_HOLD,586,1,2025-01-10 12:00:00
241,288,1,29,241,AVAILABLE,856,1,2025-01-10 12:00:00
242,100,7,11,242,AVAILABLE,372,1,2025-01-10 12:00:00
243,180,5,4,243,AVAILABLE,582,1,2025-01-10 12:00:00
244,459,8,26,244,QC_HOLD,159,1,2025-01-10 12:00:00
245,259,8,26,245,AVAILABLE,164,1,2025-01-10 12:00:00
246,10,3,1,246,AVAILABLE,163,1,2025-01-10 12:00:00
247,40,1,7,247,QC_HOLD,174,1,2025-01-10 12:00:00
248,256,6,8,248,QC_HOLD,319,1,2025-01-10 12:00:00
249,201,8,26,249,QC_HOLD,861,1,2025-01-10 12:00:00
250,3,2,18,250,AVAILABLE,473,1,2025-01-10 12:00:00
251,352,7,23,251,RESERVED,170,1,2025-01-10 12:00:00
252,291,5,35,252,QC_HOLD,242,1,2025-01-10 12:00:00
253,198,7,24,253,AVAILABLE,969,1,2025-01-10 12:00:00
254,127,1,13,254,RESERVED,328,1,2025-01-10 12:00:00
255,187,7,3,255,AVAILABLE,22,1,2025-01-10 12:00:00
256,238,8,39,256,RESERVED,321,1,2025-01-10 12:00:00
257,444,7,30,257,RESERVED,437,1,2025-01-10 12:00:00
258,171,5,29,258,AVAILABLE,103,1,2025-01-10 12:00:00
259,478,1,21,259,AVAILABLE,713,1,2025-01-10 12:00:00
260,409,1,16,260,RESERVED,910,1,2025-01-10 12:00:00
261,159,2,25,261,QC_HOLD,517,1,2025-01-10 12:00:00
262,148,7,12,262,RESERVED,382,1,2025-01-10 12:00:00
263,87,1,22,263,RESERVED,644,1,2025-01-10 12:00:00
264,159,1,26,264,QC_HOLD,273,1,2025-01-10 12:00:00
265,3,1,7,265,RESERVED,435,1,2025-01-10 12:00:00
266,51,5,28,266,QC_HOLD,372,1,2025-01-10 12:00:00
267,447,3,9,267,AVAILABLE,423,1,2025-01-10 12:00:00
268,309,3,7,268,RESERVED,815,1,2025-01-10 12:00:00
269,315,2,30,269,RESERVED,523,1,2025-01-10 12:00:00
270,188,7,3,270,AVAILABLE,115,1,2025-01-10 12:00:00
271,372,1,31,271,AVAILABLE,79,1,2025-01-10 12:00:00
272,404,1,37,272,AVAILABLE,812,1,2025-01-10 12:00:00
273,140,2,9,273,RESERVED,611,1,2025-01-10 12:00:00
274,139,6,9,274,AVAILABLE,316,1,2025-01-10 12:00:00
275,230,2,39,275,QC_HOLD,90,1,2025-01-10 12:00:00
276,180,5,16,276,QC_HOLD,87,1,2025-01-10 12:00:00
277,484,2,28,277,QC_HOLD,255,1,2025-01-10 12:00:00
278,29,3,1,278,AVAILABLE,686,1,2025-01-10 12:00:00
279,182,2,30,279,QC_HOLD,253,1,2025-01-10 12:00:00
280,118,4,6,280,AVAILABLE,33,1,2025-01-10 12:00:00
281,142,5,32,281,RESERVED,302,1,2025-01-10 12:00:00
282,408,3,1,282,QC_HOLD,50,1,2025-01-10 12:00:00
283,218,7,9,283,RESERVED,463,1,2025-01-10 12:00:00
284,424,5,2,284,QC_HOLD,116,1,2025-01-10 12:00:00
285,460,3,7,285,AVAILABLE,903,1,2025-01-10 12:00:00
286,56,4,16,286,AVAILABLE,895,1,2025-01-10 12:00:00
287,59,5,1,287,RESERVED,431,1,2025-01-10 12:00:00
288,367,4,6,288,RESERVED,651,1,2025-01-10 12:00:00
289,280,6,31,289,RESERVED,518,1,2025-01-10 12:00:00
290,446,3,10,290,RESERVED,565,1,2025-01-10 12:00:00
291,330,4,10,291,QC_HOLD,623,1,2025-01-10 12:00:00
292,196,8,33,292,RESERVED,271,1,2025-01-10 12:00:00
293,274,2,28,293,QC_HOLD,774,1,2025-01-10 12:00:00
294,249,5,21,294,QC_HOLD,418,1,2025-01-10 12:00:00
295,404,7,1,295,RESERVED,230,1,2025-01-10 12:00:00
296,366,7,26,296,QC_HOLD,901,1,2025-01-10 12:00:00
297,305,6,33,297,AVAILABLE,678,1,2025-01-10 12:00:00
298,9,6,25,298,AVAILABLE,564,1,2025-01-10 12:00:00
299,289,1,37,299,AVAILABLE,191,1,2025-01-10 12:00:00
300,420,3,25,300,AVAILABLE,276,1,2025-01-10 12:00:00
301,296,7,37,301,QC_HOLD,128,1,2025-01-10 12:00:00
302,267,2,23,302,AVAILABLE,696,1,2025-01-10 12:00:00
303,461,3,18,303,QC_HOLD,542,1,2025-01-10 12:00:00
304,475,5,20,304,QC_HOLD,106,1,2025-01-10 12:00:00
305,360,6,33,305,QC_HOLD,623,1,2025-01-10 12:00:00
306,473,1,24,306,QC_HOLD,624,1,2025-01-10 12:00:00
307,199,3,31,307,AVAILABLE,664,1,2025-01-10 12:00:00
308,237,7,21,308,AVAILABLE,223,1,2025-01-10 12:00:00
309,165,4,21,309,AVAILABLE,620,1,2025-01-10 12:00:00
310,125,8,13,310,QC_HOLD,601,1,2025-01-10 12:00:00
311,493,2,35,311,RESERVED,961,1,2025-01-10 12:00:00
312,342,1,5,312,QC_HOLD,492,1,2025-01-10 12:00:00
313,7,8,9,313,AVAILABLE,815,1,2025-01-10 12:00:00
314,272,1,34,314,RESERVED,65,1,2025-01-10 12:00:00
315,169,8,14,315,RESERVED,434,1,2025-01-10 12:00:00
316,173,4,36,316,QC_HOLD,347,1,2025-01-10 12:00:00
317,433,7,40,317,RESERVED,526,1,2025-01-10 12:00:00
318,187,3,10,318,RESERVED,669,1,2025-01-10 12:00:00
319,471,3,32,319,AVAILABLE,356,1,2025-01-10 12:00:00
320,97,4,17,320,QC_HOLD,996,1,2025-01-10 12:00:00
321,358,2,8,321,QC_HOLD,307,1,2025-01-10 12:00:00
322,65,8,23,322,RESERVED,736,1,2025-01-10 12:00:00
323,210,7,6,323,AVAILABLE,591,1,2025-01-10 12:00:00
324,9,6,9,324,AVAILABLE,349,1,2025-01-10 12:00:00
325,467,1,36,325,AVAILABLE,359,1,2025-01-10 12:00:00
326,270,5,38,326,QC_HOLD,624,1,2025-01-10 12:00:00
327,275,3,7,327,RESERVED,184,1,2025-01-10 12:00:00
328,34,3,19,328,QC_HOLD,359,1,2025-01-10 12:00:00
329,385,8,12,329,RESERVED,316,1,2025-01-10 12:00:00
330,271,4,36,330,QC_HOLD,978,1,2025-01-10 12:00:00
331,411,5,25,331,QC_HOLD,980,1,2025-01-10 12:00:00
332,79,4,27,332,QC_HOLD,909,1,2025-01-10 12:00:00
333,63,4,2,333,QC_HOLD,667,1,2025-01-10 12:00:00
334,111,7,13,334,RESERVED,81,1,2025-01-10 12:00:00
335,153,7,39,335,AVAILABLE,970,1,2025-01-10 12:00:00
336,442,8,22,336,QC_HOLD,160,1,2025-01-10 12:00:00
337,77,6,6,337,QC_HOLD,369,1,2025-01-10 12:00:00
338,184,2,7,338,RESERVED,567,1,2025-01-10 12:00:00
339,317,8,6,339,QC_HOLD,686,1,2025-01-10 12:00:00
340,449,4,7,340,QC_HOLD,66,1,2025-01-10 12:00:00
341,9,1,4,341,AVAILABLE,543,1,2025-01-10 12:00:00
342,103,2,10,342,QC_HOLD,786,1,2025-01-10 12:00:00
343,370,1,29,343,RESERVED,673,1,2025-01-10 12:00:00
344,346,8,5,344,QC_HOLD,179,1,2025-01-10 12:00:00
345,171,2,39,345,RESERVED,684,1,2025-01-10 12:00:00
346,170,8,21,346,RESERVED,625,1,2025-01-10 12:00:00
347,185,7,11,347,QC_HOLD,48,1,2025-01-10 12:00:00
348,210,1,18,348,QC_HOLD,849,1,2025-01-10 12:00:00
349,321,8,12,349,RESERVED,308,1,2025-01-10 12:00:00
350,490,1,33,350,RESERVED,381,1,2025-01-10 12:00:00
351,391,1,24,351,RESERVED,826,1,2025-01-10 12:00:00
352,21,4,22,352,QC_HOLD,927,1,2025-01-10 12:00:00
353,465,7,39,353,RESERVED,871,1,2025-01-10 12:00:00
354,96,2,18,354,QC_HOLD,772,1,2025-01-10 12:00:00
355,128,8,9,355,AVAILABLE,55,1,2025-01-10 12:00:00
356,72,3,26,356,QC_HOLD,107,1,2025-01-10 12:00:00
357,294,2,10,357,QC_HOLD,798,1,2025-01-10 12:00:00
358,220,5,12,358,QC_HOLD,443,1,2025-01-10 12:00:00
359,315,7,21,359,RESERVED,997,1,2025-01-10 12:00:00
360,481,3,27,360,QC_HOLD,906,1,2025-01-10 12:00:00
361,123,2,15,361,RESERVED,507,1,2025-01-10 12:00:00
362,209,2,30,362,QC_HOLD,350,1,2025-01-10 12:00:00
363,331,4,22,363,QC_HOLD,103,1,2025-01-10 12:00:00
364,258,6,7,364,AVAILABLE,549,1,2025-01-10 12:00:00
365,402,3,30,365,AVAILABLE,859,1,2025-01-10 12:00:00
366,320,5,14,366,AVAILABLE,862,1,2025-01-10 12:00:00
367,252,8,40,367,AVAILABLE,336,1,2025-01-10 12:00:00
368,126,4,35,368,AVAILABLE,346,1,2025-01-10 12:00:00
369,327,7,19,369,AVAILABLE,330,1,2025-01-10 12:00:00
370,424,2,35,370,QC_HOLD,998,1,2025-01-10 12:00:00
371,304,2,36,371,QC_HOLD,233,1,2025-01-10 12:00:00
372,15,3,34,372,QC_HOLD,820,1,2025-01-10 12:00:00
373,12,8,24,373,AVAILABLE,748,1,2025-01-10 12:00:00
374,83,2,9,374,AVAILABLE,451,1,2025-01-10 12:00:00
375,239,3,25,375,RESERVED,119,1,2025-01-10 12:00:00
376,275,4,23,376,AVAILABLE,759,1,2025-01-10 12:00:00
377,163,7,9,377,QC_HOLD,61,1,2025-01-10 12:00:00
378,143,8,11,378,QC_HOLD,698,1,2025-01-10 12:00:00
379,434,3,19,379,QC_HOLD,185,1,2025-01-10 12:00:00
380,53,8,14,380,AVAILABLE,804,1,2025-01-10 12:00:00
381,33,7,26,381,RESERVED,980,1,2025-01-10 12:00:00
382,325,4,8,382,QC_HOLD,883,1,2025-01-10 12:00:00
383,229,7,2,383,AVAILABLE,368,1,2025-01-10 12:00:00
384,357,5,36,384,QC_HOLD,999,1,2025-01-10 12:00:00
385,30,5,6,385,AVAILABLE,742,1,2025-01-10 12:00:00
386,395,3,21,386,AVAILABLE,855,1,2025-01-10 12:00:00
387,179,3,22,387,RESERVED,780,1,2025-01-10 12:00:00
388,38,7,24,388,QC_HOLD,75,1,2025-01-10 12:00:00
389,161,4,24,389,AVAILABLE,612,1,2025-01-10 12:00:00
390,3,8,12,390,QC_HOLD,501,1,2025-01-10 12:00:00
391,496,6,24,391,AVAILABLE,70,1,2025-01-10 12:00:00
392,184,7,27,392,RESERVED,499,1,2025-01-10 12:00:00
393,147,3,20,393,AVAILABLE,259,1,2025-01-10 12:00:00
394,387,8,32,394,RESERVED,650,1,2025-01-10 12:00:00
395,395,4,15,395,QC_HOLD,572,1,2025-01-10 12:00:00
396,399,7,5,396,RESERVED,73,1,2025-01-10 12:00:00
397,258,8,6,397,AVAILABLE,141,1,2025-01-10 12:00:00
398,468,7,9,398,AVAILABLE,868,1,2025-01-10 12:00:00
399,170,1,25,399,QC_HOLD,420,1,2025-01-10 12:00:00
400,292,1,23,400,RESERVED,224,1,2025-01-10 12:00:00
